
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sf";="diff_dw_sf";="diff_dw_sf";="diff_dw_sf"

="diff_dw_sf";="";="";="";=""
="ngdpdpc_var";="-0.0194**";="-0.0195**";="-0.0201**";="-0.0189**"
="";="(-2.12)";="(-2.13)";="(-2.16)";="(-2.08)"

="ngdp_rpch";="0.0166";="0.0183";="0.0158";="0.0208"
="";="(0.33)";="(0.36)";="(0.31)";="(0.42)"

="extdebtpercgni_var";="-0.00122";="-0.00119";="-0.00110";="-0.00126"
="";="(-0.27)";="(-0.25)";="(-0.22)";="(-0.27)"

="ggsb_npgdp";="-0.00915";="-0.0114";="-0.0122";="-0.0134"
="";="(-0.20)";="(-0.25)";="(-0.27)";="(-0.30)"

="pcpipch";="0.0501";="0.0553";="0.0587";="0.0677"
="";="(1.07)";="(1.15)";="(1.15)";="(1.26)"

="defaultlastyear";="0.807*";="";="";=""
="";="(1.81)";="";="";=""

="defaultlast2years";="";="0.509";="";=""
="";="";="(1.18)";="";=""

="defaultlast5years";="";="";="0.408";=""
="";="";="";="(1.21)";=""

="defaultlast10years";="";="";="";="-0.234"
="";="";="";="";="(-0.80)"

="cut1";="";="";="";=""
="_cons";="1.884***";="1.870***";="1.893***";="1.759***"
="";="(4.68)";="(4.59)";="(4.51)";="(4.52)"

="cut2";="";="";="";=""
="_cons";="3.513***";="3.492***";="3.516***";="3.370***"
="";="(8.37)";="(8.30)";="(8.15)";="(8.45)"

="sigma2_u";="";="";="";=""
="_cons";="1.619***";="1.582***";="1.633***";="1.481***"
="";="(2.74)";="(2.79)";="(2.77)";="(2.85)"

="N";="689";="689";="689";="689"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
