
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sf";="diff_dw_sf";="diff_dw_sf";="diff_dw_sf"

="diff_dw_sf";="";="";="";=""
="ngdpdpc_var";="-0.0118";="-0.0118";="-0.0118";="-0.0113"
="";="(-1.54)";="(-1.54)";="(-1.54)";="(-1.48)"

="ngdp_rpch";="-0.0381*";="-0.0383**";="-0.0377*";="-0.0313"
="";="(-1.95)";="(-1.97)";="(-1.92)";="(-1.58)"

="extdebtpercgni_var";="-0.00734*";="-0.00736*";="-0.00726*";="-0.00626"
="";="(-1.67)";="(-1.68)";="(-1.67)";="(-1.47)"

="ggsb_npgdp";="-0.0126";="-0.0132";="-0.0126";="-0.00748"
="";="(-0.47)";="(-0.47)";="(-0.44)";="(-0.26)"

="pcpipch";="-0.000253";="-0.000254";="-0.000261";="-0.000363"
="";="(-0.56)";="(-0.57)";="(-0.59)";="(-0.77)"

="defaultlastyear";="-0.0651";="";="";=""
="";="(-0.32)";="";="";=""

="defaultlast2years";="";="-0.0250";="";=""
="";="";="(-0.12)";="";=""

="defaultlast5years";="";="";="-0.0526";=""
="";="";="";="(-0.29)";=""

="defaultlast10years";="";="";="";="-0.491*"
="";="";="";="";="(-1.73)"

="cut1";="";="";="";=""
="_cons";="0.0409";="0.0621";="0.0403";="-0.314"
="";="(0.18)";="(0.25)";="(0.16)";="(-1.09)"

="cut2";="";="";="";=""
="_cons";="1.404***";="1.425***";="1.402***";="1.044***"
="";="(5.22)";="(4.88)";="(4.77)";="(3.13)"

="cut3";="";="";="";=""
="_cons";="2.407***";="2.429***";="2.405***";="2.034***"
="";="(6.01)";="(5.69)";="(5.49)";="(4.26)"

="cut4";="";="";="";=""
="_cons";="2.895***";="2.918***";="2.893***";="2.519***"
="";="(7.41)";="(6.88)";="(6.53)";="(5.07)"

="cut5";="";="";="";=""
="_cons";="3.273***";="3.294***";="3.270***";="2.899***"
="";="(9.28)";="(8.51)";="(8.03)";="(6.28)"

="sigma2_u";="";="";="";=""
="_cons";="0.542**";="0.543**";="0.537**";="0.449**"
="";="(2.25)";="(2.23)";="(2.21)";="(2.13)"

="N";="271";="271";="271";="271"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
