
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm"

="diff_dw_sm",="",="",="",=""
="ngdpdpc_var",="-0.00122",="-0.00117",="-0.000997",="-0.000393"
="",="(-0.15)",="(-0.14)",="(-0.12)",="(-0.05)"

="ngdp_rpch",="0.0565**",="0.0563**",="0.0569**",="0.0553**"
="",="(2.33)",="(2.34)",="(2.38)",="(2.35)"

="extdebtpercgni_var",="0.00855",="0.00854",="0.00844",="0.00892"
="",="(1.43)",="(1.42)",="(1.37)",="(1.48)"

="ggxwdg_ngdp_var",="0.00795***",="0.00787***",="0.00776***",="0.00776***"
="",="(3.44)",="(3.41)",="(3.41)",="(3.40)"

="pcpipch",="-0.0347",="-0.0360",="-0.0374",="-0.0361"
="",="(-1.06)",="(-1.09)",="(-1.11)",="(-1.08)"

="defaultlastyear",="-0.620***",="",="",=""
="",="(-2.90)",="",="",=""

="defaultlast2years",="",="-0.462**",="",=""
="",="",="(-2.01)",="",=""

="defaultlast5years",="",="",="-0.406",=""
="",="",="",="(-1.50)",=""

="defaultlast10years",="",="",="",="-0.413"
="",="",="",="",="(-1.30)"

="cut1",="",="",="",=""
="_cons",="0.881***",="0.885***",="0.871***",="0.833***"
="",="(3.40)",="(3.42)",="(3.44)",="(3.26)"

="cut2",="",="",="",=""
="_cons",="2.153***",="2.153***",="2.137***",="2.099***"
="",="(8.30)",="(8.31)",="(8.36)",="(8.07)"

="cut3",="",="",="",=""
="_cons",="3.383***",="3.380***",="3.362***",="3.329***"
="",="(9.62)",="(9.64)",="(9.64)",="(9.36)"

="cut4",="",="",="",=""
="_cons",="4.304***",="4.302***",="4.284***",="4.253***"
="",="(7.89)",="(7.91)",="(7.92)",="(7.82)"

="sigma2_u",="",="",="",=""
="_cons",="1.543***",="1.514***",="1.499***",="1.484***"
="",="(3.24)",="(3.26)",="(3.29)",="(3.27)"

="N",="795",="795",="795",="795"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
