
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm"

="diff_dw_sm";="";="";="";=""
="ngdpdpc_var";="-0.0125";="-0.0125";="-0.0125";="-0.0125"
="";="(-1.43)";="(-1.44)";="(-1.41)";="(-1.43)"

="ngdp_rpch";="0.0126";="0.0134";="0.0114";="0.00941"
="";="(0.63)";="(0.65)";="(0.54)";="(0.47)"

="extdebtpercgni_var";="0.000287";="0.000289";="0.000231";="0.0000477"
="";="(0.09)";="(0.09)";="(0.07)";="(0.01)"

="ggxwdg_ngdp_var";="0.00405";="0.00401";="0.00407";="0.00408"
="";="(0.95)";="(0.96)";="(0.94)";="(0.93)"

="pcpipch";="-0.000334";="-0.000331";="-0.000328";="-0.000321"
="";="(-0.57)";="(-0.56)";="(-0.56)";="(-0.55)"

="defaultlastyear";="0.00144";="";="";=""
="";="(0.01)";="";="";=""

="defaultlast2years";="";="-0.0668";="";=""
="";="";="(-0.42)";="";=""

="defaultlast5years";="";="";="0.0798";=""
="";="";="";="(0.31)";=""

="defaultlast10years";="";="";="";="0.264"
="";="";="";="";="(0.82)"

="cut1";="";="";="";=""
="_cons";="0.301";="0.260";="0.360";="0.520"
="";="(1.60)";="(1.37)";="(1.35)";="(1.54)"

="cut2";="";="";="";=""
="_cons";="1.677***";="1.635***";="1.734***";="1.896***"
="";="(7.04)";="(7.14)";="(6.45)";="(5.05)"

="cut3";="";="";="";=""
="_cons";="2.133***";="2.091***";="2.191***";="2.352***"
="";="(7.52)";="(7.71)";="(7.61)";="(5.79)"

="cut4";="";="";="";=""
="_cons";="2.550***";="2.508***";="2.609***";="2.770***"
="";="(7.84)";="(8.18)";="(8.57)";="(6.38)"

="cut5";="";="";="";=""
="_cons";="2.699***";="2.657***";="2.759***";="2.919***"
="";="(7.33)";="(7.61)";="(8.08)";="(6.23)"

="cut6";="";="";="";=""
="_cons";="3.069***";="3.026***";="3.131***";="3.288***"
="";="(6.12)";="(6.39)";="(7.30)";="(5.74)"

="cut7";="";="";="";=""
="_cons";="3.187***";="3.143***";="3.250***";="3.406***"
="";="(5.68)";="(5.93)";="(6.93)";="(5.53)"

="sigma2_u";="";="";="";=""
="_cons";="0.690***";="0.690***";="0.691***";="0.688***"
="";="(2.95)";="(2.91)";="(2.98)";="(2.98)"

="N";="370";="370";="370";="370"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
