
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm"

="diff_dw_sm";="";="";="";=""
="ngdpdpc_var";="-0.0145*";="-0.0145*";="-0.0144*";="-0.0145*"
="";="(-1.87)";="(-1.87)";="(-1.84)";="(-1.86)"

="ngdp_rpch";="0.0124";="0.0131";="0.0112";="0.00945"
="";="(0.60)";="(0.62)";="(0.52)";="(0.45)"

="extdebtpercgni_var";="-0.000178";="-0.000166";="-0.000246";="-0.000454"
="";="(-0.05)";="(-0.05)";="(-0.07)";="(-0.14)"

="ggxwdn_ngdp_var";="0.00569";="0.00552";="0.00591";="0.00631"
="";="(1.53)";="(1.49)";="(1.53)";="(1.52)"

="pcpipch";="-0.000356";="-0.000352";="-0.000348";="-0.000340"
="";="(-0.60)";="(-0.59)";="(-0.58)";="(-0.58)"

="defaultlastyear";="0.0107";="";="";=""
="";="(0.07)";="";="";=""

="defaultlast2years";="";="-0.0556";="";=""
="";="";="(-0.35)";="";=""

="defaultlast5years";="";="";="0.0960";=""
="";="";="";="(0.37)";=""

="defaultlast10years";="";="";="";="0.296"
="";="";="";="";="(0.89)"

="cut1";="";="";="";=""
="_cons";="0.303";="0.263";="0.370";="0.546"
="";="(1.58)";="(1.36)";="(1.38)";="(1.56)"

="cut2";="";="";="";=""
="_cons";="1.680***";="1.640***";="1.746***";="1.925***"
="";="(7.45)";="(7.61)";="(6.87)";="(5.09)"

="cut3";="";="";="";=""
="_cons";="2.139***";="2.098***";="2.205***";="2.384***"
="";="(7.58)";="(7.79)";="(7.78)";="(5.72)"

="cut4";="";="";="";=""
="_cons";="2.561***";="2.519***";="2.628***";="2.806***"
="";="(8.10)";="(8.51)";="(9.08)";="(6.43)"

="cut5";="";="";="";=""
="_cons";="2.712***";="2.670***";="2.780***";="2.957***"
="";="(7.61)";="(7.96)";="(8.62)";="(6.35)"

="cut6";="";="";="";=""
="_cons";="3.085***";="3.043***";="3.156***";="3.330***"
="";="(6.02)";="(6.28)";="(7.23)";="(5.61)"

="cut7";="";="";="";=""
="_cons";="3.202***";="3.160***";="3.275***";="3.448***"
="";="(5.59)";="(5.84)";="(6.86)";="(5.42)"

="sigma2_u";="";="";="";=""
="_cons";="0.711***";="0.711***";="0.713***";="0.712***"
="";="(2.97)";="(2.93)";="(3.00)";="(2.99)"

="N";="370";="370";="370";="370"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
