
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm"

="diff_dw_sm";="";="";="";=""
="ngdpdpc_var";="-0.00486";="-0.00485";="-0.00470";="-0.00423"
="";="(-0.60)";="(-0.60)";="(-0.58)";="(-0.52)"

="ngdp_rpch";="0.0488";="0.0489";="0.0493";="0.0473"
="";="(1.61)";="(1.61)";="(1.63)";="(1.62)"

="extdebtpercgni_var";="0.00675";="0.00671";="0.00659";="0.00701"
="";="(1.07)";="(1.06)";="(1.02)";="(1.09)"

="ggsb_npgdp";="-0.0521";="-0.0515";="-0.0495";="-0.0480"
="";="(-1.38)";="(-1.38)";="(-1.32)";="(-1.29)"

="pcpipch";="-0.0318";="-0.0337";="-0.0356";="-0.0347"
="";="(-0.91)";="(-0.94)";="(-0.96)";="(-0.94)"

="defaultlastyear";="-0.577**";="";="";=""
="";="(-2.37)";="";="";=""

="defaultlast2years";="";="-0.413*";="";=""
="";="";="(-1.71)";="";=""

="defaultlast5years";="";="";="-0.331";=""
="";="";="";="(-1.18)";=""

="defaultlast10years";="";="";="";="-0.314"
="";="";="";="";="(-0.92)"

="cut1";="";="";="";=""
="_cons";="0.866***";="0.867***";="0.851***";="0.819***"
="";="(3.15)";="(3.16)";="(3.18)";="(3.08)"

="cut2";="";="";="";=""
="_cons";="2.167***";="2.164***";="2.144***";="2.113***"
="";="(8.19)";="(8.20)";="(8.30)";="(8.12)"

="cut3";="";="";="";=""
="_cons";="3.300***";="3.295***";="3.274***";="3.248***"
="";="(7.98)";="(7.99)";="(7.95)";="(7.72)"

="cut4";="";="";="";=""
="_cons";="4.202***";="4.197***";="4.177***";="4.152***"
="";="(6.91)";="(6.93)";="(6.92)";="(6.82)"

="sigma2_u";="";="";="";=""
="_cons";="1.428***";="1.401***";="1.387***";="1.383***"
="";="(3.25)";="(3.26)";="(3.29)";="(3.27)"

="N";="743";="743";="743";="743"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
