
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm",="diff_dw_sm"

="diff_dw_sm",="",="",="",=""
="ngdpdpc_var",="-0.0199**",="-0.0199**",="-0.0199**",="-0.0201**"
="",="(-2.45)",="(-2.43)",="(-2.42)",="(-2.48)"

="ngdp_rpch",="0.00366",="0.00190",="-0.0000483",="0.00117"
="",="(0.16)",="(0.08)",="(-0.00)",="(0.05)"

="extdebtpercgni_var",="-0.00735**",="-0.00737**",="-0.00757**",="-0.00759**"
="",="(-2.15)",="(-2.16)",="(-2.11)",="(-2.20)"

="ggsb_npgdp",="-0.0129",="-0.0149",="-0.0167",="-0.0148"
="",="(-0.41)",="(-0.48)",="(-0.54)",="(-0.49)"

="pcpipch",="-0.000286",="-0.000286",="-0.000271",="-0.000284"
="",="(-0.53)",="(-0.53)",="(-0.50)",="(-0.52)"

="defaultlastyear",="-0.0931",="",="",=""
="",="(-0.44)",="",="",=""

="defaultlast2years",="",="0.0324",="",=""
="",="",="(0.16)",="",=""

="defaultlast5years",="",="",="0.129",=""
="",="",="",="(0.43)",=""

="defaultlast10years",="",="",="",="0.0966"
="",="",="",="",="(0.33)"

="cut1",="",="",="",=""
="_cons",="0.296",="0.371",="0.448",="0.426"
="",="(1.02)",="(1.27)",="(1.30)",="(1.25)"

="cut2",="",="",="",=""
="_cons",="1.551***",="1.629***",="1.708***",="1.685***"
="",="(4.29)",="(4.40)",="(4.52)",="(4.46)"

="cut3",="",="",="",=""
="_cons",="2.091***",="2.172***",="2.253***",="2.227***"
="",="(4.88)",="(5.14)",="(5.76)",="(5.07)"

="cut4",="",="",="",=""
="_cons",="2.207***",="2.288***",="2.370***",="2.343***"
="",="(4.98)",="(5.26)",="(6.03)",="(5.23)"

="cut5",="",="",="",=""
="_cons",="2.275***",="2.356***",="2.438***",="2.411***"
="",="(4.94)",="(5.23)",="(6.04)",="(5.21)"

="cut6",="",="",="",=""
="_cons",="2.550***",="2.630***",="2.715***",="2.685***"
="",="(4.64)",="(5.09)",="(6.44)",="(4.98)"

="cut7",="",="",="",=""
="_cons",="2.682***",="2.762***",="2.849***",="2.817***"
="",="(4.25)",="(4.66)",="(5.98)",="(4.61)"

="sigma2_u",="",="",="",=""
="_cons",="0.464**",="0.485**",="0.502**",="0.484**"
="",="(2.04)",="(2.11)",="(2.11)",="(2.19)"

="N",="233",="233",="233",="233"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
