
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_mf",="diff_up_mf",="diff_up_mf",="diff_up_mf"

="diff_up_mf",="",="",="",=""
="ngdpdpc_var",="0.00347",="0.00376",="0.00233",="0.00376"
="",="(0.44)",="(0.46)",="(0.30)",="(0.50)"

="ngdp_rpch",="-0.0188",="-0.0205",="-0.0125",="-0.0193"
="",="(-0.55)",="(-0.59)",="(-0.36)",="(-0.55)"

="extdebtpercgni_var",="0.00479",="0.00479",="0.00458",="0.00485"
="",="(1.05)",="(1.04)",="(1.01)",="(1.05)"

="budgetbal_ngdp_var",="0.000274",="0.000278",="0.000265",="0.000274"
="",="(1.33)",="(1.32)",="(1.30)",="(1.32)"

="pcpipch",="-0.000868",="-0.000873",="-0.000897",="-0.000880"
="",="(-0.42)",="(-0.43)",="(-0.37)",="(-0.40)"

="defaultlastyear",="-0.0786",="",="",=""
="",="(-0.37)",="",="",=""

="defaultlast2years",="",="-0.0202",="",=""
="",="",="(-0.08)",="",=""

="defaultlast5years",="",="",="-0.341",=""
="",="",="",="(-1.24)",=""

="defaultlast10years",="",="",="",="-0.147"
="",="",="",="",="(-0.33)"

="cut1",="",="",="",=""
="_cons",="0.182",="0.205",="-0.00368",="0.0965"
="",="(0.79)",="(0.86)",="(-0.02)",="(0.26)"

="cut2",="",="",="",=""
="_cons",="1.833***",="1.857***",="1.645***",="1.743***"
="",="(4.97)",="(4.62)",="(4.38)",="(3.55)"

="cut3",="",="",="",=""
="_cons",="2.767***",="2.792***",="2.574***",="2.675***"
="",="(4.43)",="(4.27)",="(4.01)",="(3.58)"

="cut4",="",="",="",=""
="_cons",="2.878***",="2.904***",="2.684***",="2.787***"
="",="(4.27)",="(4.13)",="(3.89)",="(3.54)"

="cut5",="",="",="",=""
="_cons",="3.017***",="3.043***",="2.822***",="2.926***"
="",="(4.62)",="(4.45)",="(4.21)",="(3.82)"

="cut6",="",="",="",=""
="_cons",="3.474***",="3.499***",="3.278***",="3.384***"
="",="(5.83)",="(5.59)",="(5.35)",="(4.78)"

="sigma2_u",="",="",="",=""
="_cons",="1.121**",="1.135**",="1.068**",="1.096**"
="",="(2.25)",="(2.17)",="(2.23)",="(2.16)"

="N",="238",="238",="238",="238"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
