
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_mf",="diff_up_mf",="diff_up_mf",="diff_up_mf"

="diff_up_mf",="",="",="",=""
="ngdpdpc_var",="0.0181*",="0.0180*",="0.0182*",="0.0181*"
="",="(1.72)",="(1.72)",="(1.72)",="(1.72)"

="ngdp_rpch",="-0.0316",="-0.0316",="-0.0307",="-0.0312"
="",="(-1.05)",="(-1.05)",="(-1.02)",="(-1.03)"

="extdebtpercgni_var",="0.00739",="0.00736",="0.00734",="0.00744"
="",="(1.49)",="(1.47)",="(1.44)",="(1.49)"

="ggxwdg_ngdp_var",="0.00424",="0.00423",="0.00404",="0.00414"
="",="(0.99)",="(0.99)",="(0.96)",="(0.97)"

="pcpipch",="-0.105**",="-0.104**",="-0.104**",="-0.105**"
="",="(-2.56)",="(-2.52)",="(-2.49)",="(-2.53)"

="defaultlastyear",="-0.242",="",="",=""
="",="(-0.50)",="",="",=""

="defaultlast2years",="",="-0.327",="",=""
="",="",="(-0.85)",="",=""

="defaultlast5years",="",="",="-0.387",=""
="",="",="",="(-1.06)",=""

="defaultlast10years",="",="",="",="-0.0921"
="",="",="",="",="(-0.26)"

="cut1",="",="",="",=""
="_cons",="0.633**",="0.624**",="0.606**",="0.631**"
="",="(2.36)",="(2.35)",="(2.28)",="(2.30)"

="cut2",="",="",="",=""
="_cons",="2.023***",="2.014***",="1.997***",="2.020***"
="",="(7.05)",="(7.05)",="(6.98)",="(6.87)"

="cut3",="",="",="",=""
="_cons",="3.061***",="3.050***",="3.031***",="3.058***"
="",="(9.15)",="(9.09)",="(8.96)",="(8.81)"

="cut4",="",="",="",=""
="_cons",="3.591***",="3.580***",="3.562***",="3.588***"
="",="(8.67)",="(8.63)",="(8.54)",="(8.50)"

="cut5",="",="",="",=""
="_cons",="4.294***",="4.284***",="4.266***",="4.292***"
="",="(9.85)",="(9.82)",="(9.73)",="(9.70)"

="sigma2_u",="",="",="",=""
="_cons",="1.766***",="1.765***",="1.792***",="1.773***"
="",="(3.39)",="(3.40)",="(3.42)",="(3.37)"

="N",="665",="665",="665",="665"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
