
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_mf",="diff_up_mf",="diff_up_mf",="diff_up_mf"

="diff_up_mf",="",="",="",=""
="ngdpdpc_var",="0.00406",="0.00438",="0.00285",="0.00432"
="",="(0.51)",="(0.54)",="(0.36)",="(0.57)"

="ngdp_rpch",="-0.0174",="-0.0194",="-0.0108",="-0.0177"
="",="(-0.51)",="(-0.56)",="(-0.31)",="(-0.50)"

="extdebtpercgni_var",="0.00504",="0.00506",="0.00482",="0.00511"
="",="(1.09)",="(1.08)",="(1.05)",="(1.09)"

="ggxwdn_ngdp_var",="-0.000289",="-0.000321",="-0.000138",="-0.000195"
="",="(-0.04)",="(-0.05)",="(-0.02)",="(-0.03)"

="pcpipch",="-0.000805",="-0.000808",="-0.000829",="-0.000815"
="",="(-0.47)",="(-0.48)",="(-0.42)",="(-0.45)"

="defaultlastyear",="-0.0756",="",="",=""
="",="(-0.36)",="",="",=""

="defaultlast2years",="",="-0.00685",="",=""
="",="",="(-0.03)",="",=""

="defaultlast5years",="",="",="-0.349",=""
="",="",="",="(-1.28)",=""

="defaultlast10years",="",="",="",="-0.153"
="",="",="",="",="(-0.34)"

="cut1",="",="",="",=""
="_cons",="0.202",="0.231",="0.0106",="0.111"
="",="(0.87)",="(0.95)",="(0.05)",="(0.30)"

="cut2",="",="",="",=""
="_cons",="1.852***",="1.883***",="1.659***",="1.756***"
="",="(5.05)",="(4.74)",="(4.42)",="(3.58)"

="cut3",="",="",="",=""
="_cons",="2.786***",="2.817***",="2.587***",="2.688***"
="",="(4.49)",="(4.35)",="(4.04)",="(3.60)"

="cut4",="",="",="",=""
="_cons",="2.897***",="2.929***",="2.697***",="2.799***"
="",="(4.32)",="(4.20)",="(3.92)",="(3.56)"

="cut5",="",="",="",=""
="_cons",="3.036***",="3.067***",="2.834***",="2.938***"
="",="(4.67)",="(4.54)",="(4.25)",="(3.84)"

="cut6",="",="",="",=""
="_cons",="3.492***",="3.524***",="3.291***",="3.396***"
="",="(5.91)",="(5.70)",="(5.40)",="(4.81)"

="sigma2_u",="",="",="",=""
="_cons",="1.148**",="1.164**",="1.091**",="1.119**"
="",="(2.25)",="(2.19)",="(2.24)",="(2.16)"

="N",="238",="238",="238",="238"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
