
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_sf",="diff_up_sf",="diff_up_sf",="diff_up_sf"

="diff_up_sf",="",="",="",=""
="ngdpdpc_var",="-0.00126",="-0.00129",="-0.000837",="0.000444"
="",="(-0.16)",="(-0.16)",="(-0.11)",="(0.06)"

="ngdp_rpch",="-0.00253",="-0.00246",="-0.00267",="-0.00457"
="",="(-0.27)",="(-0.27)",="(-0.29)",="(-0.53)"

="extdebtpercgni_var",="0.00185",="0.00147",="0.00122",="0.00157"
="",="(0.46)",="(0.37)",="(0.31)",="(0.39)"

="budgetbal_ngdp_var",="-0.0000675**",="-0.0000661**",="-0.0000872***",="-0.0000750***"
="",="(-2.50)",="(-2.40)",="(-2.61)",="(-2.85)"

="pcpipch",="-0.000623",="-0.000634",="-0.000629",="-0.000617"
="",="(-1.45)",="(-1.48)",="(-1.47)",="(-1.34)"

="defaultlastyear",="-0.290",="",="",=""
="",="(-0.91)",="",="",=""

="defaultlast2years",="",="-0.430",="",=""
="",="",="(-1.32)",="",=""

="defaultlast5years",="",="",="-0.537",=""
="",="",="",="(-1.49)",=""

="defaultlast10years",="",="",="",="-0.797"
="",="",="",="",="(-1.48)"

="cut1",="",="",="",=""
="_cons",="0.609**",="0.496",="0.371",="0.0521"
="",="(2.05)",="(1.61)",="(1.03)",="(0.10)"

="cut2",="",="",="",=""
="_cons",="2.362***",="2.253***",="2.131***",="1.810***"
="",="(6.67)",="(6.47)",="(5.13)",="(2.88)"

="cut3",="",="",="",=""
="_cons",="2.924***",="2.816***",="2.697***",="2.386***"
="",="(6.60)",="(6.78)",="(5.56)",="(3.51)"

="cut4",="",="",="",=""
="_cons",="3.956***",="3.841***",="3.725***",="3.417***"
="",="(3.90)",="(3.95)",="(3.66)",="(3.08)"

="sigma2_u",="",="",="",=""
="_cons",="1.527**",="1.484**",="1.402**",="1.176**"
="",="(2.04)",="(2.08)",="(2.11)",="(2.04)"

="N",="376",="376",="376",="376"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
