
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_sf",="diff_up_sf",="diff_up_sf",="diff_up_sf"

="diff_up_sf",="",="",="",=""
="ngdpdpc_var",="0.00194",="0.00177",="0.00222",="0.00383"
="",="(0.24)",="(0.22)",="(0.28)",="(0.52)"

="ngdp_rpch",="-0.0106",="-0.0102",="-0.0104",="-0.0131"
="",="(-1.04)",="(-0.99)",="(-1.01)",="(-1.30)"

="extdebtpercgni_var",="0.00161",="0.00124",="0.00105",="0.00131"
="",="(0.39)",="(0.31)",="(0.26)",="(0.32)"

="ggxwdn_ngdp_var",="0.00675*",="0.00649*",="0.00622*",="0.00712*"
="",="(1.78)",="(1.76)",="(1.76)",="(1.84)"

="pcpipch",="-0.000644",="-0.000655",="-0.000653",="-0.000644"
="",="(-1.45)",="(-1.47)",="(-1.47)",="(-1.33)"

="defaultlastyear",="-0.293",="",="",=""
="",="(-0.92)",="",="",=""

="defaultlast2years",="",="-0.427",="",=""
="",="",="(-1.31)",="",=""

="defaultlast5years",="",="",="-0.484",=""
="",="",="",="(-1.44)",=""

="defaultlast10years",="",="",="",="-0.798"
="",="",="",="",="(-1.49)"

="cut1",="",="",="",=""
="_cons",="0.580*",="0.471",="0.382",="0.0227"
="",="(1.95)",="(1.53)",="(1.09)",="(0.04)"

="cut2",="",="",="",=""
="_cons",="2.337***",="2.231***",="2.143***",="1.785***"
="",="(6.63)",="(6.45)",="(5.22)",="(2.86)"

="cut3",="",="",="",=""
="_cons",="2.900***",="2.795***",="2.709***",="2.361***"
="",="(6.56)",="(6.76)",="(5.62)",="(3.48)"

="cut4",="",="",="",=""
="_cons",="3.935***",="3.823***",="3.742***",="3.396***"
="",="(3.87)",="(3.93)",="(3.67)",="(3.06)"

="sigma2_u",="",="",="",=""
="_cons",="1.522**",="1.475**",="1.406**",="1.174**"
="",="(2.04)",="(2.08)",="(2.09)",="(2.04)"

="N",="376",="376",="376",="376"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
