
="",="(1)",="(2)",="(3)",="(4)"
="",="diff_up_sf",="diff_up_sf",="diff_up_sf",="diff_up_sf"

="diff_up_sf",="",="",="",=""
="ngdpdpc_var",="-0.0105",="-0.0102",="-0.0106",="-0.0109"
="",="(-1.30)",="(-1.29)",="(-1.37)",="(-1.36)"

="ngdp_rpch",="-0.00839",="-0.0108",="-0.00825",="-0.00595"
="",="(-0.25)",="(-0.33)",="(-0.25)",="(-0.18)"

="extdebtpercgni_var",="-0.00584",="-0.00632",="-0.00590",="-0.00575"
="",="(-0.94)",="(-1.01)",="(-0.93)",="(-0.91)"

="ggsb_npgdp",="-0.0463",="-0.0500",="-0.0460",="-0.0445"
="",="(-0.70)",="(-0.75)",="(-0.70)",="(-0.68)"

="pcpipch",="-0.0179",="-0.0201",="-0.0178",="-0.0145"
="",="(-0.50)",="(-0.54)",="(-0.46)",="(-0.38)"

="defaultlastyear",="0.489",="",="",=""
="",="(1.12)",="",="",=""

="defaultlast2years",="",="0.509",="",=""
="",="",="(1.16)",="",=""

="defaultlast5years",="",="",="0.136",=""
="",="",="",="(0.39)",=""

="defaultlast10years",="",="",="",="-0.0152"
="",="",="",="",="(-0.04)"

="cut1",="",="",="",=""
="_cons",="1.479***",="1.490***",="1.435***",="1.417***"
="",="(4.23)",="(4.25)",="(4.17)",="(4.06)"

="cut2",="",="",="",=""
="_cons",="3.045***",="3.061***",="2.997***",="2.978***"
="",="(7.74)",="(7.94)",="(7.85)",="(7.77)"

="sigma2_u",="",="",="",=""
="_cons",="1.460***",="1.468***",="1.406***",="1.406***"
="",="(3.45)",="(3.45)",="(3.38)",="(3.24)"

="N",="710",="710",="710",="710"

="t statistics in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
