
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf";="diff_dw_mf"

="diff_dw_mf";="";="";="";=""
="ngdpdpc_var";="0.0000191";="0.000877";="0.000419";="0.00116"
="";="(0.00)";="(0.09)";="(0.04)";="(0.12)"

="ngdp_rpch";="-0.00762";="-0.0152";="-0.0104";="-0.000569"
="";="(-0.25)";="(-0.48)";="(-0.34)";="(-0.02)"

="extdebtpercgni_var";="-0.000175";="0.00000747";="-0.0000788";="0.000625"
="";="(-0.04)";="(0.00)";="(-0.02)";="(0.15)"

="budgetbal_ngdp_var";="8.70e-08";="0.000000996";="0.00000119";="0.000000973"
="";="(0.02)";="(0.23)";="(0.29)";="(0.22)"

="pcpipch";="-0.0111";="-0.0107";="-0.0110";="-0.0133*"
="";="(-1.43)";="(-1.35)";="(-1.41)";="(-1.81)"

="defaultlastyear";="-0.102";="";="";=""
="";="(-0.39)";="";="";=""

="defaultlast2years";="";="0.132";="";=""
="";="";="(0.44)";="";=""

="defaultlast5years";="";="";="-0.0102";=""
="";="";="";="(-0.03)";=""

="defaultlast10years";="";="";="";="-0.617"
="";="";="";="";="(-1.48)"

="cut1";="";="";="";=""
="_cons";="-0.234";="-0.112";="-0.192";="-0.720*"
="";="(-1.08)";="(-0.44)";="(-0.62)";="(-1.81)"

="cut2";="";="";="";=""
="_cons";="1.278***";="1.393***";="1.314***";="0.789**"
="";="(5.03)";="(4.71)";="(3.77)";="(1.99)"

="cut3";="";="";="";=""
="_cons";="2.135***";="2.247***";="2.169***";="1.647***"
="";="(9.02)";="(7.92)";="(6.51)";="(4.13)"

="cut4";="";="";="";=""
="_cons";="2.791***";="2.898***";="2.823***";="2.298***"
="";="(7.12)";="(6.83)";="(5.83)";="(4.17)"

="sigma2_u";="";="";="";=""
="_cons";="0.400**";="0.377*";="0.385*";="0.333*"
="";="(2.00)";="(1.88)";="(1.94)";="(1.93)"

="N";="296";="296";="296";="296"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
