
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sf";="diff_dw_sf";="diff_dw_sf";="diff_dw_sf"

="diff_dw_sf";="";="";="";=""
="ngdpdpc_var";="-0.00610";="-0.00609";="-0.00559";="-0.00571"
="";="(-0.94)";="(-0.93)";="(-0.88)";="(-0.89)"

="ngdp_rpch";="-0.0417*";="-0.0409*";="-0.0441**";="-0.0410*"
="";="(-1.92)";="(-1.88)";="(-2.04)";="(-1.87)"

="extdebtpercgni_var";="-0.00456**";="-0.00465**";="-0.00444**";="-0.00425**"
="";="(-2.03)";="(-2.09)";="(-2.02)";="(-1.98)"

="ggxwdn_ngdp_var";="0.00678*";="0.00659*";="0.00714*";="0.00627*"
="";="(1.93)";="(1.86)";="(1.91)";="(1.77)"

="pcpipch";="-0.000257";="-0.000277";="-0.000272";="-0.000351"
="";="(-0.53)";="(-0.57)";="(-0.57)";="(-0.68)"

="defaultlastyear";="-0.209";="";="";=""
="";="(-1.15)";="";="";=""

="defaultlast2years";="";="-0.228";="";=""
="";="";="(-1.17)";="";=""

="defaultlast5years";="";="";="-0.0301";=""
="";="";="";="(-0.14)";=""

="defaultlast10years";="";="";="";="-0.389"
="";="";="";="";="(-1.34)"

="cut1";="";="";="";=""
="_cons";="0.00780";="-0.0173";="0.101";="-0.207"
="";="(0.04)";="(-0.09)";="(0.47)";="(-0.78)"

="cut2";="";="";="";=""
="_cons";="1.529***";="1.506***";="1.620***";="1.312***"
="";="(6.30)";="(6.05)";="(5.65)";="(4.00)"

="cut3";="";="";="";=""
="_cons";="2.303***";="2.280***";="2.397***";="2.082***"
="";="(7.23)";="(6.98)";="(6.68)";="(5.21)"

="cut4";="";="";="";=""
="_cons";="2.647***";="2.624***";="2.742***";="2.422***"
="";="(8.54)";="(8.27)";="(7.80)";="(6.05)"

="cut5";="";="";="";=""
="_cons";="2.782***";="2.758***";="2.876***";="2.554***"
="";="(9.20)";="(8.74)";="(7.99)";="(6.12)"

="cut6";="";="";="";=""
="_cons";="3.433***";="3.403***";="3.518***";="3.191***"
="";="(9.24)";="(8.72)";="(7.89)";="(6.29)"

="cut7";="";="";="";=""
="_cons";="3.670***";="3.633***";="3.746***";="3.419***"
="";="(7.26)";="(7.02)";="(6.56)";="(5.42)"

="cut8";="";="";="";=""
="_cons";="3.978***";="3.936***";="4.046***";="3.722***"
="";="(5.07)";="(5.01)";="(4.86)";="(4.19)"

="sigma2_u";="";="";="";=""
="_cons";="0.810**";="0.813**";="0.804**";="0.757*"
="";="(2.02)";="(2.02)";="(2.01)";="(1.89)"

="N";="435";="435";="435";="435"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
