
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm";="diff_dw_sm"

="diff_dw_sm";="";="";="";=""
="ngdpdpc_var";="-0.0159**";="-0.0159**";="-0.0159**";="-0.0160**"
="";="(-2.09)";="(-2.09)";="(-2.07)";="(-2.09)"

="ngdp_rpch";="0.00815";="0.00934";="0.00677";="0.00487"
="";="(0.38)";="(0.42)";="(0.30)";="(0.22)"

="extdebtpercgni_var";="0.0000743";="0.0000833";="0.0000102";="-0.000169"
="";="(0.02)";="(0.03)";="(0.00)";="(-0.05)"

="budgetbal_ngdp_var";="0.000253";="0.000257*";="0.000255*";="0.000255*"
="";="(1.63)";="(1.66)";="(1.66)";="(1.65)"

="pcpipch";="-0.000373";="-0.000370";="-0.000365";="-0.000358"
="";="(-0.61)";="(-0.60)";="(-0.60)";="(-0.59)"

="defaultlastyear";="0.0000183";="";="";=""
="";="(0.00)";="";="";=""

="defaultlast2years";="";="-0.0840";="";=""
="";="";="(-0.53)";="";=""

="defaultlast5years";="";="";="0.0893";=""
="";="";="";="(0.35)";=""

="defaultlast10years";="";="";="";="0.270"
="";="";="";="";="(0.85)"

="cut1";="";="";="";=""
="_cons";="0.251";="0.200";="0.317";="0.474"
="";="(1.30)";="(1.05)";="(1.22)";="(1.46)"

="cut2";="";="";="";=""
="_cons";="1.633***";="1.583***";="1.698***";="1.857***"
="";="(7.33)";="(7.51)";="(7.03)";="(5.32)"

="cut3";="";="";="";=""
="_cons";="2.093***";="2.042***";="2.158***";="2.317***"
="";="(7.54)";="(7.78)";="(8.04)";="(6.02)"

="cut4";="";="";="";=""
="_cons";="2.517***";="2.466***";="2.584***";="2.741***"
="";="(8.09)";="(8.50)";="(9.46)";="(6.76)"

="cut5";="";="";="";=""
="_cons";="2.670***";="2.618***";="2.737***";="2.893***"
="";="(7.58)";="(7.93)";="(8.90)";="(6.61)"

="cut6";="";="";="";=""
="_cons";="3.042***";="2.990***";="3.112***";="3.266***"
="";="(5.92)";="(6.17)";="(7.22)";="(5.72)"

="cut7";="";="";="";=""
="_cons";="3.159***";="3.106***";="3.230***";="3.383***"
="";="(5.47)";="(5.70)";="(6.76)";="(5.47)"

="sigma2_u";="";="";="";=""
="_cons";="0.705***";="0.707***";="0.706***";="0.701***"
="";="(2.98)";="(2.94)";="(3.03)";="(3.02)"

="N";="370";="370";="370";="370"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
