
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_mf";="diff_up_mf";="diff_up_mf";="diff_up_mf"

="diff_up_mf";="";="";="";=""
="ngdpdpc_var";="0.00683";="0.00715";="0.00460";="0.00847"
="";="(0.95)";="(0.98)";="(0.68)";="(1.25)"

="ngdp_rpch";="-0.0173";="-0.0194";="-0.00781";="-0.0262"
="";="(-0.48)";="(-0.52)";="(-0.21)";="(-0.68)"

="extdebtpercgni_var";="0.00819*";="0.00792";="0.00816";="0.00835*"
="";="(1.69)";="(1.55)";="(1.62)";="(1.65)"

="ggsb_npgdp";="-0.0260";="-0.0247";="-0.0158";="-0.0273"
="";="(-0.49)";="(-0.46)";="(-0.28)";="(-0.51)"

="pcpipch";="-0.000928";="-0.000963";="-0.00126";="-0.000754"
="";="(-0.23)";="(-0.23)";="(-0.16)";="(-0.36)"

="defaultlastyear";="-0.494*";="";="";=""
="";="(-1.92)";="";="";=""

="defaultlast2years";="";="-0.404";="";=""
="";="";="(-1.43)";="";=""

="defaultlast5years";="";="";="-0.757***";=""
="";="";="";="(-2.91)";=""

="defaultlast10years";="";="";="";="-0.201"
="";="";="";="";="(-0.42)"

="cut1";="";="";="";=""
="_cons";="0.286";="0.293";="0.0273";="0.353"
="";="(0.92)";="(0.90)";="(0.08)";="(0.76)"

="cut2";="";="";="";=""
="_cons";="1.675***";="1.682***";="1.446***";="1.734**"
="";="(3.27)";="(3.05)";="(2.75)";="(2.53)"

="cut3";="";="";="";=""
="_cons";="2.631***";="2.642***";="2.408***";="2.693**"
="";="(3.04)";="(2.92)";="(2.68)";="(2.54)"

="cut4";="";="";="";=""
="_cons";="2.772***";="2.783***";="2.549***";="2.836***"
="";="(3.32)";="(3.19)";="(2.94)";="(2.76)"

="cut5";="";="";="";=""
="_cons";="3.227***";="3.241***";="3.008***";="3.297***"
="";="(4.31)";="(4.12)";="(3.86)";="(3.51)"

="sigma2_u";="";="";="";=""
="_cons";="0.987*";="1.016*";="1.028*";="1.058"
="";="(1.95)";="(1.84)";="(1.81)";="(1.62)"

="N";="170";="170";="170";="170"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
