
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_sf";="diff_up_sf";="diff_up_sf";="diff_up_sf"

="diff_up_sf";="";="";="";=""
="ngdpdpc_var";="-0.00882";="-0.00847";="-0.00896";="-0.00933"
="";="(-1.23)";="(-1.22)";="(-1.30)";="(-1.31)"

="ngdp_rpch";="-0.0222";="-0.0240";="-0.0217";="-0.0196"
="";="(-0.86)";="(-0.96)";="(-0.86)";="(-0.75)"

="extdebtpercgni_var";="-0.00538";="-0.00573";="-0.00544";="-0.00538"
="";="(-0.98)";="(-1.05)";="(-0.98)";="(-0.96)"

="ggxwdg_ngdp_var";="-0.00150";="-0.00121";="-0.00146";="-0.00170"
="";="(-0.29)";="(-0.23)";="(-0.28)";="(-0.34)"

="pcpipch";="-0.0318";="-0.0335";="-0.0313";="-0.0283"
="";="(-0.92)";="(-0.95)";="(-0.86)";="(-0.78)"

="defaultlastyear";="0.424";="";="";=""
="";="(0.96)";="";="";=""

="defaultlast2years";="";="0.422";="";=""
="";="";="(0.99)";="";=""

="defaultlast5years";="";="";="0.0977";=""
="";="";="";="(0.29)";=""

="defaultlast10years";="";="";="";="-0.0647"
="";="";="";="";="(-0.18)"

="cut1";="";="";="";=""
="_cons";="1.268***";="1.267***";="1.234***";="1.217***"
="";="(5.18)";="(5.25)";="(5.26)";="(5.20)"

="cut2";="";="";="";=""
="_cons";="2.783***";="2.786***";="2.747***";="2.729***"
="";="(7.82)";="(8.00)";="(8.02)";="(8.03)"

="sigma2_u";="";="";="";=""
="_cons";="1.306***";="1.302***";="1.271***";="1.285***"
="";="(3.46)";="(3.46)";="(3.40)";="(3.30)"

="N";="773";="773";="773";="773"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
