
="";="(1)";="(2)";="(3)";="(4)"
="";="diff_up_sm";="diff_up_sm";="diff_up_sm";="diff_up_sm"

="diff_up_sm";="";="";="";=""
="ngdpdpc_var";="0.00537";="0.00609";="0.00632";="0.00594"
="";="(0.63)";="(0.71)";="(0.76)";="(0.72)"

="ngdp_rpch";="0.00208";="-0.00447";="-0.00990";="-0.0103"
="";="(0.07)";="(-0.15)";="(-0.33)";="(-0.36)"

="extdebtpercgni_var";="0.00395";="0.00418";="0.00399";="0.00377"
="";="(0.87)";="(0.87)";="(0.89)";="(0.85)"

="ggsb_npgdp";="0.0273";="0.0227";="0.0206";="0.0236"
="";="(0.67)";="(0.55)";="(0.51)";="(0.60)"

="pcpipch";="-0.0102";="-0.0102";="-0.0103";="-0.00968"
="";="(-0.97)";="(-0.97)";="(-0.96)";="(-0.90)"

="defaultlastyear";="-0.118";="";="";=""
="";="(-0.50)";="";="";=""

="defaultlast2years";="";="0.0648";="";=""
="";="";="(0.25)";="";=""

="defaultlast5years";="";="";="0.199";=""
="";="";="";="(0.70)";=""

="defaultlast10years";="";="";="";="0.299"
="";="";="";="";="(0.67)"

="cut1";="";="";="";=""
="_cons";="-0.0306";="0.0666";="0.164";="0.260"
="";="(-0.11)";="(0.22)";="(0.49)";="(0.58)"

="cut2";="";="";="";=""
="_cons";="1.379***";="1.470***";="1.566***";="1.663***"
="";="(5.11)";="(5.01)";="(4.62)";="(3.69)"

="cut3";="";="";="";=""
="_cons";="2.191***";="2.285***";="2.379***";="2.469***"
="";="(6.03)";="(5.72)";="(5.40)";="(4.49)"

="cut4";="";="";="";=""
="_cons";="2.756***";="2.848***";="2.938***";="3.023***"
="";="(6.32)";="(6.22)";="(6.12)";="(5.40)"

="cut5";="";="";="";=""
="_cons";="3.048***";="3.134***";="3.219***";="3.300***"
="";="(6.22)";="(6.28)";="(6.26)";="(5.72)"

="sigma2_u";="";="";="";=""
="_cons";="0.520***";="0.480***";="0.463***";="0.455**"
="";="(2.75)";="(2.67)";="(2.65)";="(2.55)"

="N";="254";="254";="254";="254"

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
