
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00317";="-0.000876";="-0.00244";="-0.000667";="-0.00348";="-0.000941";="-0.00424";="-0.00116"
="";="(-0.49)";="(-0.49)";="(-0.37)";="(-0.37)";="(-0.51)";="(-0.51)";="(-0.62)";="(-0.62)"
="NGDP_RPCH";="0.0132";="0.00365";="0.00819";="0.00224";="0.00442";="0.00120";="0.0113";="0.00310"
="";="(0.59)";="(0.60)";="(0.36)";="(0.36)";="(0.19)";="(0.19)";="(0.49)";="(0.50)"
="ExtDebtPercGNI_Var";="-0.00316";="-0.000873";="-0.00305";="-0.000835";="-0.00381";="-0.00103";="-0.00405";="-0.00111"
="";="(-0.94)";="(-0.95)";="(-0.89)";="(-0.90)";="(-1.06)";="(-1.07)";="(-1.22)";="(-1.23)"
="BudgetBal_NGDP_Var";="0.0000117";="0.00000324";="0.00000685";="0.00000188";="0.0000110";="0.00000297";="0.00000980";="0.00000269"
="";="(0.78)";="(0.78)";="(0.46)";="(0.46)";="(0.74)";="(0.73)";="(0.66)";="(0.65)"
="PCPIPCH";="-0.00208";="-0.000575";="-0.00186";="-0.000509";="-0.00157";="-0.000425";="-0.00130";="-0.000358"
="";="(-0.38)";="(-0.38)";="(-0.35)";="(-0.35)";="(-0.37)";="(-0.37)";="(-0.57)";="(-0.57)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.386";="0.116";="";="";="";="";="";=""
="";="(1.56)";="(1.46)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.552**";="0.167**";="";="";="";=""
="";="";="";="(2.28)";="(2.12)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.676***";="0.199***";="";=""
="";="";="";="";="";="(3.19)";="(3.08)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.428";="0.121"
="";="";="";="";="";="";="";="(1.52)";="(1.51)"
="Const";="-0.955***";="";="-1.009***";="";="-1.087***";="";="-1.042***";=""
="";="(-4.57)";="";="(-4.81)";="";="(-5.21)";="";="(-4.52)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.0895";="";="0.00286";="";="-0.104";="";="0.00359";=""
="";="(0.26)";="";="(0.01)";="";="(-0.31)";="";="(0.01)";=""

="Observations";="851";="851";="851";="851";="851";="851";="851";="851"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
