
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="grossdebtDefault1";="MERat1_grossdebt_Def1";="grossdebtDefault2";="MERat1_grossdebt_Def2";="grossdebtDefault5";="MERat1_grossdebt_Def5";="grossdebtDefault10";="MERat1_grossdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00621";="-0.00173";="-0.00534";="-0.00147";="-0.00619";="-0.00168";="-0.00705";="-0.00195"
="";="(-0.90)";="(-0.90)";="(-0.76)";="(-0.75)";="(-0.87)";="(-0.86)";="(-0.99)";="(-0.99)"
="NGDP_RPCH";="-0.00454";="-0.00126";="-0.00844";="-0.00232";="-0.0107";="-0.00291";="-0.00442";="-0.00122"
="";="(-0.19)";="(-0.19)";="(-0.35)";="(-0.35)";="(-0.42)";="(-0.42)";="(-0.18)";="(-0.18)"
="ExtDebtPercGNI_Var";="-0.00385";="-0.00107";="-0.00371";="-0.00102";="-0.00448";="-0.00122";="-0.00463";="-0.00128"
="";="(-1.06)";="(-1.06)";="(-1.00)";="(-1.01)";="(-1.16)";="(-1.17)";="(-1.30)";="(-1.31)"
="GGXWDG_NGDP_Var";="-0.0111";="-0.00309";="-0.0104";="-0.00287";="-0.00976";="-0.00266";="-0.0103";="-0.00285"
="";="(-1.64)";="(-1.59)";="(-1.54)";="(-1.50)";="(-1.44)";="(-1.40)";="(-1.56)";="(-1.51)"
="PCPIPCH";="-0.00277";="-0.000769";="-0.00251";="-0.000690";="-0.00210";="-0.000571";="-0.00183";="-0.000505"
="";="(-0.56)";="(-0.56)";="(-0.49)";="(-0.49)";="(-0.42)";="(-0.42)";="(-0.38)";="(-0.38)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.360";="0.108";="";="";="";="";="";=""
="";="(1.45)";="(1.36)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.530**";="0.160**";="";="";="";=""
="";="";="";="(2.13)";="(1.99)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.643***";="0.190***";="";=""
="";="";="";="";="";="(2.96)";="(2.87)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.372";="0.106"
="";="";="";="";="";="";="";="(1.27)";="(1.26)"
="Const";="-0.848***";="";="-0.908***";="";="-0.987***";="";="-0.926***";=""
="";="(-3.96)";="";="(-4.21)";="";="(-4.52)";="";="(-3.83)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.0843";="";="-0.00694";="";="-0.108";="";="0.0117";=""
="";="(0.25)";="";="(-0.02)";="";="(-0.32)";="";="(0.03)";=""

="Observations";="851";="851";="851";="851";="851";="851";="851";="851"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
