
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0122**";="-0.00314**";="-0.0123**";="-0.00317**";="-0.0122**";="-0.00310**";="-0.0126**";="-0.00326**"
="";="(-2.24)";="(-2.20)";="(-2.25)";="(-2.20)";="(-2.22)";="(-2.18)";="(-2.30)";="(-2.27)"
="NGDP_RPCH";="-0.0182";="-0.00468";="-0.0180";="-0.00467";="-0.0209";="-0.00533";="-0.0169";="-0.00439"
="";="(-0.78)";="(-0.78)";="(-0.77)";="(-0.77)";="(-0.88)";="(-0.88)";="(-0.71)";="(-0.71)"
="ExtDebtPercGNI_Var";="-0.00312";="-0.000805";="-0.00309";="-0.000797";="-0.00298";="-0.000759";="-0.00336";="-0.000871"
="";="(-1.36)";="(-1.34)";="(-1.35)";="(-1.33)";="(-1.28)";="(-1.27)";="(-1.48)";="(-1.46)"
="BudgetBal_NGDP_Var";="-0.0000114";="-0.00000293";="-0.0000140";="-0.00000362";="-0.0000141";="-0.00000359";="-0.0000135";="-0.00000351"
="";="(-0.85)";="(-0.84)";="(-1.04)";="(-1.03)";="(-1.06)";="(-1.06)";="(-0.99)";="(-0.98)"
="PCPIPCH";="-0.000105";="-0.0000271";="-0.0000951";="-0.0000246";="-0.0000989";="-0.0000252";="-0.0000845";="-0.0000219"
="";="(-0.24)";="(-0.24)";="(-0.22)";="(-0.22)";="(-0.23)";="(-0.23)";="(-0.19)";="(-0.19)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.225";="0.0608";="";="";="";="";="";=""
="";="(1.02)";="(0.99)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.194";="0.0518";="";="";="";=""
="";="";="";="(1.00)";="(0.99)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.374**";="0.0995**";="";=""
="";="";="";="";="";="(2.12)";="(2.09)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.143";="0.0372"
="";="";="";="";="";="";="";="(0.71)";="(0.71)"
="Const";="-0.857***";="";="-0.854***";="";="-0.939***";="";="-0.859***";=""
="";="(-5.34)";="";="(-5.38)";="";="(-5.93)";="";="(-5.10)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.140";="";="-0.143";="";="-0.168";="";="-0.132";=""
="";="(-0.54)";="";="(-0.56)";="";="(-0.66)";="";="(-0.52)";=""

="Observations";="1194";="1194";="1194";="1194";="1194";="1194";="1194";="1194"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
