
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0124**";="-0.00319**";="-0.0125**";="-0.00323**";="-0.0124**";="-0.00316**";="-0.0128**";="-0.00332**"
="";="(-2.28)";="(-2.23)";="(-2.29)";="(-2.24)";="(-2.26)";="(-2.22)";="(-2.34)";="(-2.30)"
="NGDP_RPCH";="-0.0185";="-0.00476";="-0.0183";="-0.00474";="-0.0212";="-0.00540";="-0.0172";="-0.00446"
="";="(-0.79)";="(-0.79)";="(-0.78)";="(-0.78)";="(-0.89)";="(-0.89)";="(-0.72)";="(-0.73)"
="ExtDebtPercGNI_Var";="-0.00310";="-0.000799";="-0.00308";="-0.000794";="-0.00297";="-0.000756";="-0.00335";="-0.000867"
="";="(-1.35)";="(-1.33)";="(-1.34)";="(-1.32)";="(-1.27)";="(-1.26)";="(-1.47)";="(-1.46)"
="GGXWDN_NGDP_Var";="-0.00000599";="-0.00000154";="-0.00000604";="-0.00000156";="-0.00000571";="-0.00000145";="-0.00000602";="-0.00000156"
="";="(-0.69)";="(-0.68)";="(-0.69)";="(-0.69)";="(-0.68)";="(-0.67)";="(-0.69)";="(-0.69)"
="PCPIPCH";="-0.000107";="-0.0000276";="-0.0000971";="-0.0000251";="-0.000101";="-0.0000257";="-0.0000864";="-0.0000224"
="";="(-0.25)";="(-0.25)";="(-0.22)";="(-0.22)";="(-0.23)";="(-0.23)";="(-0.20)";="(-0.20)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.231";="0.0624";="";="";="";="";="";=""
="";="(1.06)";="(1.03)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.193";="0.0515";="";="";="";=""
="";="";="";="(1.00)";="(0.98)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.372**";="0.0990**";="";=""
="";="";="";="";="";="(2.10)";="(2.08)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.143";="0.0373"
="";="";="";="";="";="";="";="(0.71)";="(0.71)"
="Const";="-0.859***";="";="-0.853***";="";="-0.937***";="";="-0.859***";=""
="";="(-5.35)";="";="(-5.37)";="";="(-5.92)";="";="(-5.09)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.138";="";="-0.141";="";="-0.166";="";="-0.130";=""
="";="(-0.54)";="";="(-0.55)";="";="(-0.65)";="";="(-0.51)";=""

="Observations";="1194";="1194";="1194";="1194";="1194";="1194";="1194";="1194"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
