
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="structbalDefault1";="MERat1_structbal_Def1";="structbalDefault2";="MERat1_structbal_Def2";="structbalDefault5";="MERat1_structbal_Def5";="structbalDefault10";="MERat1_structbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0134**";="-0.00311*";="-0.0134**";="-0.00311*";="-0.0139**";="-0.00321*";="-0.0139**";="-0.00328**"
="";="(-1.99)";="(-1.90)";="(-1.97)";="(-1.88)";="(-2.01)";="(-1.92)";="(-2.06)";="(-1.97)"
="NGDP_RPCH";="-0.0182";="-0.00422";="-0.0198";="-0.00458";="-0.0211";="-0.00490";="-0.0174";="-0.00411"
="";="(-0.66)";="(-0.66)";="(-0.72)";="(-0.72)";="(-0.76)";="(-0.76)";="(-0.64)";="(-0.64)"
="ExtDebtPercGNI_Var";="-0.00407";="-0.000944";="-0.00388";="-0.000898";="-0.00440";="-0.00102";="-0.00460";="-0.00108"
="";="(-1.15)";="(-1.13)";="(-1.10)";="(-1.09)";="(-1.18)";="(-1.17)";="(-1.31)";="(-1.30)"
="GGSB_NPGDP";="-0.0140";="-0.00325";="-0.0153";="-0.00355";="-0.0137";="-0.00318";="-0.0103";="-0.00244"
="";="(-0.51)";="(-0.52)";="(-0.55)";="(-0.56)";="(-0.50)";="(-0.51)";="(-0.38)";="(-0.39)"
="PCPIPCH";="-0.0000799";="-0.0000186";="-0.0000648";="-0.0000150";="-0.0000622";="-0.0000144";="-0.0000569";="-0.0000134"
="";="(-0.18)";="(-0.18)";="(-0.15)";="(-0.15)";="(-0.14)";="(-0.14)";="(-0.13)";="(-0.13)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.432*";="0.112";="";="";="";="";="";=""
="";="(1.67)";="(1.53)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.424**";="0.108*";="";="";="";=""
="";="";="";="(2.03)";="(1.90)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.383**";="0.0950**";="";=""
="";="";="";="";="";="(2.20)";="(2.11)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.0742";="0.0176"
="";="";="";="";="";="";="";="(0.39)";="(0.39)"
="Const";="-1.026***";="";="-1.038***";="";="-1.040***";="";="-0.937***";=""
="";="(-5.10)";="";="(-5.11)";="";="(-5.07)";="";="(-4.40)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.0586";="";="-0.0617";="";="-0.0569";="";="-0.0260";=""
="";="(-0.21)";="";="(-0.22)";="";="(-0.20)";="";="(-0.10)";=""

="Observations";="960";="960";="960";="960";="960";="960";="960";="960"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
