
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0119**";="-0.00411**";="-0.0120**";="-0.00416**";="-0.0120**";="-0.00413**";="-0.0118**";="-0.00405**"
="";="(-2.00)";="(-2.02)";="(-2.02)";="(-2.04)";="(-1.99)";="(-2.01)";="(-1.97)";="(-1.99)"
="NGDP_RPCH";="0.0255";="0.00881";="0.0258";="0.00892";="0.0254";="0.00879";="0.0247";="0.00851"
="";="(1.14)";="(1.15)";="(1.15)";="(1.16)";="(1.12)";="(1.13)";="(1.09)";="(1.09)"
="ExtDebtPercGNI_Var";="0.00232";="0.000800";="0.00223";="0.000773";="0.00235";="0.000812";="0.00246";="0.000848"
="";="(0.74)";="(0.74)";="(0.72)";="(0.72)";="(0.75)";="(0.75)";="(0.79)";="(0.78)"
="GGXWDN_NGDP_Var";="0.0000979";="0.0000338";="0.0000995";="0.0000344";="0.0000923";="0.0000319";="0.0000923";="0.0000318"
="";="(0.97)";="(0.98)";="(0.99)";="(0.99)";="(0.94)";="(0.94)";="(0.97)";="(0.98)"
="PCPIPCH";="-0.000610";="-0.000211";="-0.000621";="-0.000215";="-0.000633";="-0.000219";="-0.000630";="-0.000217"
="";="(-0.63)";="(-0.63)";="(-0.62)";="(-0.62)";="(-0.63)";="(-0.62)";="(-0.64)";="(-0.63)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.153";="-0.0515";="";="";="";="";="";=""
="";="(-0.74)";="(-0.75)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.177";="-0.0598";="";="";="";=""
="";="";="";="(-0.90)";="(-0.91)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.0940";="-0.0322";="";=""
="";="";="";="";="";="(-0.54)";="(-0.54)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.0256";="-0.00881"
="";="";="";="";="";="";="";="(-0.11)";="(-0.11)"
="Const";="-0.507***";="";="-0.492***";="";="-0.512***";="";="-0.537***";=""
="";="(-3.13)";="";="(-3.00)";="";="(-3.12)";="";="(-3.04)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.0824";="";="0.0906";="";="0.0730";="";="0.0521";=""
="";="(0.33)";="";="(0.36)";="";="(0.29)";="";="(0.20)";=""

="Observations";="1165";="1165";="1165";="1165";="1165";="1165";="1165";="1165"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
