
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="structbalDefault1";="MERat1_structbal_Def1";="structbalDefault2";="MERat1_structbal_Def2";="structbalDefault5";="MERat1_structbal_Def5";="structbalDefault10";="MERat1_structbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0121*";="-0.00405*";="-0.0120*";="-0.00400*";="-0.0121*";="-0.00402*";="-0.0118*";="-0.00392*"
="";="(-1.96)";="(-1.95)";="(-1.94)";="(-1.93)";="(-1.94)";="(-1.94)";="(-1.90)";="(-1.89)"
="NGDP_RPCH";="0.0160";="0.00534";="0.0156";="0.00520";="0.0159";="0.00529";="0.0153";="0.00510"
="";="(0.68)";="(0.68)";="(0.66)";="(0.66)";="(0.67)";="(0.67)";="(0.65)";="(0.65)"
="ExtDebtPercGNI_Var";="-0.00149";="-0.000495";="-0.00137";="-0.000455";="-0.00133";="-0.000444";="-0.00119";="-0.000397"
="";="(-0.44)";="(-0.44)";="(-0.41)";="(-0.41)";="(-0.40)";="(-0.40)";="(-0.35)";="(-0.35)"
="GGSB_NPGDP";="-0.0371";="-0.0124";="-0.0372";="-0.0124";="-0.0367";="-0.0122";="-0.0372";="-0.0124"
="";="(-1.36)";="(-1.38)";="(-1.37)";="(-1.39)";="(-1.34)";="(-1.37)";="(-1.38)";="(-1.40)"
="PCPIPCH";="-0.000345";="-0.000115";="-0.000359";="-0.000120";="-0.000364";="-0.000121";="-0.000354";="-0.000118"
="";="(-0.56)";="(-0.56)";="(-0.58)";="(-0.58)";="(-0.59)";="(-0.59)";="(-0.59)";="(-0.59)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.236";="-0.0752";="";="";="";="";="";=""
="";="(-0.90)";="(-0.94)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.109";="-0.0356";="";="";="";=""
="";="";="";="(-0.46)";="(-0.47)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.121";="-0.0396";="";=""
="";="";="";="";="";="(-0.60)";="(-0.60)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.102";="-0.0337"
="";="";="";="";="";="";="";="(-0.38)";="(-0.38)"
="Const";="-0.595***";="";="-0.621***";="";="-0.610***";="";="-0.609***";=""
="";="(-3.17)";="";="(-3.36)";="";="(-3.26)";="";="(-3.21)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.0325";="";="-0.0559";="";="-0.0516";="";="-0.0550";=""
="";="(-0.11)";="";="(-0.18)";="";="(-0.17)";="";="(-0.18)";=""

="Observations";="976";="976";="976";="976";="976";="976";="976";="976"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
