="";="foodw_mfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.006213";="-.004537";="-.003845";="-.0111258";="-.0027709";="0";=".3603491";="";="";="";="";="";="";="-.8484539";=".0842767"
="t";="-.9009191";="-.1890687";="-1.057587";="-1.637699";="-.5621909";=".";="1.446651";="";="";="";="";="";="";="-3.961955";=".2453522"
="p";=".3676313";=".8500389";=".2902436";=".1014845";=".573986";=".";=".1479947";="";="";="";="";="";="";=".0000743";=".8061837"
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0017253";="-.0012599";="-.0010678";="-.0030896";="-.0007695";="0";=".1077395";="";="";="";="";="";="";="";=""
="t";="-.8996436";="-.1885746";="-1.062057";="-1.588881";="-.559477";=".";="1.357954";="";="";="";="";="";="";="";=""
="p";=".36831";=".8504262";=".2882099";=".1120873";=".5758362";=".";=".1744782";="";="";="";="";="";="";="";=""
="grossdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0053403";="-.0084399";="-.0037092";="-.0104217";="-.0025052";="";="";="0";=".5295546";="";="";="";="";="-.9079024";="-.0069449"
="t";="-.755687";="-.3488825";="-1.002479";="-1.538564";="-.4935108";="";="";=".";="2.127261";="";="";="";="";="-4.209636";="-.0203184"
="p";=".4498369";=".7271775";=".3161121";=".1239108";=".6216517";="";="";=".";=".0333984";="";="";="";="";=".0000256";=".9837894"
="grossdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0014705";="-.0023241";="-.0010214";="-.0028698";="-.0006899";="";="";="0";=".1601401";="";="";="";="";="";=""
="t";="-.7526061";="-.3470312";="-1.007182";="-1.49724";="-.4910109";="";="";=".";="1.986783";="";="";="";="";="";=""
="p";=".4516866";=".7285679";=".3138472";=".1343308";=".6234187";="";="";=".";=".0469464";="";="";="";="";="";=""
="grossdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0061854";="-.0106806";="-.0044829";="-.0097646";="-.0020988";="";="";="";="";="0";=".6430996";="";="";="-.9873117";="-.1082248"
="t";="-.8702511";="-.4239018";="-1.163631";="-1.438625";="-.4221539";="";="";="";="";=".";="2.956373";="";="";="-4.51744";="-.3222795"
="p";=".3841632";=".6716374";=".2445737";=".1502567";=".6729127";="";="";="";="";=".";=".0031128";="";="";="6.26e-06";=".7472409"
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0016841";="-.0029081";="-.0012206";="-.0026587";="-.0005715";="";="";="";="";="0";=".1896147";="";="";="";=""
="t";="-.8644371";="-.4214792";="-1.171901";="-1.397809";="-.4202124";="";="";="";="";=".";="2.868997";="";="";="";=""
="p";=".3873478";=".6734052";=".2412368";=".1621704";=".6743303";="";="";="";="";=".";=".0041178";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0070503";="-.0044245";="-.0046302";="-.0103197";="-.0018282";="";="";="";="";="";="";="0";=".3723289";="-.925971";=".011748"
="t";="-.9927496";="-.1759053";="-1.297353";="-1.561682";="-.3820023";="";="";="";="";="";="";=".";="1.267955";="-3.827397";=".0326944"
="p";=".320832";=".8603683";=".1945096";=".118363";=".7024597";="";="";="";="";="";="";=".";=".2048139";=".0001295";=".9739183"
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0019487";="-.001223";="-.0012798";="-.0028524";="-.0005053";="";="";="";="";="";="";="0";=".1055488";="";=""
="t";="-.9868785";="-.1756293";="-1.306116";="-1.514171";="-.3799967";="";="";="";="";="";="";=".";="1.260346";="";=""
="p";=".3237022";=".8605852";=".1915131";=".1299826";=".7039479";="";="";="";="";="";="";=".";=".2075447";="";=""
=""
