="";="foodw_mfnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0026956";=".0135017";="-.0031918";=".0000153";="-.0020789";="0";=".3744471";="";="";="";="";="";="";="-.9547413";=".1115167"
="t";="-.4159586";=".605698";="-.9523734";="1.917976";="-.3825332";=".";="1.52845";="";="";="";="";="";="";="-4.551576";=".3312263"
="p";=".6774403";=".5447153";=".3409077";=".0551141";=".7020659";=".";=".126401";="";="";="";="";="";="";="5.32e-06";=".7404735"
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0007449";=".003731";="-.000882";="4.22e-06";="-.0005745";="0";=".1119434";="";="";="";="";="";="";="";=""
="t";="-.4168674";=".6083205";="-.956677";="1.849164";="-.381762";=".";="1.429824";="";="";="";="";="";="";="";=""
="p";=".6767754";=".5429749";=".3387303";=".0644342";=".7026379";=".";=".1527676";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0019893";=".0082518";="-.0030635";=".0000146";="-.0018694";="";="";="0";=".5490732";="";="";="";="";="-1.010196";=".0219321"
="t";="-.3004087";=".3594763";="-.8954815";="1.818598";="-.3457995";="";="";=".";="2.259055";="";="";="";="";="-4.793103";=".0654334"
="p";=".7638654";=".7192388";=".3705297";=".0689728";=".7294934";="";="";=".";=".0238799";="";="";="";="";="1.64e-06";=".947829"
="netdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0005447";=".0022594";="-.0008388";="4.00e-06";="-.0005119";="";="";="0";=".1660412";="";="";="";="";="";=""
="t";="-.3004777";=".3606699";="-.9001774";="1.773564";="-.3448774";="";="";=".";="2.100072";="";="";="";="";="";=""
="p";=".7638128";=".7183462";=".3680258";=".0761353";=".7301866";="";="";=".";=".0357225";="";="";="";="";="";=""
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0030036";=".0046706";="-.0038203";=".0000158";="-.0015709";="";="";="";="";="0";=".6714219";="";="";="-1.088004";="-.0801372"
="t";="-.4399062";=".1992264";="-1.06738";="2.072755";="-.3661594";="";="";="";="";=".";="3.17015";="";="";="-5.190726";="-.2424557"
="p";=".6600051";=".8420857";=".2858004";=".0381951";=".7142461";="";="";="";="";=".";=".0015236";="";="";="2.09e-07";=".8084271"
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0008126";=".0012635";="-.0010335";="4.26e-06";="-.000425";="";="";="";="";="0";=".1977189";="";="";="";=""
="t";="-.4396397";=".199492";="-1.075362";="2.025705";="-.3650251";="";="";="";="";=".";="3.063564";="";="";="";=""
="p";=".6601981";=".8418779";=".2822125";=".042795";=".7150927";="";="";="";="";=".";=".0021872";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0037823";=".0116208";="-.0040576";=".0000151";="-.0013189";="";="";="";="";="";="";="0";=".415654";="-1.03888";=".0275894"
="t";="-.5573525";=".5067835";="-1.221628";="1.984685";="-.5494699";="";="";="";="";="";="";=".";="1.473698";="-4.476436";=".0802999"
="p";=".5772866";=".6123068";=".2218483";=".0471796";=".582683";="";="";="";="";="";="";=".";=".1405629";="7.59e-06";=".9359988"
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.001038";=".0031892";="-.0011136";="4.14e-06";="-.000362";="";="";="";="";="";="";="0";=".1174717";="";=""
="t";="-.5573472";=".5072238";="-1.23015";="1.931866";="-.5455567";="";="";="";="";="";="";=".";="1.462258";="";=""
="p";=".5772902";=".6119978";=".2186411";=".053376";=".5853707";="";="";="";="";="";="";=".";=".1436707";="";=""
=""
