="";="foodw_sfnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="netdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0123656";="-.0184607";="-.0031006";="-5.99e-06";="-.0001072";="0";=".2310154";="";="";="";="";="";="";="-.858708";="-.1380572"
="t";="-2.276024";="-.7866889";="-1.35263";="-.6850233";="-.2462174";=".";="1.057582";="";="";="";="";="";="";="-5.351844";="-.5361582"
="p";=".0228446";=".431464";=".1761739";=".4933292";=".805514";=".";=".2902463";="";="";="";="";="";="";="8.71e-08";=".5918492"
="netdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0031872";="-.0047582";="-.0007992";="-1.54e-06";="-.0000276";="0";=".0624128";="";="";="";="";="";="";="";=""
="t";="-2.225031";="-.7886957";="-1.334227";="-.6797569";="-.24668";=".";="1.026687";="";="";="";="";="";="";="";=""
="p";=".0260792";=".4302899";=".1821296";=".4966584";=".8051559";=".";=".3045679";="";="";="";="";="";="";="";=""
="netdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0124974";="-.0183405";="-.0030753";="-6.04e-06";="-.0000971";="";="";="0";=".1926686";="";="";="";="";="-.852846";="-.1409902"
="t";="-2.289016";="-.7807505";="-1.340385";="-.6919785";="-.2228445";="";="";=".";=".9988961";="";="";="";="";="-5.374413";="-.5456046"
="p";=".0220784";=".4349493";=".1801202";=".4889508";=".8236565";="";="";=".";=".317845";="";="";="";="";="7.68e-08";=".5853378"
="netdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0032285";="-.004738";="-.0007945";="-1.56e-06";="-.0000251";="";="";="0";=".0514639";="";="";="";="";="";=""
="t";="-2.239989";="-.7831864";="-1.323261";="-.6861717";="-.2231758";="";="";=".";=".9802884";="";="";="";="";="";=""
="p";=".0250917";=".4335176";=".1857487";=".4926048";=".8233987";="";="";=".";=".3269438";="";="";="";="";="";=""
="netdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0124115";="-.0212042";="-.0029708";="-5.71e-06";="-.0001009";="";="";="";="";="0";=".3723297";="";="";="-.9373196";="-.1664119"
="t";="-2.2562";="-.887773";="-1.273681";="-.6772949";="-.2296158";="";="";="";="";=".";="2.104222";="";="";="-5.917611";="-.6505929"
="p";=".0240581";=".3746629";=".2027765";=".4982189";=".8183903";="";="";="";="";=".";=".0353591";="";="";="3.27e-09";=".5153093"
="netdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0031602";="-.005399";="-.0007564";="-1.45e-06";="-.0000257";="";="";="";="";="0";=".0989698";="";="";="";=""
="t";="-2.21626";="-.8918525";="-1.260838";="-.6724076";="-.2299813";="";="";="";="";=".";="2.076066";="";="";="";=""
="p";=".0266737";=".372472";=".2073672";=".5013242";=".8181063";="";="";="";="";=".";=".0378879";="";="";="";=""
="netdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0128044";="-.0172215";="-.00335";="-6.02e-06";="-.0000864";="";="";="";="";="";="";="0";=".143073";="-.8586111";="-.1301209"
="t";="-2.340576";="-.7218617";="-1.472847";="-.6923181";="-.1979087";="";="";="";="";="";="";=".";=".7065252";="-5.085811";="-.5133153"
="p";=".019254";=".4703795";=".1407924";=".4887376";=".8431165";="";="";="";="";="";="";=".";=".4798616";="3.66e-07";=".6077308"
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0033154";="-.0044591";="-.0008674";="-1.56e-06";="-.0000224";="";="";="";="";="";="";="0";=".0372825";="";=""
="t";="-2.30236";="-.7252903";="-1.456272";="-.6883342";="-.1981518";="";="";="";="";="";="";=".";=".7123011";="";=""
="p";=".0213149";=".468274";=".1453176";=".4912423";=".8429263";="";="";="";="";="";="";=".";=".4762783";="";=""
=""
