="";="foodw_sfstructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="structbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0134124";="-.0181728";="-.0040655";="-.0140151";="-.0000799";="0";=".4321909";="";="";="";="";="";="";="-1.026228";="-.0586188"
="t";="-1.98681";="-.6615452";="-1.146291";="-.5089836";="-.1834276";=".";="1.668276";="";="";="";="";="";="";="-5.097036";="-.210361"
="p";=".0469435";=".5082628";=".2516746";=".6107637";=".8544625";=".";=".095261";="";="";="";="";="";="";="3.45e-07";=".833386"
="structbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0031148";="-.0042203";="-.0009442";="-.0032548";="-.0000186";="0";=".1124431";="";="";="";="";="";="";="";=""
="t";="-1.895705";="-.6624636";="-1.129247";="-.5161064";="-.1837466";=".";="1.53248";="";="";="";="";="";="";="";=""
="p";=".057999";=".5076741";=".2587935";=".6057801";=".8542123";=".";=".1254039";="";="";="";="";="";="";="";=""
="structbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0134153";="-.0197643";="-.0038764";="-.0153296";="-.0000648";="";="";="0";=".4236734";="";="";="";="";="-1.03826";="-.0616905"
="t";="-1.974303";="-.7166643";="-1.101944";="-.5516181";="-.1485908";="";="";=".";="2.033879";="";="";="";="";="-5.108141";="-.2201937"
="p";=".0483473";=".4735812";=".2704858";=".5812101";=".8818766";="";="";=".";=".0419638";="";="";="";="";="3.25e-07";=".8257203"
="structbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0031082";="-.0045792";="-.0008981";="-.0035517";="-.000015";="";="";="0";=".1084555";="";="";="";="";="";=""
="t";="-1.882406";="-.7185431";="-1.086928";="-.5610149";="-.1487702";="";="";=".";="1.904128";="";="";="";="";="";=""
="p";=".0597809";=".4724225";=".2770686";=".5747874";=".881735";="";="";=".";=".0568936";="";="";="";="";="";=""
="structbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0138578";="-.0211047";="-.0044022";="-.0137195";="-.0000622";="";="";="";="";="0";=".3826522";="";="";="-1.04";="-.0569231"
="t";="-2.008212";="-.7600178";="-1.18374";="-.5030406";="-.1418409";="";="";="";="";=".";="2.20067";="";="";="-5.073225";="-.2036963"
="p";=".0446208";=".447244";=".2365159";=".6149357";=".8872056";="";="";="";="";=".";=".0277594";="";="";="3.91e-07";=".8385909"
="structbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0032149";="-.0048962";="-.0010213";="-.0031829";="-.0000144";="";="";="";="";="0";=".0950482";="";="";="";=""
="t";="-1.915951";="-.7625136";="-1.1693";="-.5114855";="-.141973";="";="";="";="";=".";="2.106267";="";="";="";=""
="p";=".0553713";=".4457535";=".2422827";=".6090111";=".8871013";="";="";="";="";=".";=".0351812";="";="";="";=""
="structbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0139349";="-.0174288";="-.0046025";="-.0103479";="-.0000569";="";="";="";="";="";="";="0";=".0741574";="-.9373175";="-.0260495"
="t";="-2.064305";="-.6360896";="-1.314669";="-.382481";="-.1309249";="";="";="";="";="";="";=".";=".3871954";="-4.404223";="-.096191"
="p";=".0389888";=".524718";=".188621";=".7021046";=".8958348";="";="";="";="";="";="";=".";=".6986115";=".0000106";=".9233688"
="structbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0032832";="-.0041064";="-.0010844";="-.0024381";="-.0000134";="";="";="";="";="";="";="0";=".0176172";="";=""
="t";="-1.973444";="-.6373427";="-1.297415";="-.3868695";="-.1309992";="";="";="";="";="";="";=".";=".3861441";="";=""
="p";=".048445";=".5239016";=".1944886";=".6988528";=".8957759";="";="";="";="";="";="";=".";=".69939";="";=""
=""
