="";="foodw_smgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0083247";=".0398939";=".0025964";=".0105672";="-.0005118";="0";="-.1238506";="";="";="";="";="";="";="-.6254902";=".0964298"
="t";="-1.351881";="1.77397";=".8272689";="2.999294";="-.6855914";=".";="-.5972756";="";="";="";="";="";="";="-3.824372";=".3871036"
="p";=".1764133";=".0760682";=".4080847";=".0027061";=".4929708";=".";=".5503234";="";="";="";="";="";="";=".0001311";=".6986795"
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0028222";=".0135245";=".0008802";=".0035824";="-.0001735";="0";="-.0412066";="";="";="";="";="";="";="";=""
="t";="-1.362648";="1.795214";=".8219545";="2.919113";="-.6850782";=".";="-.6055889";="";="";="";="";="";="";="";=""
="p";=".1729935";=".0726196";=".4111028";=".0035103";=".4932946";=".";=".5447878";="";="";="";="";="";="";="";=""
="grossdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0084379";=".0399967";=".0025316";=".010495";="-.0005189";="";="";="0";="-.1398485";="";="";="";="";="-.6132881";=".1014407"
="t";="-1.372993";="1.779851";=".8127544";="3.005325";="-.6850789";="";="";=".";="-.7123895";="";="";="";="";="-3.72889";=".407478"
="p";=".1697546";=".0751003";=".4163589";=".002653";=".4932941";="";="";=".";=".4762236";="";="";="";="";=".0001923";=".6836569"
="grossdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0028649";=".0135799";=".0008596";=".0035633";="-.0001762";="";="";="0";="-.0466228";="";="";="";="";="";=""
="t";="-1.384021";="1.800091";=".80731";="2.921001";="-.6842459";="";="";=".";="-.7208907";="";="";="";="";="";=""
="p";=".1663519";=".0718462";=".4194879";=".0034891";=".4938199";="";="";=".";=".4709768";="";="";="";="";="";=""
="grossdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.008338";=".0398562";=".0026346";=".0106123";="-.0005283";="";="";="";="";="0";="-.0664342";="";="";="-.6340937";=".0869056"
="t";="-1.342825";="1.767592";=".833168";="2.974218";="-.6921945";="";="";="";="";=".";="-.373084";="";="";="-3.759832";=".3476938"
="p";=".1793286";=".0771292";=".40475";=".0029374";=".4888152";="";="";="";="";=".";=".7090859";="";="";=".00017";=".7280701"
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0028232";=".0134953";=".0008921";=".0035933";="-.0001789";="";="";="";="";="0";="-.0223518";="";="";="";=""
="t";="-1.351469";="1.785057";=".8284188";="2.906093";="-.6907763";="";="";="";="";=".";="-.3737948";="";="";="";=""
="p";=".1765454";=".0742521";=".4074333";=".0036597";=".4897062";="";="";="";="";=".";=".708557";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0081729";=".0393677";=".0027187";=".0107129";="-.0005284";="";="";="";="";="";="";="0";="-.0036842";="-.6595035";=".0695249"
="t";="-1.324466";="1.740574";=".8618229";="3.008822";="-.7035039";="";="";="";="";="";="";=".";="-.0152981";="-3.623185";=".2741537"
="p";=".1853482";=".0817582";=".388785";=".0026226";=".4817418";="";="";="";="";="";="";=".";=".9877944";=".000291";=".7839665"
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0027588";=".0132885";=".0009177";=".0036161";="-.0001784";="";="";="";="";="";="";="0";="-.0012433";="";=""
="t";="-1.333307";="1.750867";=".8569917";="2.935066";="-.7005465";="";="";="";="";="";="";=".";="-.0152986";="";=""
="p";=".1824312";=".0799689";=".3914495";=".0033348";=".4835861";="";="";="";="";="";="";=".";=".987794";="";=""
=""
