="";="foodw_smstructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="structbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0121423";=".0160246";="-.0014854";="-.037146";="-.0003449";="0";="-.2361695";="";="";="";="";="";="";="-.5952659";="-.0325226"
="t";="-1.955932";=".6789875";="-.4442178";="-1.355399";="-.5586176";=".";="-.9048035";="";="";="";="";="";="";="-3.166781";="-.1062234"
="p";=".0504731";=".4971458";=".6568851";=".1752905";=".5764228";=".";=".3655695";="";="";="";="";="";="";=".0015414";=".9154051"
="structbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0040469";=".0053408";="-.0004951";="-.0123802";="-.0001149";="0";="-.0751933";="";="";="";="";="";="";="";=""
="t";="-1.946999";=".6800803";="-.4449167";="-1.376161";="-.5589286";=".";="-.9370648";="";="";="";="";="";="";="";=""
="p";=".0515348";=".4964536";=".65638";=".1687719";=".5762104";=".";=".3487252";="";="";="";="";="";="";="";=""
="structbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0120437";=".0156446";="-.0013686";="-.037159";="-.0003595";="";="";="0";="-.109081";="";="";="";="";="-.6205753";="-.0558866"
="t";="-1.941";=".6630948";="-.412196";="-1.368132";="-.5824105";="";="";=".";="-.4642501";="";="";="";="";="-3.355989";="-.184743"
="p";=".0522582";=".5072698";=".6801958";=".1712708";=".5602902";="";="";=".";=".6424686";="";="";="";="";=".0007908";=".8534306"
="structbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0040048";=".0052022";="-.0004551";="-.0123563";="-.0001195";="";="";="0";="-.0355838";="";="";="";="";="";=""
="t";="-1.932931";=".6637466";="-.4129847";="-1.389878";="-.582568";="";="";=".";="-.470554";="";="";="";="";="";=""
="p";=".0532447";=".5068525";=".6796178";=".1645658";=".5601841";="";="";=".";=".6379593";="";="";="";="";="";=""
="structbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0120829";=".0158854";="-.0013329";="-.0367008";="-.0003635";="";="";="";="";="0";="-.1211334";="";="";="-.6095957";="-.0516082"
="t";="-1.942784";=".6706117";="-.399199";="-1.343617";="-.5878293";="";="";="";="";=".";="-.5979917";="";="";="-3.264946";="-.1724733"
="p";=".0520423";=".5024679";=".6897466";=".1790721";=".5566469";="";="";="";="";=".";=".5498455";="";="";=".0010948";=".8630655"
="structbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0040211";=".0052866";="-.0004436";="-.0122138";="-.000121";="";="";="";="";="0";="-.0396264";="";="";="";=""
="t";="-1.935571";=".6710595";="-.3999188";="-1.366745";="-.587533";="";="";="";="";=".";="-.6033982";="";="";="";=""
="p";=".0529203";=".5021826";=".6892163";=".1717052";=".5568458";="";="";="";="";=".";=".5462438";="";="";="";=""
="structbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0117666";=".0153184";="-.0011916";="-.0372297";="-.0003535";="";="";="";="";="";="";="0";="-.102397";="-.6094411";="-.0550447"
="t";="-1.895143";=".6500584";="-.3533084";="-1.377221";="-.5882709";="";="";="";="";="";="";=".";="-.375698";="-3.206657";="-.1822294"
="p";=".0580735";=".5156545";=".7238572";=".1684438";=".5563505";="";="";="";="";="";="";=".";=".7071414";=".0013429";=".8554027"
="structbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0039162";=".0050983";="-.0003966";="-.0123909";="-.0001177";="";="";="";="";="";="";="0";="-.0337157";="";=""
="t";="-1.889875";=".6492875";="-.3539803";="-1.397705";="-.5874591";="";="";="";="";="";="";=".";="-.3777659";="";=""
="p";=".0587747";=".5161526";=".7233536";=".1622017";=".5568954";="";="";="";="";="";="";=".";=".7056045";="";=""
=""
