="";="fooup_mfbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0075473";="-.0316353";=".0062039";="-.0000483";="-.0028625";="0";="-.0607549";="";="";="";="";="";="";="-.5354293";=".1878935"
="t";="1.008701";="-1.504475";="1.797921";="-1.096057";="-.3465049";=".";="-.2125073";="";="";="";="";="";="";="-2.893747";=".7183204"
="p";=".3131182";=".1324591";=".0721895";=".273054";=".7289633";=".";=".8317113";="";="";="";="";="";="";=".0038067";=".4725598"
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0024813";="-.0104005";=".0020396";="-.0000159";="-.0009411";="0";="-.0197461";="";="";="";="";="";="";="";=""
="t";="1.000009";="-1.502146";="1.770315";="-1.091881";="-.3455118";=".";="-.2146834";="";="";="";="";="";="";="";=""
="p";=".3173062";=".1330594";=".0766747";=".2748854";=".7297096";=".";=".8300142";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0075508";="-.0317341";=".0062056";="-.0000477";="-.0029025";="";="";="0";="-.046988";="";="";="";="";="-.5363887";=".187253"
="t";="1.00826";="-1.49782";="1.794143";="-1.057057";="-.3506767";="";="";=".";="-.1789529";="";="";="";="";="-2.917179";=".7191985"
="p";=".3133297";=".13418";=".0727904";=".2904853";=".7258309";="";="";=".";=".8579747";="";="";="";="";=".0035321";=".4720186"
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".002482";="-.0104313";=".0020398";="-.0000157";="-.0009541";="";="";="0";="-.0153227";="";="";="";="";="";=""
="t";=".999656";="-1.495526";="1.768376";="-1.052852";="-.3496665";="";="";=".";="-.1802549";="";="";="";="";="";=""
="p";=".317477";=".1347773";=".076998";=".2924088";=".726589";="";="";=".";=".8569525";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0068782";="-.0287902";=".0060277";="-.0000516";="-.0028431";="";="";="";="";="0";="-.2534176";="";="";="-.4690298";=".2243276"
="t";=".9304729";="-1.359342";="1.744945";="-1.139285";="-.3585157";="";="";="";="";=".";="-.9448654";="";="";="-2.42647";=".8482513"
="p";=".3521263";=".1740382";=".0809945";=".2545844";=".7199574";="";="";="";="";=".";=".3447276";="";="";=".0152465";=".396298"
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0022705";="-.0095038";=".0019898";="-.000017";="-.0009385";="";="";="";="";="0";="-.0810339";="";="";="";=""
="t";=".923423";="-1.360872";="1.72032";="-1.131769";="-.3576505";="";="";="";="";=".";="-.971702";="";="";="";=""
="p";=".3557868";=".1735542";=".0853744";=".2577314";=".7206049";="";="";="";="";=".";=".3311988";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0075911";="-.0314463";=".0062564";="-.0000473";="-.0027975";="";="";="";="";="";="";="0";="-.0858282";="-.5130117";=".2006778"
="t";="1.027304";="-1.499928";="1.811357";="-1.039329";="-.344618";="";="";="";="";="";="";=".";="-.3256706";="-2.435059";=".7450743"
="p";=".3042772";=".1336331";=".0700857";=".2986518";=".7303816";="";="";="";="";="";="";=".";=".7446736";=".0148894";=".4562268"
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0024992";="-.0103528";=".0020598";="-.0000156";="-.000921";="";="";="";="";="";="";="0";="-.0280811";="";=""
="t";="1.015349";="-1.498679";="1.779996";="-1.033049";="-.3435878";="";="";="";="";="";="";=".";="-.3262098";="";=""
="p";=".3099397";=".1339569";=".0750766";=".301581";=".7311563";="";="";="";="";="";="";=".";=".7442656";="";=""
=""
