="";="fooup_mfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="grossdebt_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0094767";="-.0201298";=".0063559";=".0064396";="-.0024178";="0";="-.0536306";="";="";="";="";="";="";="-.6118687";=".1769727"
="t";="1.207192";="-.9057806";="1.861516";="1.564168";="-.2995406";=".";="-.182335";="";="";="";="";="";="";="-3.237342";=".6753221"
="p";=".2273583";=".365052";=".0626713";=".1177782";=".7645276";=".";=".8553198";="";="";="";="";="";="";=".0012065";=".4994711"
="grossdebt_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0030907";="-.0065651";=".0020729";=".0021002";="-.0007885";="0";="-.0173107";="";="";="";="";="";="";="";=""
="t";="1.194836";="-.9053954";="1.831119";="1.560627";="-.2987833";=".";="-.1840189";="";="";="";="";="";="";="";=""
="p";=".2321513";=".365256";=".0670827";=".1186119";=".7651054";=".";=".8539986";="";="";="";="";="";="";="";=""
="grossdebt_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0094788";="-.0202855";=".0063579";=".0064186";="-.0024568";="";="";="0";="-.0382681";="";="";="";="";="-.6133009";=".1763101"
="t";="1.206596";="-.9052402";="1.858444";="1.56198";="-.30344";="";="";=".";="-.1433861";="";="";="";="";="-3.272437";=".6756884"
="p";=".2275878";=".3653382";=".063106";=".1182927";=".7615546";="";="";=".";=".8859852";="";="";="";="";=".0010662";=".4992385"
="grossdebt_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0030906";="-.0066141";=".002073";=".0020928";="-.000801";="";="";="0";="-.0123946";="";="";="";="";="";=""
="t";="1.194332";="-.9049185";="1.829918";="1.557922";="-.3026676";="";="";=".";="-.1442558";="";="";="";="";="";=""
="p";=".2323482";=".3655085";=".0672623";=".1192518";=".7621432";="";="";=".";=".8852984";="";="";="";="";="";=""
="grossdebt_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0088149";="-.0175963";=".0061833";=".0063279";="-.0023757";="";="";="";="";="0";="-.2394528";="";="";="-.5470426";=".2093259"
="t";="1.13794";="-.7801266";="1.807489";="1.552061";="-.3079749";="";="";="";="";=".";="-.8951448";="";="";="-2.82735";=".7899018"
="p";=".2551455";=".4353164";=".0706861";=".1206477";=".7581014";="";="";="";="";=".";=".3707097";="";="";=".0046935";=".4295851"
="grossdebt_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0028886";="-.0057662";=".0020262";=".0020736";="-.0007785";="";="";="";="";="0";="-.0760823";="";="";="";=""
="t";="1.126806";="-.7808824";="1.779273";="1.546226";="-.3073272";="";="";="";="";=".";="-.9206847";="";="";="";=""
="p";=".2598246";=".4348717";=".0751951";=".12205";=".7585944";="";="";="";="";=".";=".3572151";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0095149";="-.0198374";=".0064045";=".0064395";="-.0023293";="";="";="";="";="";="";="0";="-.0869194";="-.5878148";=".1905353"
="t";="1.222654";="-.8920948";="1.8746";="1.562654";="-.2951251";="";="";="";="";="";="";=".";="-.330417";="-2.794094";=".706306"
="p";=".2214603";=".3723421";=".0608478";=".1181341";=".7678983";="";="";="";="";="";="";=".";=".7410849";=".0052045";=".4799978"
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0031083";="-.0064803";=".0020922";=".0021036";="-.0007609";="";="";="";="";="";="";="0";="-.0282089";="";=""
="t";="1.205582";="-.8925103";="1.839783";="1.555085";="-.2943602";="";="";="";="";="";="";=".";="-.3310932";="";=""
="p";=".2279787";=".3721195";=".0658001";=".1199259";=".7684827";="";="";="";="";="";="";=".";=".7405741";="";=""
=""
