="";="fooup_mfstructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="structbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0055862";="-.0211228";=".0059691";="-.0554842";="-.0010006";="0";="-.3967897";="";="";="";="";="";="";="-.7390883";=".042165"
="t";=".7404786";="-.9685541";="1.716475";="-1.697023";="-.1415692";=".";="-1.157666";="";="";="";="";="";="";="-3.462718";=".1432538"
="p";=".4590096";=".3327677";=".0860752";=".0896923";=".8874203";=".";=".2470003";="";="";="";="";="";="";=".0005347";=".8860897"
="structbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0017016";="-.0064342";=".0018183";="-.0169011";="-.0003048";="0";="-.1097771";="";="";="";="";="";="";="";=""
="t";=".7329549";="-.9662913";="1.680165";="-1.714546";="-.1412801";=".";="-1.26541";="";="";="";="";="";="";="";=""
="p";=".4635859";=".3338984";=".0929252";=".0864284";=".8876487";=".";=".2057243";="";="";="";="";="";="";="";=""
="structbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0054043";="-.0206787";=".0058766";="-.0548206";="-.0011473";="";="";="0";="-.3749396";="";="";="";="";="-.7320824";=".0467415"
="t";=".7188467";="-.9345745";="1.684166";="-1.673704";="-.1454875";="";="";=".";="-1.300151";="";="";="";="";="-3.413162";=".1597033"
="p";=".4722354";=".3500076";=".0921495";=".0941887";=".884326";="";="";=".";=".1935492";="";="";="";="";=".0006421";=".8731148"
="structbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0016466";="-.0063003";=".0017904";="-.0167026";="-.0003496";="";="";="0";="-.1050914";="";="";="";="";="";=""
="t";=".7118396";="-.9320973";="1.6514";="-1.69132";="-.1451788";="";="";=".";="-1.399585";="";="";="";="";="";=""
="p";=".4765641";=".3512862";=".0986569";=".0907757";=".8845697";="";="";=".";=".1616375";="";="";="";="";="";=""
="structbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0048578";="-.0189817";=".0058969";="-.0512636";="-.0011199";="";="";="";="";="0";="-.4266699";="";="";="-.6916061";=".0589399"
="t";=".6550394";="-.8542593";="1.689895";="-1.561643";="-.151825";="";="";="";="";=".";="-1.411585";="";="";="-3.165914";=".2007805"
="p";=".5124424";=".3929613";=".0910481";=".1183721";=".879325";="";="";="";="";=".";=".1580723";="";="";=".001546";=".8408702"
="structbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0014817";="-.0057898";=".0017987";="-.0156363";="-.0003416";="";="";="";="";="0";="-.1204997";="";="";="";=""
="t";=".6498152";="-.8534291";="1.656577";="-1.575675";="-.1515096";="";="";="";="";=".";="-1.507371";="";="";="";=""
="p";=".5158116";=".3934214";=".0976049";=".1151006";=".8795738";="";="";="";="";=".";=".1317155";="";="";="";=""
="structbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0060574";="-.0234431";=".0061918";="-.053713";="-.0009449";="";="";="";="";="";="";="0";="-.0971615";="-.7721579";=".0348389"
="t";=".8158429";="-1.066256";="1.825751";="-1.672243";="-.1564901";="";="";="";="";="";="";=".";="-.3639323";="-3.406535";=".1203159"
="p";=".41459";=".286308";=".0678878";=".0944765";=".8756468";="";="";="";="";="";="";=".";=".7159086";=".0006579";=".9042329"
="structbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0018427";="-.0071317";=".0018836";="-.0163401";="-.0002875";="";="";="";="";="";="";="0";="-.0292188";="";=""
="t";=".8042787";="-1.063373";="1.779409";="-1.685978";="-.1561201";="";="";="";="";="";="";=".";="-.3651071";="";=""
="p";=".4212361";=".2876128";=".0751727";=".0918001";=".8759384";="";="";="";="";="";="";=".";=".7150315";="";=""
=""
