="";="fooup_sfstructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="structbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0080886";="-.0289787";="-.0062209";="-.0054904";="-.0006995";="0";=".1081745";="";="";="";="";="";="";="-1.023072";="-.08952"
="t";="-1.161646";="-1.200469";="-1.212691";="-.1635133";="-1.304955";=".";=".3486736";="";="";="";="";="";="";="-4.628666";="-.3112414"
="p";=".2453795";=".2299572";=".2252481";=".8701143";=".1919083";=".";=".7273343";="";="";="";="";="";="";="3.68e-06";=".7556171"
="structbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0016928";="-.0060648";="-.0013019";="-.001149";="-.0001464";="0";=".0234421";="";="";="";="";="";="";="";=""
="t";="-1.159252";="-1.16148";="-1.202918";="-.1635536";="-1.275748";=".";=".3367711";="";="";="";="";="";="";="";=""
="p";=".2463533";=".2454469";=".2290079";=".8700826";=".2020446";=".";=".7362895";="";="";="";="";="";="";="";=""
="structbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0080883";="-.0288805";="-.0062372";="-.005726";="-.0006938";="";="";="0";=".0776863";="";="";="";="";="-1.019451";="-.089563"
="t";="-1.173076";="-1.196924";="-1.216336";="-.1707971";="-1.297713";="";="";=".";=".2732735";="";="";="";="";="-4.623814";="-.3106429"
="p";=".2407654";=".2313363";=".2238571";=".8643833";=".1943861";="";="";=".";=".784643";="";="";="";="";="3.77e-06";=".7560721"
="structbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0016933";="-.0060462";="-.0013058";="-.0011988";="-.0001453";="";="";="0";=".0166392";="";="";="";="";="";=""
="t";="-1.171847";="-1.158976";="-1.207347";="-.1708385";="-1.2692";="";="";=".";=".2673349";="";="";="";="";="";=""
="p";=".2412586";=".2464658";=".2272985";=".8643508";=".2043699";="";="";=".";=".7892114";="";="";="";="";="";=""
="structbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0081618";="-.0284026";="-.0062895";="-.0054519";="-.0006898";="";="";="";="";="0";=".02821";="";="";="-1.008827";="-.0872489"
="t";="-1.193166";="-1.15259";="-1.226387";="-.1619083";="-1.29661";="";="";="";="";=".";=".1130138";="";="";="-4.547899";="-.3023732"
="p";=".2328042";=".2490785";=".2200529";=".8713781";=".1947656";="";="";="";="";=".";=".9100196";="";="";="5.42e-06";=".7623676"
="structbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0017111";="-.0059544";="-.0013186";="-.001143";="-.0001446";="";="";="";="";="0";=".0059522";="";="";="";=""
="t";="-1.190614";="-1.121018";="-1.217724";="-.1619802";="-1.26801";="";="";="";="";=".";=".1124055";="";="";="";=""
="p";=".2338053";=".2622804";=".2233289";=".8713214";=".2047942";="";="";="";="";=".";=".9105019";="";="";="";=""
="structbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0079679";="-.0312953";="-.0061597";="-.0074643";="-.0007456";="";="";="";="";="";="";="0";=".2372233";="-1.098813";="-.0902604"
="t";="-1.146714";="-1.299233";="-1.197599";="-.2259595";="-1.267851";="";="";="";="";="";="";=".";=".8534818";="-4.497503";="-.31407"
="p";=".2514998";=".193864";=".2310732";=".8212329";=".2048513";="";="";="";="";="";="";=".";=".3933922";="6.88e-06";=".7534679"
="structbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0016538";="-.0064955";="-.0012785";="-.0015492";="-.0001548";="";="";="";="";="";="";="0";=".0506775";="";=""
="t";="-1.146317";="-1.253606";="-1.187305";="-.2261184";="-1.245714";="";="";="";="";="";="";=".";=".8407009";="";=""
="p";=".2516642";=".2099853";=".2351075";=".8211094";=".2128693";="";="";="";="";="";="";=".";=".4005155";="";=""
=""
