="";="fooup_smbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="main:_cons";="lnsig2u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0033986";=".0032554";="-.0037192";=".0000387";="-.0097263";="0";=".1893005";="";="";="";="";="";="";="-.6597937";=".0953074"
="t";="-.592341";=".1487688";="-1.149968";=".804913";="-1.370955";=".";=".9675942";="";="";="";="";="";="";="-3.917931";=".3394316"
="p";=".5536223";=".8817361";=".2501572";=".4208699";=".1703889";=".";=".3332471";="";="";="";="";="";="";=".0000893";=".7342846"
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0010715";=".0010263";="-.0011725";=".0000122";="-.0030664";="0";=".0616363";="";="";="";="";="";="";="";=""
="t";="-.5931581";=".1487702";="-1.16266";=".8033426";="-1.376109";=".";=".9468611";="";="";="";="";="";="";="";=""
="p";=".5530753";=".8817349";=".2449676";=".4217768";=".168788";=".";=".3437095";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0031407";=".0012379";="-.003539";=".000038";="-.0100995";="";="";="0";=".2841322";="";="";="";="";="-.6968368";=".0713997"
="t";="-.5468744";=".0558632";="-1.104548";=".7646459";="-1.389309";="";="";=".";="1.429354";="";="";="";="";="-4.072215";=".2520776"
="p";=".584465";=".9554508";=".2693554";=".4444824";=".1647389";="";="";=".";=".1529026";="";="";="";="";=".0000466";=".8009811"
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0009806";=".0003865";="-.001105";=".0000119";="-.0031532";="";="";="0";=".0926021";="";="";="";="";="";=""
="t";="-.5470501";=".0558578";="-1.117392";=".7626224";="-1.397781";="";="";=".";="1.402714";="";="";="";="";="";=""
="p";=".5843443";=".9554551";=".2638268";=".4456886";=".1621789";="";="";=".";=".160702";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.003256";="-.0023587";="-.0038589";=".0000448";="-.0108961";="";="";="";="";="0";=".3611569";="";="";="-.7318147";=".0439189"
="t";="-.5736668";="-.1056176";="-1.201046";=".8987416";="-1.415618";="";="";="";="";=".";="1.542275";="";="";="-4.08655";=".153362"
="p";=".5661933";=".9158857";=".2297334";=".3687903";=".1568875";="";="";="";="";=".";=".1230069";="";="";=".0000438";=".8781128"
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0010074";="-.0007298";="-.001194";=".0000139";="-.0033714";="";="";="";="";="0";=".1164993";="";="";="";=""
="t";="-.5742625";="-.1056416";="-1.217303";=".8955385";="-1.428434";="";="";="";="";=".";="1.527685";="";="";="";=""
="p";=".5657902";=".9158667";=".2234888";=".3704993";=".153167";="";="";="";="";=".";=".1265908";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0034039";="-.0005372";="-.003777";=".0000397";="-.0095393";="";="";="";="";="";="";="0";=".2993175";="-.7359097";=".0392428"
="t";="-.6048217";="-.02407";="-1.170737";=".7953579";="-1.340124";="";="";="";="";="";="";=".";="1.037849";="-3.521003";=".1315568"
="p";=".5452975";=".9807968";=".2417046";=".4264053";=".180205";="";="";="";="";="";="";=".";=".2993401";=".0004299";=".8953349"
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0010603";="-.0001673";="-.0011765";=".0000124";="-.0029715";="";="";="";="";="";="";="0";=".0953282";="";=""
="t";="-.606985";="-.0240721";="-1.180841";=".7929041";="-1.343783";="";="";="";="";="";="";=".";="1.046583";="";=""
="p";=".5438608";=".9807951";=".2376658";=".4278337";=".1790187";="";="";="";="";="";="";=".";=".295292";="";=""
=""
