
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00755";="0.00248";="0.00755";="0.00248";="0.00688";="0.00227";="0.00759";="0.00250"
="";="(1.01)";="(1.00)";="(1.01)";="(1.00)";="(0.93)";="(0.92)";="(1.03)";="(1.02)"
="NGDP_RPCH";="-0.0316";="-0.0104";="-0.0317";="-0.0104";="-0.0288";="-0.00950";="-0.0314";="-0.0104"
="";="(-1.50)";="(-1.50)";="(-1.50)";="(-1.50)";="(-1.36)";="(-1.36)";="(-1.50)";="(-1.50)"
="ExtDebtPercGNI_Var";="0.00620*";="0.00204*";="0.00621*";="0.00204*";="0.00603*";="0.00199*";="0.00626*";="0.00206*"
="";="(1.80)";="(1.77)";="(1.79)";="(1.77)";="(1.74)";="(1.72)";="(1.81)";="(1.78)"
="BudgetBal_NGDP_Var";="-0.0000483";="-0.0000159";="-0.0000477";="-0.0000157";="-0.0000516";="-0.0000170";="-0.0000473";="-0.0000156"
="";="(-1.10)";="(-1.09)";="(-1.06)";="(-1.05)";="(-1.14)";="(-1.13)";="(-1.04)";="(-1.03)"
="PCPIPCH";="-0.00286";="-0.000941";="-0.00290";="-0.000954";="-0.00284";="-0.000939";="-0.00280";="-0.000921"
="";="(-0.35)";="(-0.35)";="(-0.35)";="(-0.35)";="(-0.36)";="(-0.36)";="(-0.34)";="(-0.34)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0608";="-0.0197";="";="";="";="";="";=""
="";="(-0.21)";="(-0.21)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.0470";="-0.0153";="";="";="";=""
="";="";="";="(-0.18)";="(-0.18)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.253";="-0.0810";="";=""
="";="";="";="";="";="(-0.94)";="(-0.97)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.0858";="-0.0281"
="";="";="";="";="";="";="";="(-0.33)";="(-0.33)"
="Const";="-0.535***";="";="-0.536***";="";="-0.469**";="";="-0.513**";=""
="";="(-2.89)";="";="(-2.92)";="";="(-2.43)";="";="(-2.44)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.188";="";="0.187";="";="0.224";="";="0.201";=""
="";="(0.72)";="";="(0.72)";="";="(0.85)";="";="(0.75)";=""

="Observations";="903";="903";="903";="903";="903";="903";="903";="903"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
