
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="grossdebtDefault1";="MERat1_grossdebt_Def1";="grossdebtDefault2";="MERat1_grossdebt_Def2";="grossdebtDefault5";="MERat1_grossdebt_Def5";="grossdebtDefault10";="MERat1_grossdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00948";="0.00309";="0.00948";="0.00309";="0.00881";="0.00289";="0.00951";="0.00311"
="";="(1.21)";="(1.19)";="(1.21)";="(1.19)";="(1.14)";="(1.13)";="(1.22)";="(1.21)"
="NGDP_RPCH";="-0.0201";="-0.00657";="-0.0203";="-0.00661";="-0.0176";="-0.00577";="-0.0198";="-0.00648"
="";="(-0.91)";="(-0.91)";="(-0.91)";="(-0.90)";="(-0.78)";="(-0.78)";="(-0.89)";="(-0.89)"
="ExtDebtPercGNI_Var";="0.00636*";="0.00207*";="0.00636*";="0.00207*";="0.00618*";="0.00203*";="0.00640*";="0.00209*"
="";="(1.86)";="(1.83)";="(1.86)";="(1.83)";="(1.81)";="(1.78)";="(1.87)";="(1.84)"
="GGXWDG_NGDP_Var";="0.00644";="0.00210";="0.00642";="0.00209";="0.00633";="0.00207";="0.00644";="0.00210"
="";="(1.56)";="(1.56)";="(1.56)";="(1.56)";="(1.55)";="(1.55)";="(1.56)";="(1.56)"
="PCPIPCH";="-0.00242";="-0.000789";="-0.00246";="-0.000801";="-0.00238";="-0.000778";="-0.00233";="-0.000761"
="";="(-0.30)";="(-0.30)";="(-0.30)";="(-0.30)";="(-0.31)";="(-0.31)";="(-0.30)";="(-0.29)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0536";="-0.0173";="";="";="";="";="";=""
="";="(-0.18)";="(-0.18)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.0383";="-0.0124";="";="";="";=""
="";="";="";="(-0.14)";="(-0.14)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.239";="-0.0761";="";=""
="";="";="";="";="";="(-0.90)";="(-0.92)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.0869";="-0.0282"
="";="";="";="";="";="";="";="(-0.33)";="(-0.33)"
="Const";="-0.612***";="";="-0.613***";="";="-0.547***";="";="-0.588***";=""
="";="(-3.24)";="";="(-3.27)";="";="(-2.83)";="";="(-2.79)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.177";="";="0.176";="";="0.209";="";="0.191";=""
="";="(0.68)";="";="(0.68)";="";="(0.79)";="";="(0.71)";=""

="Observations";="903";="903";="903";="903";="903";="903";="903";="903"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
