
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00804";="0.00264";="0.00804";="0.00264";="0.00738";="0.00243";="0.00807";="0.00266"
="";="(1.08)";="(1.07)";="(1.08)";="(1.07)";="(1.01)";="(1.00)";="(1.10)";="(1.09)"
="NGDP_RPCH";="-0.0316";="-0.0104";="-0.0317";="-0.0104";="-0.0289";="-0.00953";="-0.0313";="-0.0103"
="";="(-1.50)";="(-1.50)";="(-1.49)";="(-1.49)";="(-1.36)";="(-1.36)";="(-1.49)";="(-1.49)"
="ExtDebtPercGNI_Var";="0.00628*";="0.00206*";="0.00628*";="0.00206*";="0.00611*";="0.00202*";="0.00632*";="0.00208*"
="";="(1.81)";="(1.78)";="(1.81)";="(1.78)";="(1.76)";="(1.73)";="(1.83)";="(1.79)"
="GGXWDN_NGDP_Var";="0.000868";="0.000285";="0.000864";="0.000284";="0.000857";="0.000283";="0.000861";="0.000284"
="";="(1.00)";="(1.01)";="(0.99)";="(1.00)";="(0.99)";="(1.00)";="(0.98)";="(0.99)"
="PCPIPCH";="-0.00299";="-0.000984";="-0.00303";="-0.000996";="-0.00297";="-0.000981";="-0.00292";="-0.000961"
="";="(-0.36)";="(-0.36)";="(-0.37)";="(-0.36)";="(-0.37)";="(-0.37)";="(-0.36)";="(-0.36)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0550";="-0.0179";="";="";="";="";="";=""
="";="(-0.19)";="(-0.19)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="-0.0447";="-0.0146";="";="";="";=""
="";="";="";="(-0.17)";="(-0.17)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="-0.247";="-0.0789";="";=""
="";="";="";="";="";="(-0.91)";="(-0.94)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="-0.0887";="-0.0290"
="";="";="";="";="";="";="";="(-0.34)";="(-0.34)"
="Const";="-0.534***";="";="-0.534***";="";="-0.468**";="";="-0.509**";=""
="";="(-2.86)";="";="(-2.88)";="";="(-2.41)";="";="(-2.41)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.191";="";="0.190";="";="0.226";="";="0.205";=""
="";="(0.73)";="";="(0.73)";="";="(0.86)";="";="(0.76)";=""

="Observations";="903";="903";="903";="903";="903";="903";="903";="903"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
