
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00495";="-0.00105";="-0.00487";="-0.00103";="-0.00491";="-0.00104";="-0.00493";="-0.00104"
="";="(-0.85)";="(-0.85)";="(-0.84)";="(-0.84)";="(-0.85)";="(-0.85)";="(-0.85)";="(-0.85)"
="NGDP_RPCH";="-0.00687";="-0.00146";="-0.00702";="-0.00149";="-0.00706";="-0.00150";="-0.00756";="-0.00159"
="";="(-0.59)";="(-0.59)";="(-0.60)";="(-0.60)";="(-0.60)";="(-0.59)";="(-0.63)";="(-0.63)"
="ExtDebtPercGNI_Var";="-0.00161";="-0.000341";="-0.00158";="-0.000335";="-0.00159";="-0.000336";="-0.00150";="-0.000316"
="";="(-0.48)";="(-0.48)";="(-0.47)";="(-0.47)";="(-0.47)";="(-0.48)";="(-0.46)";="(-0.46)"
="BudgetBal_NGDP_Var";="-0.0000806*";="-0.0000171*";="-0.0000807*";="-0.0000171*";="-0.0000797*";="-0.0000169*";="-0.0000807*";="-0.0000170*"
="";="(-1.90)";="(-1.81)";="(-1.90)";="(-1.80)";="(-1.83)";="(-1.74)";="(-1.90)";="(-1.81)"
="PCPIPCH";="-0.000518";="-0.000110";="-0.000519";="-0.000110";="-0.000520";="-0.000110";="-0.000546";="-0.000115"
="";="(-1.28)";="(-1.26)";="(-1.28)";="(-1.27)";="(-1.28)";="(-1.27)";="(-1.34)";="(-1.33)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.0671";="0.0145";="";="";="";="";="";=""
="";="(0.26)";="(0.25)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.0900";="0.0195";="";="";="";=""
="";="";="";="(0.38)";="(0.37)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0712";="0.0153";="";=""
="";="";="";="";="";="(0.30)";="(0.30)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.223";="0.0474"
="";="";="";="";="";="";="";="(0.85)";="(0.85)"
="Const";="-1.089***";="";="-1.100***";="";="-1.098***";="";="-1.180***";=""
="";="(-6.44)";="";="(-6.52)";="";="(-6.23)";="";="(-5.77)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.217";="";="0.212";="";="0.220";="";="0.210";=""
="";="(0.76)";="";="(0.75)";="";="(0.79)";="";="(0.76)";=""

="Observations";="1149";="1149";="1149";="1149";="1149";="1149";="1149";="1149"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
