
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00467";="-0.000994";="-0.00465";="-0.000990";="-0.00467";="-0.000993";="-0.00471";="-0.000995"
="";="(-0.79)";="(-0.80)";="(-0.80)";="(-0.80)";="(-0.80)";="(-0.80)";="(-0.80)";="(-0.80)"
="NGDP_RPCH";="-0.00782";="-0.00166";="-0.00780";="-0.00166";="-0.00794";="-0.00169";="-0.00831";="-0.00175"
="";="(-0.66)";="(-0.66)";="(-0.66)";="(-0.66)";="(-0.67)";="(-0.66)";="(-0.69)";="(-0.69)"
="ExtDebtPercGNI_Var";="-0.00147";="-0.000314";="-0.00148";="-0.000314";="-0.00146";="-0.000311";="-0.00139";="-0.000294"
="";="(-0.44)";="(-0.44)";="(-0.44)";="(-0.44)";="(-0.43)";="(-0.43)";="(-0.42)";="(-0.42)"
="GGXWDN_NGDP_Var";="0.0000198***";="0.00000422***";="0.0000199***";="0.00000422***";="0.0000198***";="0.00000421***";="0.0000191***";="0.00000402***"
="";="(3.26)";="(2.71)";="(3.25)";="(2.71)";="(3.22)";="(2.68)";="(3.20)";="(2.65)"
="PCPIPCH";="-0.000529";="-0.000113";="-0.000526";="-0.000112";="-0.000529";="-0.000113";="-0.000554";="-0.000117"
="";="(-1.29)";="(-1.28)";="(-1.29)";="(-1.27)";="(-1.29)";="(-1.28)";="(-1.35)";="(-1.33)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.0927";="0.0202";="";="";="";="";="";=""
="";="(0.36)";="(0.35)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.0840";="0.0182";="";="";="";=""
="";="";="";="(0.34)";="(0.34)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0833";="0.0179";="";=""
="";="";="";="";="";="(0.37)";="(0.36)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.220";="0.0468"
="";="";="";="";="";="";="";="(0.83)";="(0.83)"
="Const";="-1.088***";="";="-1.089***";="";="-1.094***";="";="-1.170***";=""
="";="(-6.47)";="";="(-6.42)";="";="(-6.23)";="";="(-5.70)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.208";="";="0.210";="";="0.214";="";="0.207";=""
="";="(0.74)";="";="(0.74)";="";="(0.77)";="";="(0.75)";=""

="Observations";="1149";="1149";="1149";="1149";="1149";="1149";="1149";="1149"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
