
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="structbalDefault1";="MERat1_structbal_Def1";="structbalDefault2";="MERat1_structbal_Def2";="structbalDefault5";="MERat1_structbal_Def5";="structbalDefault10";="MERat1_structbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00809";="-0.00169";="-0.00809";="-0.00169";="-0.00816";="-0.00171";="-0.00797";="-0.00165"
="";="(-1.16)";="(-1.16)";="(-1.17)";="(-1.17)";="(-1.19)";="(-1.19)";="(-1.15)";="(-1.15)"
="NGDP_RPCH";="-0.0290";="-0.00606";="-0.0289";="-0.00605";="-0.0284";="-0.00595";="-0.0313";="-0.00650"
="";="(-1.20)";="(-1.16)";="(-1.20)";="(-1.16)";="(-1.15)";="(-1.12)";="(-1.30)";="(-1.25)"
="ExtDebtPercGNI_Var";="-0.00622";="-0.00130";="-0.00624";="-0.00131";="-0.00629";="-0.00132";="-0.00616";="-0.00128"
="";="(-1.21)";="(-1.20)";="(-1.22)";="(-1.21)";="(-1.23)";="(-1.22)";="(-1.20)";="(-1.19)"
="GGSB_NPGDP";="-0.00549";="-0.00115";="-0.00573";="-0.00120";="-0.00545";="-0.00114";="-0.00746";="-0.00155"
="";="(-0.16)";="(-0.16)";="(-0.17)";="(-0.17)";="(-0.16)";="(-0.16)";="(-0.23)";="(-0.23)"
="PCPIPCH";="-0.000700";="-0.000146";="-0.000694";="-0.000145";="-0.000690";="-0.000145";="-0.000746";="-0.000155"
="";="(-1.30)";="(-1.28)";="(-1.30)";="(-1.27)";="(-1.30)";="(-1.27)";="(-1.27)";="(-1.25)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.108";="0.0234";="";="";="";="";="";=""
="";="(0.35)";="(0.34)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.0777";="0.0166";="";="";="";=""
="";="";="";="(0.27)";="(0.27)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.0282";="0.00595";="";=""
="";="";="";="";="";="(0.11)";="(0.11)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.237";="0.0507"
="";="";="";="";="";="";="";="(0.85)";="(0.84)"
="Const";="-1.023***";="";="-1.019***";="";="-1.009***";="";="-1.099***";=""
="";="(-4.63)";="";="(-4.62)";="";="(-4.55)";="";="(-4.50)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.0895";="";="-0.0896";="";="-0.0872";="";="-0.0903";=""
="";="(-0.31)";="";="(-0.31)";="";="(-0.30)";="";="(-0.31)";=""

="Observations";="922";="922";="922";="922";="922";="922";="922";="922"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
