
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="budgetbalDefault1";="MERat1_budgetbal_Def1";="budgetbalDefault2";="MERat1_budgetbal_Def2";="budgetbalDefault5";="MERat1_budgetbal_Def5";="budgetbalDefault10";="MERat1_budgetbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00340";="-0.00107";="-0.00314";="-0.000981";="-0.00326";="-0.00101";="-0.00340";="-0.00106"
="";="(-0.59)";="(-0.59)";="(-0.55)";="(-0.55)";="(-0.57)";="(-0.57)";="(-0.60)";="(-0.61)"
="NGDP_RPCH";="0.00326";="0.00103";="0.00124";="0.000387";="-0.00236";="-0.000730";="-0.000537";="-0.000167"
="";="(0.15)";="(0.15)";="(0.06)";="(0.06)";="(-0.11)";="(-0.11)";="(-0.02)";="(-0.02)"
="ExtDebtPercGNI_Var";="-0.00372";="-0.00117";="-0.00354";="-0.00110";="-0.00386";="-0.00119";="-0.00378";="-0.00118"
="";="(-1.15)";="(-1.16)";="(-1.10)";="(-1.12)";="(-1.20)";="(-1.22)";="(-1.17)";="(-1.18)"
="BudgetBal_NGDP_Var";="0.0000387";="0.0000122";="0.0000380";="0.0000119";="0.0000448";="0.0000139";="0.0000397";="0.0000124"
="";="(0.80)";="(0.80)";="(0.76)";="(0.76)";="(0.90)";="(0.90)";="(0.80)";="(0.79)"
="PCPIPCH";="-0.00973";="-0.00307";="-0.0101";="-0.00315";="-0.0109";="-0.00337";="-0.00954";="-0.00297"
="";="(-1.37)";="(-1.38)";="(-1.39)";="(-1.40)";="(-1.42)";="(-1.43)";="(-1.34)";="(-1.34)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.189";="0.0616";="";="";="";="";="";=""
="";="(0.97)";="(0.95)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.284";="0.0926";="";="";="";=""
="";="";="";="(1.43)";="(1.40)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.361";="0.116";="";=""
="";="";="";="";="";="(1.54)";="(1.53)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.299";="0.0953"
="";="";="";="";="";="";="";="(1.04)";="(1.05)"
="Const";="-0.660***";="";="-0.697***";="";="-0.732***";="";="-0.736***";=""
="";="(-3.92)";="";="(-4.07)";="";="(-4.09)";="";="(-3.52)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.0953";="";="0.0714";="";="0.0439";="";="0.0392";=""
="";="(0.34)";="";="(0.25)";="";="(0.15)";="";="(0.13)";=""

="Observations";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
