
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="grossdebtDefault1";="MERat1_grossdebt_Def1";="grossdebtDefault2";="MERat1_grossdebt_Def2";="grossdebtDefault5";="MERat1_grossdebt_Def5";="grossdebtDefault10";="MERat1_grossdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00279";="-0.000881";="-0.00239";="-0.000746";="-0.00241";="-0.000746";="-0.00272";="-0.000848"
="";="(-0.45)";="(-0.45)";="(-0.39)";="(-0.39)";="(-0.39)";="(-0.39)";="(-0.45)";="(-0.45)"
="NGDP_RPCH";="0.00580";="0.00183";="0.00387";="0.00121";="0.000900";="0.000279";="0.00213";="0.000664"
="";="(0.28)";="(0.28)";="(0.19)";="(0.19)";="(0.04)";="(0.04)";="(0.10)";="(0.10)"
="ExtDebtPercGNI_Var";="-0.00366";="-0.00116";="-0.00345";="-0.00108";="-0.00376";="-0.00116";="-0.00370";="-0.00115"
="";="(-1.13)";="(-1.14)";="(-1.07)";="(-1.08)";="(-1.16)";="(-1.18)";="(-1.14)";="(-1.15)"
="GGXWDG_NGDP_Var";="0.00114";="0.000359";="0.00142";="0.000444";="0.00167";="0.000517";="0.00129";="0.000403"
="";="(0.30)";="(0.30)";="(0.37)";="(0.37)";="(0.43)";="(0.43)";="(0.34)";="(0.34)"
="PCPIPCH";="-0.00933";="-0.00295";="-0.00974";="-0.00304";="-0.0104";="-0.00323";="-0.00914";="-0.00285"
="";="(-1.30)";="(-1.31)";="(-1.33)";="(-1.34)";="(-1.35)";="(-1.36)";="(-1.27)";="(-1.27)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.182";="0.0593";="";="";="";="";="";=""
="";="(0.93)";="(0.91)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.294";="0.0961";="";="";="";=""
="";="";="";="(1.48)";="(1.45)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.361";="0.116";="";=""
="";="";="";="";="";="(1.54)";="(1.53)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.300";="0.0955"
="";="";="";="";="";="";="";="(1.04)";="(1.05)"
="Const";="-0.676***";="";="-0.720***";="";="-0.756***";="";="-0.756***";=""
="";="(-3.96)";="";="(-4.17)";="";="(-4.23)";="";="(-3.58)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.102";="";="0.0739";="";="0.0490";="";="0.0446";=""
="";="(0.36)";="";="(0.26)";="";="(0.17)";="";="(0.15)";=""

="Observations";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
