
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="netdebtDefault1";="MERat1_netdebt_Def1";="netdebtDefault2";="MERat1_netdebt_Def2";="netdebtDefault5";="MERat1_netdebt_Def5";="netdebtDefault10";="MERat1_netdebt_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00285";="-0.000900";="-0.00260";="-0.000812";="-0.00267";="-0.000829";="-0.00284";="-0.000887"
="";="(-0.49)";="(-0.49)";="(-0.45)";="(-0.45)";="(-0.47)";="(-0.47)";="(-0.50)";="(-0.50)"
="NGDP_RPCH";="0.00482";="0.00152";="0.00258";="0.000805";="-0.000801";="-0.000248";="0.000958";="0.000299"
="";="(0.22)";="(0.22)";="(0.11)";="(0.11)";="(-0.04)";="(-0.04)";="(0.04)";="(0.04)"
="ExtDebtPercGNI_Var";="-0.00379";="-0.00120";="-0.00360";="-0.00112";="-0.00391";="-0.00121";="-0.00383";="-0.00120"
="";="(-1.16)";="(-1.17)";="(-1.11)";="(-1.12)";="(-1.21)";="(-1.22)";="(-1.18)";="(-1.19)"
="GGXWDN_NGDP_Var";="0.000160";="0.0000504";="0.000154";="0.0000480";="0.000154";="0.0000477";="0.000134";="0.0000417"
="";="(0.32)";="(0.32)";="(0.33)";="(0.32)";="(0.43)";="(0.42)";="(0.64)";="(0.63)"
="PCPIPCH";="-0.00946";="-0.00299";="-0.00988";="-0.00309";="-0.0106";="-0.00329";="-0.00931";="-0.00290"
="";="(-1.33)";="(-1.33)";="(-1.35)";="(-1.36)";="(-1.37)";="(-1.38)";="(-1.30)";="(-1.30)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.174";="0.0565";="";="";="";="";="";=""
="";="(0.89)";="(0.87)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.282";="0.0919";="";="";="";=""
="";="";="";="(1.40)";="(1.38)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.357";="0.115";="";=""
="";="";="";="";="";="(1.52)";="(1.51)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.291";="0.0929"
="";="";="";="";="";="";="";="(1.01)";="(1.02)"
="Const";="-0.665***";="";="-0.705***";="";="-0.741***";="";="-0.742***";=""
="";="(-3.94)";="";="(-4.11)";="";="(-4.14)";="";="(-3.55)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="0.113";="";="0.0850";="";="0.0589";="";="0.0552";=""
="";="(0.40)";="";="(0.30)";="";="(0.21)";="";="(0.19)";=""

="Observations";="1103";="1103";="1103";="1103";="1103";="1103";="1103";="1103"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
