
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)"
="";="structbalDefault1";="MERat1_structbal_Def1";="structbalDefault2";="MERat1_structbal_Def2";="structbalDefault5";="MERat1_structbal_Def5";="structbalDefault10";="MERat1_structbal_Def10"

="main";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00551";="-0.00174";="-0.00472";="-0.00146";="-0.00486";="-0.00148";="-0.00542";="-0.00163"
="";="(-0.84)";="(-0.84)";="(-0.72)";="(-0.72)";="(-0.76)";="(-0.76)";="(-0.85)";="(-0.85)"
="NGDP_RPCH";="0.00545";="0.00172";="-0.000369";="-0.000115";="-0.00643";="-0.00196";="-0.00678";="-0.00204"
="";="(0.23)";="(0.23)";="(-0.02)";="(-0.02)";="(-0.27)";="(-0.27)";="(-0.28)";="(-0.28)"
="ExtDebtPercGNI_Var";="-0.00912**";="-0.00288**";="-0.00867**";="-0.00269**";="-0.00923**";="-0.00282**";="-0.00943**";="-0.00284**"
="";="(-2.05)";="(-2.09)";="(-1.96)";="(-1.99)";="(-2.12)";="(-2.16)";="(-2.11)";="(-2.13)"
="GGSB_NPGDP";="-0.0154";="-0.00487";="-0.0194";="-0.00601";="-0.0206";="-0.00631";="-0.0158";="-0.00474"
="";="(-0.41)";="(-0.41)";="(-0.53)";="(-0.53)";="(-0.56)";="(-0.57)";="(-0.42)";="(-0.42)"
="PCPIPCH";="-0.00794";="-0.00251";="-0.00893";="-0.00277";="-0.00994";="-0.00304";="-0.00862";="-0.00259"
="";="(-1.07)";="(-1.08)";="(-1.13)";="(-1.14)";="(-1.17)";="(-1.19)";="(-1.08)";="(-1.08)"
="DefaultLastYear=0";="0";="0";="";="";="";="";="";=""
="";="(.)";="(.)";="";="";="";="";="";=""
="DefaultLastYear=1";="0.112";="0.0362";="";="";="";="";="";=""
="";="(0.50)";="(0.49)";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="0";="0";="";="";="";=""
="";="";="";="(.)";="(.)";="";="";="";=""
="DefaultLast2Years=1";="";="";="0.383";="0.127";="";="";="";=""
="";="";="";="(1.63)";="(1.58)";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="0";="0";="";=""
="";="";="";="";="";="(.)";="(.)";="";=""
="DefaultLast5Years=1";="";="";="";="";="0.526**";="0.173**";="";=""
="";="";="";="";="";="(2.00)";="(1.96)";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="0";="0"
="";="";="";="";="";="";="";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="0.620**";="0.200**"
="";="";="";="";="";="";="";="(2.40)";="(2.41)"
="Const";="-0.663***";="";="-0.734***";="";="-0.787***";="";="-0.859***";=""
="";="(-3.44)";="";="(-3.84)";="";="(-4.09)";="";="(-4.17)";=""

="lnsig2u";="";="";="";="";="";="";="";=""
="Const";="-0.0576";="";="-0.186";="";="-0.268";="";="-0.312";=""
="";="(-0.16)";="";="(-0.49)";="";="(-0.71)";="";="(-0.82)";=""

="Observations";="926";="926";="926";="926";="926";="926";="926";="926"
="Pseudo R-squared";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
