="";="foobudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="sigma2_u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0013421";="-.0037872";="-.0037653";="5.21e-06";="-.0027283";="0";=".2870886";="";="";="";="";="";="";=".8743804";="2.063733";=".8847805"
="t";="-.2555429";="-.157062";="-1.242937";="1.054511";="-.4441876";=".";="1.309873";="";="";="";="";="";="";="4.252979";="8.474853";="3.559513"
="p";=".7983038";=".875196";=".2138912";=".2916491";=".656907";=".";=".1902388";="";="";="";="";="";="";=".0000211";="0";=".0003715"
="budgetbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0003742";=".0010558";=".0010497";="-1.45e-06";=".0007606";="0";="-.0849625";="";="";="";="";="";="";="";="";=""
="t";=".2560662";=".1568041";="1.249478";="-1.056432";=".4430891";=".";="-1.240357";="";="";="";="";="";="";="";="";=""
="p";=".7978997";=".8753992";=".2114904";=".2907707";=".6577013";=".";=".2148435";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003038";="-.0008573";="-.0008524";="1.18e-06";="-.0006176";="0";=".0678275";="";="";="";="";="";="";="";="";=""
="t";="-.2555364";="-.1571307";="-1.264141";="1.047473";="-.4432766";=".";="1.259959";="";="";="";="";="";="";="";="";=""
="p";=".7983088";=".8751419";=".2061793";=".2948815";=".6575656";=".";=".207684";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0000703";="-.0001985";="-.0001973";="2.73e-07";="-.000143";="0";=".0171349";="";="";="";="";="";="";="";="";=""
="t";="-.2574711";="-.1552195";="-1.111242";="1.015853";="-.4377733";=".";="1.093186";="";="";="";="";="";="";="";="";=""
="p";=".7968151";=".8766483";=".2664642";=".3096993";=".6615506";=".";=".2743123";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0005884";="-.0091138";="-.0036609";="1.38e-06";="-.0025367";="";="";="0";=".4813662";="";="";="";="";=".9319669";="2.126145";=".8076571"
="t";="-.1096899";="-.3722635";="-1.190869";=".2811997";="-.4046519";="";="";=".";="2.220211";="";="";="";="";="4.463362";="8.500046";="3.542193"
="p";=".9126553";=".7096967";=".2337052";=".7785572";=".6857334";="";="";=".";=".0264044";="";="";="";="";="8.07e-06";="0";=".0003968"
="budgetbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0001627";=".0025201";=".0010123";="-3.82e-07";=".0007014";="";="";="0";="-.1449555";="";="";="";="";="";="";=""
="t";=".1097351";=".3704435";="1.19842";="-.2786374";=".4034279";="";="";=".";="-2.083257";="";="";="";="";="";="";=""
="p";=".9126195";=".7110521";=".2307536";=".7805231";=".6866334";="";="";=".";=".0372278";="";="";="";="";="";="";=""
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001308";="-.0020259";="-.0008138";="3.07e-07";="-.0005639";="";="";="0";=".1144787";="";="";="";="";="";="";=""
="t";="-.1095875";="-.3724161";="-1.211436";=".2794793";="-.4032711";="";="";=".";="2.123188";="";="";="";="";="";="";=""
="p";=".9127365";=".7095831";=".2257284";=".779877";=".6867488";="";="";=".";=".0337381";="";="";="";="";="";="";=""
="budgetbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0000319";="-.0004942";="-.0001985";="7.48e-08";="-.0001375";="";="";="0";=".0304769";="";="";="";="";="";="";=""
="t";="-.110281";="-.3603619";="-1.081317";=".2736829";="-.4008693";="";="";=".";="1.656604";="";="";="";="";="";="";=""
="p";=".9121865";=".7185766";=".2795561";=".7843283";=".6885163";="";="";=".";=".0975995";="";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0015918";="-.0110977";="-.0044226";="3.62e-06";="-.0022615";="";="";="";="";="0";=".5216346";="";="";=".9770489";="2.162824";=".7590101"
="t";="-.2917359";="-.4415465";="-1.420408";=".8668508";="-.3680771";="";="";="";="";=".";="2.422966";="";="";="4.560413";="8.405642";="3.552554"
="p";=".7704885";=".6588174";=".1554891";=".3860238";=".7128157";="";="";="";="";=".";=".0153944";="";="";="5.11e-06";="0";=".0003815"
="budgetbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".000438";=".003054";=".0012171";="-9.96e-07";=".0006224";="";="";="";="";="0";="-.1528215";="";="";="";="";=""
="t";=".2919795";=".4395315";="1.43498";="-.8570427";=".3669161";="";="";="";="";=".";="-2.369644";="";="";="";="";=""
="p";=".7703023";=".6602764";=".1512927";=".3914213";=".7136816";="";="";="";="";=".";=".0178052";="";="";="";="";=""
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003491";="-.0024341";="-.00097";="7.94e-07";="-.000496";="";="";="";="";="0";=".1212318";="";="";="";="";=""
="t";="-.2907208";="-.4423151";="-1.457796";=".8495738";="-.3667405";="";="";="";="";=".";="2.351903";="";="";="";="";=""
="p";=".7712649";=".6582612";=".1448968";=".3955621";=".7138126";="";="";="";="";=".";=".0186777";="";="";="";="";=""
="budgetbal_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0000889";="-.0006199";="-.000247";="2.02e-07";="-.0001263";="";="";="";="";="0";=".0315897";="";="";="";="";=""
="t";="-.2959403";="-.4257223";="-1.258752";=".846715";="-.3654777";="";="";="";="";=".";="1.960486";="";="";="";="";=""
="p";=".7672757";=".6703102";=".20812";=".397154";=".7147549";="";="";="";="";=".";=".049939";="";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0020754";="-.0046395";="-.0044073";="3.31e-06";="-.0020183";="";="";="";="";="";="";="0";=".2929103";=".930316";="2.115444";=".8438428"
="t";="-.3816435";="-.1877476";="-1.489645";=".7137855";="-.3314181";="";="";="";="";="";="";=".";="1.057987";="3.897108";="7.565228";="3.424324"
="p";=".7027258";=".8510745";=".1363177";=".4753598";=".7403287";="";="";="";="";="";="";=".";=".2900614";=".0000973";="3.86e-14";=".0006163"
="budgetbal_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0005762";=".0012881";=".0012236";="-9.20e-07";=".0005603";="";="";="";="";="";="";="0";="-.0829193";="";="";=""
="t";=".3822294";=".1874863";="1.499819";="-.7084045";=".3303696";="";="";="";="";="";="";=".";="-1.051941";="";="";=""
="p";=".7022912";=".8512794";=".1336613";=".4786941";=".7411207";="";="";="";="";="";="";=".";=".2928268";="";="";=""
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0004666";="-.0010431";="-.0009909";="7.45e-07";="-.0004538";="";="";="";="";="";="";="0";=".0670987";="";="";=""
="t";="-.3802105";="-.1880035";="-1.520478";=".7065521";="-.3302147";="";="";="";="";="";="";=".";="1.04687";="";="";=""
="p";=".7037892";=".8508739";=".1283908";=".4798449";=".7412377";="";="";="";="";="";="";=".";=".2951596";="";="";=""
="budgetbal_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001096";="-.000245";="-.0002327";="1.75e-07";="-.0001066";="";="";="";="";="";="";="0";=".0158206";="";="";=""
="t";="-.3882563";="-.1850214";="-1.298415";=".689562";="-.3292726";="";="";="";="";="";="";=".";="1.016813";="";="";=""
="p";=".6978264";=".8532122";=".1941449";=".4904697";=".7419496";="";="";="";="";="";="";=".";=".3092425";="";="";=""
=""
