
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00134";="0.000374";="-0.000304";="-0.0000703";="-0.000588";="0.000163";="-0.000131";="-0.0000319";="-0.00159";="0.000438";="-0.000349";="-0.0000889";="-0.00208";="0.000576";="-0.000467";="-0.000110"
="";="(-0.26)";="(0.26)";="(-0.26)";="(-0.26)";="(-0.11)";="(0.11)";="(-0.11)";="(-0.11)";="(-0.29)";="(0.29)";="(-0.29)";="(-0.30)";="(-0.38)";="(0.38)";="(-0.38)";="(-0.39)"
="NGDP_RPCH";="-0.00379";="0.00106";="-0.000857";="-0.000198";="-0.00911";="0.00252";="-0.00203";="-0.000494";="-0.0111";="0.00305";="-0.00243";="-0.000620";="-0.00464";="0.00129";="-0.00104";="-0.000245"
="";="(-0.16)";="(0.16)";="(-0.16)";="(-0.16)";="(-0.37)";="(0.37)";="(-0.37)";="(-0.36)";="(-0.44)";="(0.44)";="(-0.44)";="(-0.43)";="(-0.19)";="(0.19)";="(-0.19)";="(-0.19)"
="ExtDebtPercGNI_Var";="-0.00377";="0.00105";="-0.000852";="-0.000197";="-0.00366";="0.00101";="-0.000814";="-0.000199";="-0.00442";="0.00122";="-0.000970";="-0.000247";="-0.00441";="0.00122";="-0.000991";="-0.000233"
="";="(-1.24)";="(1.25)";="(-1.26)";="(-1.11)";="(-1.19)";="(1.20)";="(-1.21)";="(-1.08)";="(-1.42)";="(1.43)";="(-1.46)";="(-1.26)";="(-1.49)";="(1.50)";="(-1.52)";="(-1.30)"
="BudgetBal_NGDP_Var";="0.00000521";="-0.00000145";="0.00000118";="0.000000273";="0.00000138";="-0.000000382";="0.000000307";="7.48e-08";="0.00000362";="-0.000000996";="0.000000794";="0.000000202";="0.00000331";="-0.000000920";="0.000000745";="0.000000175"
="";="(1.05)";="(-1.06)";="(1.05)";="(1.02)";="(0.28)";="(-0.28)";="(0.28)";="(0.27)";="(0.87)";="(-0.86)";="(0.85)";="(0.85)";="(0.71)";="(-0.71)";="(0.71)";="(0.69)"
="PCPIPCH";="-0.00273";="0.000761";="-0.000618";="-0.000143";="-0.00254";="0.000701";="-0.000564";="-0.000138";="-0.00226";="0.000622";="-0.000496";="-0.000126";="-0.00202";="0.000560";="-0.000454";="-0.000107"
="";="(-0.44)";="(0.44)";="(-0.44)";="(-0.44)";="(-0.40)";="(0.40)";="(-0.40)";="(-0.40)";="(-0.37)";="(0.37)";="(-0.37)";="(-0.37)";="(-0.33)";="(0.33)";="(-0.33)";="(-0.33)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.287";="-0.0850";="0.0678";="0.0171";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(1.31)";="(-1.24)";="(1.26)";="(1.09)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.481**";="-0.145**";="0.114**";="0.0305*";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(2.22)";="(-2.08)";="(2.12)";="(1.66)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="0.522**";="-0.153**";="0.121**";="0.0316**";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(2.42)";="(-2.37)";="(2.35)";="(1.96)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="0.293";="-0.0829";="0.0671";="0.0158"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(1.06)";="(-1.05)";="(1.05)";="(1.02)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.874***";="";="";="";="0.932***";="";="";="";="0.977***";="";="";="";="0.930***";="";="";=""
="";="(4.25)";="";="";="";="(4.46)";="";="";="";="(4.56)";="";="";="";="(3.90)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.064***";="";="";="";="2.126***";="";="";="";="2.163***";="";="";="";="2.115***";="";="";=""
="";="(8.47)";="";="";="";="(8.50)";="";="";="";="(8.41)";="";="";="";="(7.57)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.885***";="";="";="";="0.808***";="";="";="";="0.759***";="";="";="";="0.844***";="";="";=""
="";="(3.56)";="";="";="";="(3.54)";="";="";="";="(3.55)";="";="";="";="(3.42)";="";="";=""

="Observations";="851";="851";="851";="851";="851";="851";="851";="851";="851";="851";="851";="851";="851";="851";="851";="851"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
