
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="grossdebtDefault1";="MERat0_grossdebt_Def1";="MERat1_grossdebt_Def1";="MERat2_grossdebt_Def1";="grossdebtDefault2";="MERat0_grossdebt_Def2";="MERat1_grossdebt_Def2";="MERat2_grossdebt_Def2";="grossdebtDefault5";="MERat0_grossdebt_Def5";="MERat1_grossdebt_Def5";="MERat2_grossdebt_Def5";="grossdebtDefault10";="MERat0_grossdebt_Def10";="MERat1_grossdebt_Def10";="MERat2_grossdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00447";="0.00125";="-0.00101";="-0.000238";="-0.00358";="0.000995";="-0.000798";="-0.000197";="-0.00442";="0.00122";="-0.000975";="-0.000249";="-0.00506";="0.00141";="-0.00114";="-0.000270"
="";="(-0.77)";="(0.77)";="(-0.77)";="(-0.76)";="(-0.60)";="(0.60)";="(-0.60)";="(-0.60)";="(-0.75)";="(0.75)";="(-0.74)";="(-0.75)";="(-0.85)";="(0.85)";="(-0.84)";="(-0.84)"
="NGDP_RPCH";="-0.0203";="0.00567";="-0.00459";="-0.00108";="-0.0244";="0.00677";="-0.00543";="-0.00134";="-0.0254";="0.00703";="-0.00560";="-0.00143";="-0.0199";="0.00554";="-0.00449";="-0.00106"
="";="(-0.81)";="(0.80)";="(-0.82)";="(-0.74)";="(-0.98)";="(0.97)";="(-0.99)";="(-0.87)";="(-0.99)";="(0.98)";="(-0.99)";="(-0.88)";="(-0.77)";="(0.77)";="(-0.78)";="(-0.70)"
="ExtDebtPercGNI_Var";="-0.00437";="0.00122";="-0.000991";="-0.000233";="-0.00424";="0.00118";="-0.000944";="-0.000233";="-0.00499";="0.00138";="-0.00110";="-0.000281";="-0.00492";="0.00137";="-0.00111";="-0.000262"
="";="(-1.35)";="(1.35)";="(-1.37)";="(-1.18)";="(-1.29)";="(1.30)";="(-1.32)";="(-1.15)";="(-1.52)";="(1.53)";="(-1.56)";="(-1.32)";="(-1.55)";="(1.57)";="(-1.59)";="(-1.33)"
="GGXWDG_NGDP_Var";="-0.0105*";="0.00295*";="-0.00239*";="-0.000562";="-0.00983";="0.00273";="-0.00219";="-0.000540";="-0.00946";="0.00262";="-0.00209";="-0.000533";="-0.0101*";="0.00282*";="-0.00228*";="-0.000539"
