
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="netdebtDefault1";="MERat0_netdebt_Def1";="MERat1_netdebt_Def1";="MERat2_netdebt_Def1";="netdebtDefault2";="MERat0_netdebt_Def2";="MERat1_netdebt_Def2";="MERat2_netdebt_Def2";="netdebtDefault5";="MERat0_netdebt_Def5";="MERat1_netdebt_Def5";="MERat2_netdebt_Def5";="netdebtDefault10";="MERat0_netdebt_Def10";="MERat1_netdebt_Def10";="MERat2_netdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.000953";="0.000266";="-0.000216";="-0.0000497";="-0.000245";="0.0000678";="-0.0000546";="-0.0000133";="-0.00120";="0.000330";="-0.000263";="-0.0000667";="-0.00170";="0.000472";="-0.000383";="-0.0000893"
="";="(-0.18)";="(0.18)";="(-0.18)";="(-0.18)";="(-0.05)";="(0.05)";="(-0.05)";="(-0.05)";="(-0.22)";="(0.22)";="(-0.22)";="(-0.22)";="(-0.31)";="(0.31)";="(-0.31)";="(-0.32)"
="NGDP_RPCH";="-0.00365";="0.00102";="-0.000826";="-0.000190";="-0.00914";="0.00253";="-0.00203";="-0.000494";="-0.0111";="0.00305";="-0.00243";="-0.000616";="-0.00452";="0.00125";="-0.00102";="-0.000238"
="";="(-0.15)";="(0.15)";="(-0.15)";="(-0.15)";="(-0.37)";="(0.37)";="(-0.37)";="(-0.36)";="(-0.44)";="(0.44)";="(-0.44)";="(-0.42)";="(-0.18)";="(0.18)";="(-0.18)";="(-0.18)"
="ExtDebtPercGNI_Var";="-0.00380";="0.00106";="-0.000860";="-0.000198";="-0.00368";="0.00102";="-0.000817";="-0.000199";="-0.00444";="0.00122";="-0.000974";="-0.000247";="-0.00442";="0.00123";="-0.000994";="-0.000232"
="";="(-1.25)";="(1.26)";="(-1.28)";="(-1.12)";="(-1.20)";="(1.20)";="(-1.22)";="(-1.08)";="(-1.43)";="(1.44)";="(-1.46)";="(-1.26)";="(-1.49)";="(1.50)";="(-1.52)";="(-1.30)"
="GGXWDN_NGDP_Var";="0.0000138*";="-0.00000385*";="0.00000313*";="0.000000721";="0.0000131*";="-0.00000363*";="0.00000292*";="0.000000710";="0.0000147**";="-0.00000405**";="0.00000323**";="0.000000819*";="0.0000139*";="-0.00000386*";="0.00000313*";="0.000000731"
="";="(1.84)";="(-1.79)";="(1.80)";="(1.49)";="(1.73)";="(-1.70)";="(1.72)";="(1.45)";="(2.05)";="(-2.01)";="(2.06)";="(1.65)";="(1.93)";="(-1.88)";="(1.93)";="(1.53)"
="PCPIPCH";="-0.00272";="0.000758";="-0.000616";="-0.000142";="-0.00254";="0.000702";="-0.000565";="-0.000137";="-0.00226";="0.000622";="-0.000496";="-0.000126";="-0.00204";="0.000566";="-0.000459";="-0.000107"
="";="(-0.44)";="(0.44)";="(-0.44)";="(-0.43)";="(-0.40)";="(0.40)";="(-0.40)";="(-0.40)";="(-0.37)";="(0.37)";="(-0.37)";="(-0.36)";="(-0.33)";="(0.33)";="(-0.33)";="(-0.33)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.279";="-0.0823";="0.0658";="0.0165";="";="";="";="";="";="";="";="";="";="";="";=""
