="";="foostructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="sigma2_u:_cons"
="structbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0008152";="-.007019";="-.0030552";=".0133723";="-.0032463";="0";=".1186512";="";="";="";="";="";="";=".8403306";="1.985316";="1.07814"
="t";="-.1443459";="-.2841075";="-.8967094";=".5322468";="-.537891";=".";=".5104435";="";="";="";="";="";="";="3.517958";="7.309708";="3.327795"
="p";=".8852273";=".776328";=".369874";=".5945551";=".5906523";=".";=".6097408";="";="";="";="";="";="";=".0004349";="2.68e-13";=".0008754"
="structbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0002192";=".0018872";=".0008215";="-.0035955";=".0008728";="0";="-.0327975";="";="";="";="";="";="";="";="";=""
="t";=".1444687";=".2828816";=".8940802";="-.5242259";=".5362407";=".";="-.4970627";="";="";="";="";="";="";="";="";=""
="p";=".8851304";=".7772676";=".371279";=".6001214";=".5917922";=".";=".6191449";="";="";="";="";="";="";="";="";=""
="structbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001774";="-.0015276";="-.0006649";=".0029103";="-.0007065";="0";=".0263312";="";="";="";="";="";="";="";="";=""
="t";="-.1443359";="-.2843383";="-.9063062";=".5274434";="-.5371237";=".";=".5007349";="";="";="";="";="";="";="";="";=""
="p";=".8852353";=".7761511";=".3647738";=".5978857";=".5911822";=".";=".6165577";="";="";="";="";="";="";="";="";=""
="structbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0000418";="-.0003596";="-.0001565";=".0006852";="-.0001663";="0";=".0064664";="";="";="";="";="";="";="";="";=""
="t";="-.1448426";="-.2755861";="-.8107454";=".5028458";="-.523129";=".";=".475737";="";="";="";="";="";="";="";="";=""
="p";=".8848351";=".782866";=".4175119";=".6150727";=".6008845";=".";=".6342618";="";="";="";="";="";="";="";="";=""
="structbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0000778";="-.0107935";="-.0027248";=".0093586";="-.0030514";="";="";="0";=".3283314";="";="";="";="";=".8994609";="2.046221";=".987435"
="t";="-.0135985";="-.4313982";="-.8052945";=".3726487";="-.4943754";="";="";=".";="1.471425";="";="";="";="";="3.781218";="7.495279";="3.308739"
="p";=".9891503";=".6661789";=".4206498";=".7094099";=".6210411";="";="";=".";=".1411763";="";="";="";="";=".0001561";="6.62e-14";=".0009372"
="structbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0000209";=".0029008";=".0007323";="-.0025151";=".0008201";="";="";="0";="-.0941977";="";="";="";="";="";="";=""
="t";=".0135991";=".4281426";=".8038886";="-.3688729";=".4930032";="";="";=".";="-1.381889";="";="";="";="";="";="";=""
="p";=".9891498";=".6685473";=".4214613";=".7122225";=".6220103";="";="";=".";=".1670057";="";="";="";="";="";="";=""
="structbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0000168";="-.0023319";="-.0005887";=".0020219";="-.0006593";="";="";="0";=".0744705";="";="";="";="";="";="";=""
="t";="-.0135973";="-.4316678";="-.8133418";=".3703908";="-.493413";="";="";=".";="1.412253";="";="";="";="";="";="";=""
="p";=".9891513";=".6659829";=".4160221";=".7110913";=".6217208";="";="";=".";=".1578754";="";="";="";="";="";="";=""
="structbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-4.10e-06";="-.0005688";="-.0001436";=".0004932";="-.0001608";="";="";="0";=".0197272";="";="";="";="";="";="";=""
="t";="-.0136064";="-.4103104";="-.742303";=".3599843";="-.4843224";="";="";=".";="1.169655";="";="";="";="";="";="";=""
="p";=".989144";=".6815782";=".4579038";=".7188589";=".6281571";="";="";=".";=".2421397";="";="";="";="";="";="";=""
="structbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.000632";="-.0145896";="-.0033836";=".0108381";="-.0028714";="";="";="";="";="0";=".4250891";="";="";=".9372483";="2.078935";=".9126866"
="t";="-.1097955";="-.5672065";="-.9567613";=".4324826";="-.4695557";="";="";="";="";=".";="1.805624";="";="";="3.876776";="7.431028";="3.273892"
="p";=".9125715";=".5705739";=".3386878";=".6653907";=".6386724";="";="";="";="";=".";=".0709771";="";="";=".0001058";="1.08e-13";=".0010608"
="structbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0001696";=".0039154";=".0009081";="-.0029086";=".0007706";="";="";="";="";="0";="-.1211109";="";="";="";="";=""
="t";=".1098125";=".5619054";=".9557052";="-.4271911";=".4681454";="";="";="";="";=".";="-1.721445";="";="";="";="";=""
="p";=".9125581";=".5741805";=".3392212";=".6692401";=".6396806";="";="";="";="";=".";=".0851702";="";="";="";="";=""
="structbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.000135";="-.0031162";="-.0007227";=".0023149";="-.0006133";="";="";="";="";="0";=".0954007";="";="";="";="";=""
="t";="-.1096641";="-.5680607";="-.9712807";=".4289312";="-.4681965";="";="";="";="";=".";="1.737191";="";="";="";="";=""
="p";=".9126758";=".5699938";=".3314085";=".6679733";=".639644";="";="";="";="";=".";=".0823535";="";="";="";="";=""
