
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="structbalDefault1";="MERat0_structbal_Def1";="MERat1_structbal_Def1";="MERat2_structbal_Def1";="structbalDefault2";="MERat0_structbal_Def2";="MERat1_structbal_Def2";="MERat2_structbal_Def2";="structbalDefault5";="MERat0_structbal_Def5";="MERat1_structbal_Def5";="MERat2_structbal_Def5";="structbalDefault10";="MERat0_structbal_Def10";="MERat1_structbal_Def10";="MERat2_structbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.000815";="0.000219";="-0.000177";="-0.0000418";="-0.0000778";="0.0000209";="-0.0000168";="-0.00000410";="-0.000632";="0.000170";="-0.000135";="-0.0000346";="-0.00115";="0.000311";="-0.000251";="-0.0000601"
="";="(-0.14)";="(0.14)";="(-0.14)";="(-0.14)";="(-0.01)";="(0.01)";="(-0.01)";="(-0.01)";="(-0.11)";="(0.11)";="(-0.11)";="(-0.11)";="(-0.20)";="(0.20)";="(-0.20)";="(-0.21)"
="NGDP_RPCH";="-0.00702";="0.00189";="-0.00153";="-0.000360";="-0.0108";="0.00290";="-0.00233";="-0.000569";="-0.0146";="0.00392";="-0.00312";="-0.000799";="-0.00882";="0.00238";="-0.00192";="-0.000460"
="";="(-0.28)";="(0.28)";="(-0.28)";="(-0.28)";="(-0.43)";="(0.43)";="(-0.43)";="(-0.41)";="(-0.57)";="(0.56)";="(-0.57)";="(-0.53)";="(-0.35)";="(0.35)";="(-0.35)";="(-0.33)"
="ExtDebtPercGNI_Var";="-0.00306";="0.000821";="-0.000665";="-0.000157";="-0.00272";="0.000732";="-0.000589";="-0.000144";="-0.00338";="0.000908";="-0.000723";="-0.000185";="-0.00349";="0.000940";="-0.000759";="-0.000182"
="";="(-0.90)";="(0.89)";="(-0.91)";="(-0.81)";="(-0.81)";="(0.80)";="(-0.81)";="(-0.74)";="(-0.96)";="(0.96)";="(-0.97)";="(-0.86)";="(-1.03)";="(1.03)";="(-1.05)";="(-0.92)"
="GGSB_NPGDP";="0.0134";="-0.00360";="0.00291";="0.000685";="0.00936";="-0.00252";="0.00202";="0.000493";="0.0108";="-0.00291";="0.00231";="0.000594";="0.0140";="-0.00377";="0.00304";="0.000729"
="";="(0.53)";="(-0.52)";="(0.53)";="(0.50)";="(0.37)";="(-0.37)";="(0.37)";="(0.36)";="(0.43)";="(-0.43)";="(0.43)";="(0.42)";="(0.56)";="(-0.55)";="(0.55)";="(0.53)"
="PCPIPCH";="-0.00325";="0.000873";="-0.000707";="-0.000166";="-0.00305";="0.000820";="-0.000659";="-0.000161";="-0.00287";="0.000771";="-0.000613";="-0.000157";="-0.00289";="0.000779";="-0.000628";="-0.000151"
="";="(-0.54)";="(0.54)";="(-0.54)";="(-0.52)";="(-0.49)";="(0.49)";="(-0.49)";="(-0.48)";="(-0.47)";="(0.47)";="(-0.47)";="(-0.46)";="(-0.47)";="(0.47)";="(-0.47)";="(-0.46)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.119";="-0.0328";="0.0263";="0.00647";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(0.51)";="(-0.50)";="(0.50)";="(0.48)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.328";="-0.0942";="0.0745";="0.0197";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(1.47)";="(-1.38)";="(1.41)";="(1.17)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="0.425*";="-0.121*";="0.0954*";="0.0257";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(1.81)";="(-1.72)";="(1.74)";="(1.46)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="0.177";="-0.0485";="0.0390";="0.00952"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(0.58)";="(-0.57)";="(0.57)";="(0.55)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.840***";="";="";="";="0.899***";="";="";="";="0.937***";="";="";="";="0.874***";="";="";=""
="";="(3.52)";="";="";="";="(3.78)";="";="";="";="(3.88)";="";="";="";="(3.34)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.985***";="";="";="";="2.046***";="";="";="";="2.079***";="";="";="";="2.017***";="";="";=""
="";="(7.31)";="";="";="";="(7.50)";="";="";="";="(7.43)";="";="";="";="(6.77)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.078***";="";="";="";="0.987***";="";="";="";="0.913***";="";="";="";="1.022***";="";="";=""
="";="(3.33)";="";="";="";="(3.31)";="";="";="";="(3.27)";="";="";="";="(3.12)";="";="";=""

="Observations";="776";="776";="776";="776";="776";="776";="776";="776";="776";="776";="776";="776";="776";="776";="776";="776"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
