="";="foobudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="sigma2_u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0123726";="-.0248955";="-.0040768";="-5.71e-06";="-.0001149";="0";=".3212832";="";="";="";="";="";="";=".8617103";="2.286503";=".8930219"
="t";="-2.55795";="-1.158079";="-1.971191";="-.4844531";="-.2624587";=".";="1.539889";="";="";="";="";="";="";="5.469517";="12.281";="3.23805"
="p";=".0105291";=".2468317";=".0487021";=".6280643";=".7929678";=".";=".1235875";="";="";="";="";="";="";="4.51e-08";="0";=".0012035"
="budgetbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0031733";=".0063852";=".0010456";="1.46e-06";=".0000295";="0";="-.0879274";="";="";="";="";="";="";="";="";=""
="t";="2.463868";="1.159195";="1.91331";=".4819029";=".2629293";=".";="-1.472991";="";="";="";="";="";="";="";="";=""
="p";=".0137447";=".2463769";=".0557084";=".6298749";=".7926051";=".";=".1407535";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0028251";="-.0056844";="-.0009309";="-1.30e-06";="-.0000262";="0";=".077472";="";="";="";="";="";="";="";="";=""
="t";="-2.505024";="-1.156464";="-1.953496";="-.4795997";="-.262731";=".";="1.50155";="";="";="";="";="";="";="";="";=""
="p";=".0122443";=".2474916";=".0507608";=".631512";=".792758";=".";=".1332133";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003483";="-.0007007";="-.0001148";="-1.61e-07";="-3.23e-06";="0";=".0104554";="";="";="";="";="";="";="";="";=""
="t";="-1.757917";="-1.097";="-1.445294";="-.4814847";="-.2634963";=".";="1.188933";="";="";="";="";="";="";="";="";=""
="p";=".0787616";=".2726414";=".1483753";=".6301721";=".7921681";=".";=".2344661";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0124474";="-.0249657";="-.004031";="-9.43e-06";="-.0000959";="";="";="0";=".2783107";="";="";="";="";=".8568341";="2.27918";=".8873773"
="t";="-2.561386";="-1.163521";="-1.951933";="-.803791";="-.2185786";="";="";=".";="1.450978";="";="";="";="";="5.443259";="12.3265";="3.238206"
="p";=".0104255";=".244618";=".0509462";=".4215177";=".8269783";="";="";=".";=".1467859";="";="";="";="";="5.23e-08";="0";=".0012028"
="budgetbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0032018";=".0064218";=".0010369";="2.43e-06";=".0000247";="";="";="0";="-.0751112";="";="";="";="";="";="";=""
="t";="2.468918";="1.165757";="1.899974";=".801573";=".2188798";="";="";=".";="-1.405962";="";="";="";="";="";="";=""
="p";=".0135522";=".2437127";=".0574366";=".4228";=".8267437";="";="";=".";=".1597355";="";="";="";="";="";="";=""
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0028503";="-.0057169";="-.0009231";="-2.16e-06";="-.000022";="";="";="0";=".0663632";="";="";="";="";="";="";=""
="t";="-2.510284";="-1.163341";="-1.940079";="-.7999301";="-.2187382";="";="";=".";="1.42925";="";="";="";="";="";="";=""
="p";=".0120634";=".2446911";=".0523701";=".4237513";=".826854";="";="";=".";=".1529325";="";="";="";="";="";="";=""
="budgetbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003515";="-.000705";="-.0001138";="-2.66e-07";="-2.71e-06";="";="";="0";=".008748";="";="";="";="";="";="";=""
="t";="-1.758689";="-1.09976";="-1.436342";="-.7939398";="-.2193499";="";="";=".";="1.157094";="";="";="";="";="";="";=""
="p";=".0786303";=".2714368";=".1509051";=".4272305";=".8263775";="";="";=".";=".247234";="";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0124616";="-.0277145";="-.0040455";="-9.50e-06";="-.0000833";="";="";="";="";="0";=".4294172";="";="";=".9361795";="2.363467";=".8750767"
="t";="-2.541022";="-1.268076";="-1.906948";="-.8060385";="-.1873634";="";="";="";="";=".";="2.670784";="";="";="6.039858";="12.43964";="3.255211"
="p";=".0110529";=".2047709";=".0565274";=".4202206";=".8513757";="";="";="";="";=".";=".0075674";="";="";="1.54e-09";="0";=".0011331"
="budgetbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0031594";=".0070265";=".0010257";="2.41e-06";=".0000211";="";="";="";="";="0";="-.1144168";="";="";="";="";=""
="t";="2.450964";="1.273404";="1.86063";=".8038465";=".1876126";="";="";="";="";=".";="-2.60736";="";="";="";="";=""
="p";=".0142474";=".2028746";=".0627965";=".4214856";=".8511803";="";="";="";="";=".";=".0091243";="";="";="";="";=""
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0028036";="-.0062353";="-.0009102";="-2.14e-06";="-.0000187";="";="";="";="";="0";=".1011504";="";="";="";="";=""
="t";="-2.494014";="-1.269905";="-1.898939";="-.8010354";="-.187513";="";="";="";="";=".";="2.638667";="";="";="";="";=""
="p";=".0126307";=".2041185";=".0575725";=".4231111";=".8512585";="";="";="";="";=".";=".0083233";="";="";="";="";=""
="budgetbal_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003558";="-.0007912";="-.0001155";="-2.71e-07";="-2.38e-06";="";="";="";="";="0";=".0132664";="";="";="";="";=""
="t";="-1.760123";="-1.194121";="-1.426831";="-.8004518";="-.1879891";="";="";="";="";=".";="1.87535";="";="";="";="";=""
="p";=".0783869";=".2324305";=".1536286";=".4234491";=".8508852";="";="";="";="";=".";=".0607446";="";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0128951";="-.0234186";="-.0043869";="-8.70e-06";="-.0000744";="";="";="";="";="";="";="0";=".1769576";=".8505258";="2.269108";=".9072212"
="t";="-2.642126";="-1.071925";="-2.10995";="-.7251325";="-.1690762";="";="";="";="";="";="";=".";=".9738181";="5.222623";="11.62163";="3.239101"
="p";=".0082387";=".2837535";=".0348627";=".4683708";=".8657367";="";="";="";="";="";="";=".";=".3301469";="1.76e-07";="0";=".0011991"
="budgetbal_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0033328";=".0060526";=".0011338";="2.25e-06";=".0000192";="";="";="";="";="";="";="0";="-.046103";="";="";=""
="t";="2.550417";="1.077756";="2.056336";=".7231896";=".1692402";="";="";="";="";="";="";=".";="-.9820412";="";="";=""
="p";=".0107594";=".2811426";=".0397502";=".4695634";=".8656077";="";="";="";="";="";="";=".";=".3260796";="";="";=""
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.002968";="-.0053902";="-.0010097";="-2.00e-06";="-.0000171";="";="";="";="";="";="";="0";=".0410158";="";="";=""
="t";="-2.602036";="-1.075998";="-2.10988";="-.7216664";="-.1691578";="";="";="";="";="";="";=".";=".9835769";="";="";=""
="p";=".0092672";=".281928";=".0348687";=".4704996";=".8656725";="";="";="";="";="";="";=".";=".3253236";="";="";=""
="budgetbal_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003648";="-.0006624";="-.0001241";="-2.46e-07";="-2.10e-06";="";="";="";="";="";="";="0";=".0050872";="";="";=""
="t";="-1.769207";="-1.02414";="-1.492503";="-.7188085";="-.1695807";="";="";="";="";="";="";=".";=".9212731";="";="";=""
="p";=".0768593";=".3057691";=".1355672";=".4722589";=".8653399";="";="";="";="";="";="";=".";=".3569079";="";="";=""
=""
