
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0124**";="0.00317**";="-0.00283**";="-0.000348*";="-0.0124**";="0.00320**";="-0.00285**";="-0.000351*";="-0.0125**";="0.00316**";="-0.00280**";="-0.000356*";="-0.0129***";="0.00333**";="-0.00297***";="-0.000365*"
="";="(-2.56)";="(2.46)";="(-2.51)";="(-1.76)";="(-2.56)";="(2.47)";="(-2.51)";="(-1.76)";="(-2.54)";="(2.45)";="(-2.49)";="(-1.76)";="(-2.64)";="(2.55)";="(-2.60)";="(-1.77)"
="NGDP_RPCH";="-0.0249";="0.00639";="-0.00568";="-0.000701";="-0.0250";="0.00642";="-0.00572";="-0.000705";="-0.0277";="0.00703";="-0.00624";="-0.000791";="-0.0234";="0.00605";="-0.00539";="-0.000662"
="";="(-1.16)";="(1.16)";="(-1.16)";="(-1.10)";="(-1.16)";="(1.17)";="(-1.16)";="(-1.10)";="(-1.27)";="(1.27)";="(-1.27)";="(-1.19)";="(-1.07)";="(1.08)";="(-1.08)";="(-1.02)"
="ExtDebtPercGNI_Var";="-0.00408**";="0.00105*";="-0.000931*";="-0.000115";="-0.00403*";="0.00104*";="-0.000923*";="-0.000114";="-0.00405*";="0.00103*";="-0.000910*";="-0.000116";="-0.00439**";="0.00113**";="-0.00101**";="-0.000124"
="";="(-1.97)";="(1.91)";="(-1.95)";="(-1.45)";="(-1.95)";="(1.90)";="(-1.94)";="(-1.44)";="(-1.91)";="(1.86)";="(-1.90)";="(-1.43)";="(-2.11)";="(2.06)";="(-2.11)";="(-1.49)"
="BudgetBal_NGDP_Var";="-0.00000571";="0.00000146";="-0.00000130";="-0.000000161";="-0.00000943";="0.00000243";="-0.00000216";="-0.000000266";="-0.00000950";="0.00000241";="-0.00000214";="-0.000000271";="-0.00000870";="0.00000225";="-0.00000200";="-0.000000246"
="";="(-0.48)";="(0.48)";="(-0.48)";="(-0.48)";="(-0.80)";="(0.80)";="(-0.80)";="(-0.79)";="(-0.81)";="(0.80)";="(-0.80)";="(-0.80)";="(-0.73)";="(0.72)";="(-0.72)";="(-0.72)"
="PCPIPCH";="-0.000115";="0.0000295";="-0.0000262";="-0.00000323";="-0.0000959";="0.0000247";="-0.0000220";="-0.00000271";="-0.0000833";="0.0000211";="-0.0000187";="-0.00000238";="-0.0000744";="0.0000192";="-0.0000171";="-0.00000210"
="";="(-0.26)";="(0.26)";="(-0.26)";="(-0.26)";="(-0.22)";="(0.22)";="(-0.22)";="(-0.22)";="(-0.19)";="(0.19)";="(-0.19)";="(-0.19)";="(-0.17)";="(0.17)";="(-0.17)";="(-0.17)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.321";="-0.0879";="0.0775";="0.0105";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(1.54)";="(-1.47)";="(1.50)";="(1.19)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.278";="-0.0751";="0.0664";="0.00875";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(1.45)";="(-1.41)";="(1.43)";="(1.16)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="0.429***";="-0.114***";="0.101***";="0.0133*";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(2.67)";="(-2.61)";="(2.64)";="(1.88)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="0.177";="-0.0461";="0.0410";="0.00509"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(0.97)";="(-0.98)";="(0.98)";="(0.92)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.862***";="";="";="";="0.857***";="";="";="";="0.936***";="";="";="";="0.851***";="";="";=""
="";="(5.47)";="";="";="";="(5.44)";="";="";="";="(6.04)";="";="";="";="(5.22)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.287***";="";="";="";="2.279***";="";="";="";="2.363***";="";="";="";="2.269***";="";="";=""
="";="(12.28)";="";="";="";="(12.33)";="";="";="";="(12.44)";="";="";="";="(11.62)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.893***";="";="";="";="0.887***";="";="";="";="0.875***";="";="";="";="0.907***";="";="";=""
="";="(3.24)";="";="";="";="(3.24)";="";="";="";="(3.26)";="";="";="";="(3.24)";="";="";=""

="Observations";="1194";="1194";="1194";="1194";="1194";="1194";="1194";="1194";="1194";="1194";="1194";="1194";="1194";="1194";="1194";="1194"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
