
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="structbalDefault1";="MERat0_structbal_Def1";="MERat1_structbal_Def1";="MERat2_structbal_Def1";="structbalDefault2";="MERat0_structbal_Def2";="MERat1_structbal_Def2";="MERat2_structbal_Def2";="structbalDefault5";="MERat0_structbal_Def5";="MERat1_structbal_Def5";="MERat2_structbal_Def5";="structbalDefault10";="MERat0_structbal_Def10";="MERat1_structbal_Def10";="MERat2_structbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0142**";="0.00329**";="-0.00290**";="-0.000387";="-0.0141**";="0.00327**";="-0.00288**";="-0.000384";="-0.0146**";="0.00338**";="-0.00299**";="-0.000398";="-0.0147**";="0.00348**";="-0.00308**";="-0.000392"
="";="(-2.38)";="(2.21)";="(-2.27)";="(-1.55)";="(-2.36)";="(2.19)";="(-2.25)";="(-1.54)";="(-2.42)";="(2.24)";="(-2.30)";="(-1.56)";="(-2.50)";="(2.31)";="(-2.38)";="(-1.54)"
="NGDP_RPCH";="-0.0241";="0.00561";="-0.00495";="-0.000659";="-0.0264";="0.00611";="-0.00540";="-0.000718";="-0.0287";="0.00666";="-0.00587";="-0.000783";="-0.0245";="0.00579";="-0.00514";="-0.000654"
="";="(-0.99)";="(1.00)";="(-0.99)";="(-0.98)";="(-1.09)";="(1.09)";="(-1.08)";="(-1.06)";="(-1.17)";="(1.18)";="(-1.17)";="(-1.13)";="(-1.01)";="(1.02)";="(-1.01)";="(-0.98)"
="ExtDebtPercGNI_Var";="-0.00609*";="0.00142*";="-0.00125*";="-0.000166";="-0.00591*";="0.00137";="-0.00121";="-0.000161";="-0.00653*";="0.00151*";="-0.00134*";="-0.000178";="-0.00660*";="0.00156*";="-0.00138*";="-0.000176"
="";="(-1.71)";="(1.65)";="(-1.68)";="(-1.30)";="(-1.66)";="(1.61)";="(-1.64)";="(-1.28)";="(-1.72)";="(1.68)";="(-1.71)";="(-1.32)";="(-1.85)";="(1.80)";="(-1.84)";="(-1.34)"
="GGSB_NPGDP";="-0.0198";="0.00461";="-0.00406";="-0.000541";="-0.0213";="0.00494";="-0.00436";="-0.000580";="-0.0189";="0.00439";="-0.00387";="-0.000517";="-0.0148";="0.00351";="-0.00311";="-0.000396"
="";="(-0.74)";="(0.76)";="(-0.76)";="(-0.72)";="(-0.79)";="(0.81)";="(-0.81)";="(-0.77)";="(-0.72)";="(0.74)";="(-0.74)";="(-0.71)";="(-0.57)";="(0.58)";="(-0.58)";="(-0.56)"
="PCPIPCH";="-0.0000627";="0.0000146";="-0.0000129";="-0.00000171";="-0.0000380";="0.00000881";="-0.00000778";="-0.00000104";="-0.0000226";="0.00000525";="-0.00000463";="-0.000000617";="-0.0000268";="0.00000634";="-0.00000563";="-0.000000716"
="";="(-0.14)";="(0.15)";="(-0.15)";="(-0.15)";="(-0.09)";="(0.09)";="(-0.09)";="(-0.09)";="(-0.05)";="(0.05)";="(-0.05)";="(-0.05)";="(-0.06)";="(0.06)";="(-0.06)";="(-0.06)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.532**";="-0.142**";="0.123**";="0.0192";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(2.19)";="(-1.96)";="(2.04)";="(1.39)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.508**";="-0.132**";="0.115**";="0.0175";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(2.42)";="(-2.22)";="(2.29)";="(1.53)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="0.478***";="-0.120***";="0.105***";="0.0152*";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(3.05)";="(-2.84)";="(2.94)";="(1.78)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="0.151";="-0.0363";="0.0321";="0.00419"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(0.88)";="(-0.87)";="(0.87)";="(0.79)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.032***";="";="";="";="1.042***";="";="";="";="1.048***";="";="";="";="0.943***";="";="";=""
="";="(5.22)";="";="";="";="(5.17)";="";="";="";="(5.25)";="";="";="";="(4.62)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.401***";="";="";="";="2.410***";="";="";="";="2.415***";="";="";="";="2.298***";="";="";=""
="";="(10.96)";="";="";="";="(10.87)";="";="";="";="(10.84)";="";="";="";="(10.12)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.911***";="";="";="";="0.910***";="";="";="";="0.916***";="";="";="";="0.940***";="";="";=""
="";="(3.46)";="";="";="";="(3.44)";="";="";="";="(3.45)";="";="";="";="(3.57)";="";="";=""

="Observations";="960";="960";="960";="960";="960";="960";="960";="960";="960";="960";="960";="960";="960";="960";="960";="960"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
