
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0105*";="0.00363*";="-0.00278";="-0.000850";="-0.0106*";="0.00366*";="-0.00280*";="-0.000861";="-0.0106*";="0.00365*";="-0.00279*";="-0.000857";="-0.0105*";="0.00362*";="-0.00277";="-0.000849"
="";="(-1.66)";="(1.68)";="(-1.64)";="(-1.62)";="(-1.67)";="(1.70)";="(-1.66)";="(-1.62)";="(-1.66)";="(1.68)";="(-1.65)";="(-1.60)";="(-1.66)";="(1.68)";="(-1.64)";="(-1.61)"
="NGDP_RPCH";="0.0146";="-0.00501";="0.00383";="0.00117";="0.0148";="-0.00511";="0.00391";="0.00120";="0.0148";="-0.00510";="0.00390";="0.00120";="0.0146";="-0.00502";="0.00384";="0.00118"
="";="(0.74)";="(-0.75)";="(0.75)";="(0.73)";="(0.76)";="(-0.76)";="(0.76)";="(0.74)";="(0.75)";="(-0.75)";="(0.75)";="(0.73)";="(0.74)";="(-0.74)";="(0.74)";="(0.72)"
="ExtDebtPercGNI_Var";="0.00325";="-0.00112";="0.000855";="0.000262";="0.00319";="-0.00110";="0.000841";="0.000259";="0.00322";="-0.00111";="0.000849";="0.000261";="0.00327";="-0.00112";="0.000861";="0.000264"
="";="(0.99)";="(-0.98)";="(1.01)";="(0.89)";="(0.98)";="(-0.97)";="(0.99)";="(0.88)";="(0.98)";="(-0.97)";="(1.00)";="(0.88)";="(0.99)";="(-0.98)";="(1.01)";="(0.89)"
="BudgetBal_NGDP_Var";="0.000206***";="-0.0000710***";="0.0000544***";="0.0000166**";="0.000207***";="-0.0000713***";="0.0000545***";="0.0000168**";="0.000206***";="-0.0000709***";="0.0000543***";="0.0000167**";="0.000206***";="-0.0000710***";="0.0000543***";="0.0000167**"
="";="(3.52)";="(-3.39)";="(3.58)";="(2.23)";="(3.53)";="(-3.39)";="(3.60)";="(2.22)";="(3.52)";="(-3.38)";="(3.58)";="(2.22)";="(3.51)";="(-3.38)";="(3.57)";="(2.22)"
="PCPIPCH";="-0.000310";="0.000107";="-0.0000817";="-0.0000250";="-0.000307";="0.000106";="-0.0000810";="-0.0000249";="-0.000313";="0.000108";="-0.0000825";="-0.0000253";="-0.000312";="0.000107";="-0.0000822";="-0.0000252"
="";="(-0.51)";="(0.51)";="(-0.51)";="(-0.51)";="(-0.51)";="(0.50)";="(-0.50)";="(-0.50)";="(-0.51)";="(0.51)";="(-0.51)";="(-0.51)";="(-0.51)";="(0.51)";="(-0.51)";="(-0.51)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0263";="0.00901";="-0.00692";="-0.00209";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-0.17)";="(0.17)";="(-0.17)";="(-0.17)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="-0.0639";="0.0218";="-0.0168";="-0.00504";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(-0.43)";="(0.44)";="(-0.44)";="(-0.44)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.0434";="0.0149";="-0.0114";="-0.00347";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-0.30)";="(0.30)";="(-0.30)";="(-0.30)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.0291";="0.00999";="-0.00766";="-0.00233"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-0.15)";="(0.15)";="(-0.15)";="(-0.15)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.508***";="";="";="";="0.494***";="";="";="";="0.498***";="";="";="";="0.502***";="";="";=""
="";="(3.28)";="";="";="";="(3.17)";="";="";="";="(3.17)";="";="";="";="(2.96)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.790***";="";="";="";="1.777***";="";="";="";="1.780***";="";="";="";="1.784***";="";="";=""
="";="(9.96)";="";="";="";="(9.72)";="";="";="";="(9.60)";="";="";="";="(8.87)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.116***";="";="";="";="1.125***";="";="";="";="1.122***";="";="";="";="1.118***";="";="";=""
="";="(4.28)";="";="";="";="(4.31)";="";="";="";="(4.31)";="";="";="";="(4.25)";="";="";=""

="Observations";="1165";="1165";="1165";="1165";="1165";="1165";="1165";="1165";="1165";="1165";="1165";="1165";="1165";="1165";="1165";="1165"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
