
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="structbalDefault1";="MERat0_structbal_Def1";="MERat1_structbal_Def1";="MERat2_structbal_Def1";="structbalDefault2";="MERat0_structbal_Def2";="MERat1_structbal_Def2";="MERat2_structbal_Def2";="structbalDefault5";="MERat0_structbal_Def5";="MERat1_structbal_Def5";="MERat2_structbal_Def5";="structbalDefault10";="MERat0_structbal_Def10";="MERat1_structbal_Def10";="MERat2_structbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.0117*";="0.00391*";="-0.00299*";="-0.000922";="-0.0116*";="0.00387*";="-0.00297*";="-0.000905";="-0.0116*";="0.00387*";="-0.00296*";="-0.000904";="-0.0116*";="0.00388*";="-0.00297*";="-0.000909"
="";="(-1.83)";="(1.84)";="(-1.85)";="(-1.61)";="(-1.81)";="(1.82)";="(-1.83)";="(-1.60)";="(-1.81)";="(1.82)";="(-1.82)";="(-1.59)";="(-1.82)";="(1.83)";="(-1.83)";="(-1.61)"
="NGDP_RPCH";="0.0173";="-0.00579";="0.00442";="0.00136";="0.0169";="-0.00564";="0.00432";="0.00132";="0.0169";="-0.00563";="0.00431";="0.00132";="0.0171";="-0.00570";="0.00436";="0.00134"
="";="(0.83)";="(-0.83)";="(0.85)";="(0.77)";="(0.81)";="(-0.81)";="(0.82)";="(0.75)";="(0.80)";="(-0.80)";="(0.82)";="(0.74)";="(0.82)";="(-0.82)";="(0.83)";="(0.75)"
="ExtDebtPercGNI_Var";="-0.000571";="0.000191";="-0.000146";="-0.0000450";="-0.000462";="0.000154";="-0.000118";="-0.0000360";="-0.000466";="0.000155";="-0.000119";="-0.0000363";="-0.000480";="0.000160";="-0.000123";="-0.0000376"
="";="(-0.15)";="(0.15)";="(-0.15)";="(-0.15)";="(-0.12)";="(0.12)";="(-0.12)";="(-0.12)";="(-0.12)";="(0.12)";="(-0.12)";="(-0.12)";="(-0.13)";="(0.13)";="(-0.13)";="(-0.13)"
="GGSB_NPGDP";="-0.0392";="0.0131";="-0.0100";="-0.00309";="-0.0395";="0.0132*";="-0.0101";="-0.00308";="-0.0396";="0.0132*";="-0.0101";="-0.00308";="-0.0393";="0.0131*";="-0.0100";="-0.00308"
="";="(-1.61)";="(1.64)";="(-1.63)";="(-1.51)";="(-1.63)";="(1.66)";="(-1.64)";="(-1.52)";="(-1.62)";="(1.65)";="(-1.63)";="(-1.52)";="(-1.62)";="(1.65)";="(-1.63)";="(-1.52)"
="PCPIPCH";="-0.0000832";="0.0000278";="-0.0000213";="-0.00000655";="-0.0000932";="0.0000311";="-0.0000238";="-0.00000726";="-0.0000925";="0.0000308";="-0.0000236";="-0.00000721";="-0.0000898";="0.0000300";="-0.0000230";="-0.00000704"
="";="(-0.16)";="(0.16)";="(-0.16)";="(-0.16)";="(-0.18)";="(0.18)";="(-0.18)";="(-0.18)";="(-0.18)";="(0.18)";="(-0.18)";="(-0.18)";="(-0.17)";="(0.17)";="(-0.17)";="(-0.18)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0768";="0.0253";="-0.0195";="-0.00578";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-0.39)";="(0.40)";="(-0.40)";="(-0.40)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.0162";="-0.00541";="0.00414";="0.00127";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(0.09)";="(-0.09)";="(0.09)";="(0.09)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="0.0192";="-0.00641";="0.00490";="0.00151";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(0.11)";="(-0.11)";="(0.11)";="(0.11)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="-0.0208";="0.00693";="-0.00532";="-0.00162"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(-0.10)";="(0.10)";="(-0.10)";="(-0.10)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.634***";="";="";="";="0.657***";="";="";="";="0.659***";="";="";="";="0.644***";="";="";=""
="";="(3.61)";="";="";="";="(3.79)";="";="";="";="(3.73)";="";="";="";="(3.54)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.881***";="";="";="";="1.903***";="";="";="";="1.905***";="";="";="";="1.890***";="";="";=""
="";="(9.27)";="";="";="";="(9.30)";="";="";="";="(9.03)";="";="";="";="(9.01)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.014***";="";="";="";="1.003***";="";="";="";="1.003***";="";="";="";="1.007***";="";="";=""
="";="(3.70)";="";="";="";="(3.70)";="";="";="";="(3.72)";="";="";="";="(3.70)";="";="";=""

="Observations";="976";="976";="976";="976";="976";="976";="976";="976";="976";="976";="976";="976";="976";="976";="976";="976"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
