="";="foobudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="sigma2_u:_cons"
="budgetbal_OP_1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0108942";="-.0396313";=".0064579";="-.0000154";="-.0006207";="0";="-.0156672";="";="";="";="";="";="";=".5448784";="1.873687";="1.072185"
="t";="1.380907";="-1.902901";="1.897645";="-.3713499";="-.2968822";=".";="-.0794125";="";="";="";="";="";="";="3.352097";="9.512989";="4.334519"
="p";=".1673075";=".0570534";=".0577429";=".7103769";=".7665565";=".";=".9367046";="";="";="";="";="";="";=".000802";="0";=".0000146"
="budgetbal_ME0_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0035811";=".0130273";="-.0021228";="5.06e-06";=".000204";="0";=".005135";="";="";="";="";="";="";="";="";=""
="t";="-1.36403";="1.897991";="-1.869419";=".3720189";=".2963779";=".";=".0796377";="";="";="";="";="";="";="";="";=""
="p";=".1725582";=".0576973";=".0615646";=".7098788";=".7669415";=".";=".9365254";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0028879";="-.0105056";=".0017119";="-4.08e-06";="-.0001645";="0";="-.0041477";="";="";="";="";="";="";="";="";=""
="t";="1.392458";="-1.89928";="1.945518";="-.3715343";="-.295603";=".";="-.0795503";="";="";="";="";="";="";="";="";=""
="p";=".1637839";=".0575277";=".0517127";=".7102396";=".7675333";=".";=".9365949";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0006932";="-.0025217";=".0004109";="-9.80e-07";="-.0000395";="0";="-.0009873";="";="";="";="";="";="";="";="";=""
="t";="1.153859";="-1.575844";="1.412507";="-.3730678";="-.2980264";=".";="-.0799755";="";="";="";="";="";="";="";="";=""
="p";=".2485581";=".1150616";=".1578008";=".709098";=".765683";=".";=".9362567";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0109669";="-.04003";=".0064853";="-.0000145";="-.0006329";="";="";="0";=".02324";="";="";="";="";=".5541281";="1.882875";="1.068807"
="t";="1.391047";="-1.919314";="1.903102";="-.3441684";="-.2941396";="";="";=".";=".1230031";="";="";="";="";="3.435382";="9.573406";="4.352773"
="p";=".164211";=".0549446";=".0570272";=".7307196";=".7686512";="";="";=".";=".9021047";="";="";="";="";=".0005917";="0";=".0000134"
="budgetbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0035998";=".0131395";="-.0021287";="4.77e-06";=".0002077";="";="";="0";="-.007658";="";="";="";="";="";="";=""
="t";="-1.373216";="1.912766";="-1.875113";=".3445707";=".2936717";="";="";=".";="-.122503";="";="";="";="";="";="";=""
="p";=".1696852";=".055778";=".0607772";=".7304171";=".7690087";="";="";=".";=".9025007";="";="";="";="";="";="";=""
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0029053";="-.0106045";=".0017181";="-3.85e-06";="-.0001677";="";="";="0";=".006167";="";="";="";="";="";="";=""
="t";="1.402013";="-1.914301";="1.950546";="-.3439507";="-.2929013";="";="";=".";=".1226965";="";="";="";="";="";="";=""
="p";=".1609114";=".0555817";=".0511111";=".7308834";=".7695976";="";="";=".";=".9023475";="";="";="";="";="";="";=""
="budgetbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0006945";="-.0025349";=".0004107";="-9.21e-07";="-.0000401";="";="";="0";=".001491";="";="";="";="";="";="";=""
="t";="1.159758";="-1.584266";="1.416981";="-.3455911";="-.2953631";="";="";=".";=".1215992";="";="";="";="";="";="";=""
="p";=".2461473";=".1131331";=".1564885";=".72965";=".7677165";="";="";=".";=".9032164";="";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0107788";="-.0390915";=".0064136";="-.000016";="-.0006152";="";="";="";="";="0";="-.0507334";="";="";=".5322886";="1.86111";="1.076721"
="t";="1.399655";="-1.887295";="1.912591";="-.373726";="-.2975373";="";="";="";="";=".";="-.1898142";="";="";="3.082705";="9.192905";="4.324221"
="p";=".1616165";=".0591206";=".0558005";=".7086081";=".7660563";="";="";="";="";=".";=".8494548";="";="";=".0020513";="0";=".0000153"
="budgetbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0035479";=".012867";="-.0021111";="5.26e-06";=".0002025";="";="";="";="";="0";=".0165915";="";="";="";="";=""
="t";="-1.37768";="1.881682";="-1.878358";=".3739553";=".2970485";="";="";="";="";=".";=".1909674";="";="";="";="";=""
="p";=".1683022";=".0598791";=".0603322";=".7084375";=".7664295";="";="";="";="";=".";=".8485511";="";="";="";="";=""
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".002858";="-.0103652";=".0017006";="-4.23e-06";="-.0001631";="";="";="";="";="0";="-.0134189";="";="";="";="";=""
="t";="1.411125";="-1.883929";="1.960508";="-.3730584";="-.2962891";="";="";="";="";=".";="-.190415";="";="";="";="";=""
="p";=".1582078";=".0595746";=".0499365";=".7091049";=".7670093";="";="";="";="";=".";=".848984";="";="";="";="";=""
="budgetbal_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0006898";="-.0025018";=".0004105";="-1.02e-06";="-.0000394";="";="";="";="";="0";="-.0031726";="";="";="";="";=""
="t";="1.153084";="-1.564392";="1.409685";="-.3749422";="-.298605";="";="";="";="";=".";="-.1928997";="";="";="";="";=""
="p";=".2488759";=".1177255";=".1586326";=".7077035";=".7652414";="";="";="";="";=".";=".8470375";="";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0109561";="-.0403666";=".0064625";="-.0000148";="-.0006628";="";="";="";="";="";="";="0";=".0652407";=".5756179";="1.904362";="1.062415"
="t";="1.400454";="-1.961164";="1.889702";="-.3433418";="-.2869228";="";="";="";="";="";="";=".";=".2184214";="2.883786";="8.511469";="4.27368"
="p";=".1613775";=".0498599";=".0587978";=".7313413";=".7741714";="";="";="";="";="";="";=".";=".8271008";=".0039293";="0";=".0000192"
="budgetbal_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0035875";=".0132179";="-.0021161";="4.85e-06";=".000217";="";="";="";="";="";="";="0";="-.0214725";="";="";=""
="t";="-1.368213";="1.951101";="-1.842877";=".3434349";=".2862448";="";="";="";="";="";="";=".";="-.2180137";="";="";=""
="p";=".1712454";=".051045";=".0653469";=".7312713";=".7746906";="";="";="";="";="";="";=".";=".8274184";="";="";=""
="budgetbal_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0028984";="-.0106789";=".0017096";="-3.92e-06";="-.0001753";="";="";="";="";="";="";="0";=".017298";="";="";=""
="t";="1.402702";="-1.954334";="1.923928";="-.342599";="-.2855645";="";="";="";="";="";="";=".";=".2182552";="";="";=""
="p";=".1607057";=".0506617";=".0543636";=".7319001";=".7752117";="";="";="";="";="";="";=".";=".8272302";="";="";=""
="budgetbal_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0006891";="-.0025389";=".0004065";="-9.32e-07";="-.0000417";="";="";="";="";="";="";="0";=".0041745";="";="";=""
="t";="1.142225";="-1.600863";="1.386179";="-.3443109";="-.287681";="";="";="";="";="";="";=".";=".2163779";="";="";=""
="p";=".2533603";=".1094073";=".1656922";=".7306125";=".7735909";="";="";="";="";="";="";=".";=".8286932";="";="";=""
=""
