
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.0109";="-0.00358";="0.00289";="0.000693";="0.0110";="-0.00360";="0.00291";="0.000694";="0.0108";="-0.00355";="0.00286";="0.000690";="0.0110";="-0.00359";="0.00290";="0.000689"
="";="(1.38)";="(-1.36)";="(1.39)";="(1.15)";="(1.39)";="(-1.37)";="(1.40)";="(1.16)";="(1.40)";="(-1.38)";="(1.41)";="(1.15)";="(1.40)";="(-1.37)";="(1.40)";="(1.14)"
="NGDP_RPCH";="-0.0396*";="0.0130*";="-0.0105*";="-0.00252";="-0.0400*";="0.0131*";="-0.0106*";="-0.00253";="-0.0391*";="0.0129*";="-0.0104*";="-0.00250";="-0.0404**";="0.0132*";="-0.0107*";="-0.00254"
="";="(-1.90)";="(1.90)";="(-1.90)";="(-1.58)";="(-1.92)";="(1.91)";="(-1.91)";="(-1.58)";="(-1.89)";="(1.88)";="(-1.88)";="(-1.56)";="(-1.96)";="(1.95)";="(-1.95)";="(-1.60)"
="ExtDebtPercGNI_Var";="0.00646*";="-0.00212*";="0.00171*";="0.000411";="0.00649*";="-0.00213*";="0.00172*";="0.000411";="0.00641*";="-0.00211*";="0.00170**";="0.000410";="0.00646*";="-0.00212*";="0.00171*";="0.000406"
="";="(1.90)";="(-1.87)";="(1.95)";="(1.41)";="(1.90)";="(-1.88)";="(1.95)";="(1.42)";="(1.91)";="(-1.88)";="(1.96)";="(1.41)";="(1.89)";="(-1.84)";="(1.92)";="(1.39)"
="BudgetBal_NGDP_Var";="-0.0000154";="0.00000506";="-0.00000408";="-0.000000980";="-0.0000145";="0.00000477";="-0.00000385";="-0.000000921";="-0.0000160";="0.00000526";="-0.00000423";="-0.00000102";="-0.0000148";="0.00000485";="-0.00000392";="-0.000000932"
="";="(-0.37)";="(0.37)";="(-0.37)";="(-0.37)";="(-0.34)";="(0.34)";="(-0.34)";="(-0.35)";="(-0.37)";="(0.37)";="(-0.37)";="(-0.37)";="(-0.34)";="(0.34)";="(-0.34)";="(-0.34)"
="PCPIPCH";="-0.000621";="0.000204";="-0.000165";="-0.0000395";="-0.000633";="0.000208";="-0.000168";="-0.0000401";="-0.000615";="0.000202";="-0.000163";="-0.0000394";="-0.000663";="0.000217";="-0.000175";="-0.0000417"
="";="(-0.30)";="(0.30)";="(-0.30)";="(-0.30)";="(-0.29)";="(0.29)";="(-0.29)";="(-0.30)";="(-0.30)";="(0.30)";="(-0.30)";="(-0.30)";="(-0.29)";="(0.29)";="(-0.29)";="(-0.29)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0157";="0.00514";="-0.00415";="-0.000987";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-0.08)";="(0.08)";="(-0.08)";="(-0.08)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.0232";="-0.00766";="0.00617";="0.00149";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(0.12)";="(-0.12)";="(0.12)";="(0.12)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.0507";="0.0166";="-0.0134";="-0.00317";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-0.19)";="(0.19)";="(-0.19)";="(-0.19)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="0.0652";="-0.0215";="0.0173";="0.00417"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(0.22)";="(-0.22)";="(0.22)";="(0.22)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.545***";="";="";="";="0.554***";="";="";="";="0.532***";="";="";="";="0.576***";="";="";=""
="";="(3.35)";="";="";="";="(3.44)";="";="";="";="(3.08)";="";="";="";="(2.88)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.874***";="";="";="";="1.883***";="";="";="";="1.861***";="";="";="";="1.904***";="";="";=""
="";="(9.51)";="";="";="";="(9.57)";="";="";="";="(9.19)";="";="";="";="(8.51)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.072***";="";="";="";="1.069***";="";="";="";="1.077***";="";="";="";="1.062***";="";="";=""
="";="(4.33)";="";="";="";="(4.35)";="";="";="";="(4.32)";="";="";="";="(4.27)";="";="";=""

="Observations";="903";="903";="903";="903";="903";="903";="903";="903";="903";="903";="903";="903";="903";="903";="903";="903"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
