
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="grossdebtDefault1";="MERat0_grossdebt_Def1";="MERat1_grossdebt_Def1";="MERat2_grossdebt_Def1";="grossdebtDefault2";="MERat0_grossdebt_Def2";="MERat1_grossdebt_Def2";="MERat2_grossdebt_Def2";="grossdebtDefault5";="MERat0_grossdebt_Def5";="MERat1_grossdebt_Def5";="MERat2_grossdebt_Def5";="grossdebtDefault10";="MERat0_grossdebt_Def10";="MERat1_grossdebt_Def10";="MERat2_grossdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.0126";="-0.00410";="0.00332";="0.000787";="0.0126";="-0.00412";="0.00334";="0.000788";="0.0125";="-0.00407";="0.00329";="0.000784";="0.0126";="-0.00411";="0.00332";="0.000781"
="";="(1.50)";="(-1.48)";="(1.52)";="(1.23)";="(1.51)";="(-1.49)";="(1.53)";="(1.23)";="(1.53)";="(-1.50)";="(1.54)";="(1.23)";="(1.51)";="(-1.48)";="(1.52)";="(1.21)"
="NGDP_RPCH";="-0.0303";="0.00990";="-0.00800";="-0.00190";="-0.0307";="0.0100";="-0.00811";="-0.00192";="-0.0299";="0.00977";="-0.00789";="-0.00188";="-0.0311";="0.0101";="-0.00818";="-0.00192"
="";="(-1.41)";="(1.41)";="(-1.40)";="(-1.28)";="(-1.43)";="(1.43)";="(-1.42)";="(-1.29)";="(-1.38)";="(1.38)";="(-1.38)";="(-1.26)";="(-1.45)";="(1.45)";="(-1.44)";="(-1.30)"
="ExtDebtPercGNI_Var";="0.00648*";="-0.00212*";="0.00171**";="0.000406";="0.00651*";="-0.00212*";="0.00172**";="0.000406";="0.00644**";="-0.00211*";="0.00170**";="0.000405";="0.00648*";="-0.00211*";="0.00171**";="0.000402"
="";="(1.95)";="(-1.92)";="(2.00)";="(1.44)";="(1.96)";="(-1.93)";="(2.01)";="(1.44)";="(1.97)";="(-1.93)";="(2.02)";="(1.44)";="(1.94)";="(-1.89)";="(1.98)";="(1.41)"
="GGXWDG_NGDP_Var";="0.00509";="-0.00166";="0.00134";="0.000319";="0.00509";="-0.00166";="0.00134";="0.000317";="0.00507";="-0.00166";="0.00134";="0.000319";="0.00507";="-0.00165";="0.00134";="0.000314"
="";="(1.37)";="(-1.37)";="(1.38)";="(1.21)";="(1.38)";="(-1.37)";="(1.38)";="(1.21)";="(1.38)";="(-1.37)";="(1.38)";="(1.20)";="(1.37)";="(-1.36)";="(1.37)";="(1.19)"
