
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="netdebtDefault1";="MERat0_netdebt_Def1";="MERat1_netdebt_Def1";="MERat2_netdebt_Def1";="netdebtDefault2";="MERat0_netdebt_Def2";="MERat1_netdebt_Def2";="MERat2_netdebt_Def2";="netdebtDefault5";="MERat0_netdebt_Def5";="MERat1_netdebt_Def5";="MERat2_netdebt_Def5";="netdebtDefault10";="MERat0_netdebt_Def10";="MERat1_netdebt_Def10";="MERat2_netdebt_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.0112";="-0.00369";="0.00298";="0.000712";="0.0113";="-0.00371";="0.00299";="0.000714";="0.0111";="-0.00366";="0.00295";="0.000709";="0.0113";="-0.00369";="0.00299";="0.000708"
="";="(1.42)";="(-1.40)";="(1.43)";="(1.18)";="(1.43)";="(-1.41)";="(1.44)";="(1.18)";="(1.44)";="(-1.42)";="(1.45)";="(1.18)";="(1.44)";="(-1.40)";="(1.44)";="(1.17)"
="NGDP_RPCH";="-0.0395*";="0.0130*";="-0.0105*";="-0.00251";="-0.0399*";="0.0131*";="-0.0106*";="-0.00252";="-0.0390*";="0.0128*";="-0.0103*";="-0.00249";="-0.0402*";="0.0132*";="-0.0106*";="-0.00252"
="";="(-1.87)";="(1.86)";="(-1.86)";="(-1.55)";="(-1.88)";="(1.87)";="(-1.87)";="(-1.56)";="(-1.85)";="(1.84)";="(-1.84)";="(-1.54)";="(-1.92)";="(1.91)";="(-1.91)";="(-1.57)"
="ExtDebtPercGNI_Var";="0.00644*";="-0.00212*";="0.00171*";="0.000409";="0.00647*";="-0.00212*";="0.00171*";="0.000409";="0.00640*";="-0.00211*";="0.00170*";="0.000409";="0.00645*";="-0.00211*";="0.00171*";="0.000405"
="";="(1.89)";="(-1.87)";="(1.94)";="(1.41)";="(1.90)";="(-1.87)";="(1.95)";="(1.42)";="(1.91)";="(-1.88)";="(1.96)";="(1.41)";="(1.89)";="(-1.84)";="(1.92)";="(1.39)"
="GGXWDN_NGDP_Var";="0.000403";="-0.000132";="0.000107";="0.0000256";="0.000399";="-0.000131";="0.000106";="0.0000252";="0.000401";="-0.000132";="0.000106";="0.0000256";="0.000400";="-0.000131";="0.000106";="0.0000251"
="";="(0.64)";="(-0.64)";="(0.64)";="(0.64)";="(0.63)";="(-0.63)";="(0.62)";="(0.63)";="(0.63)";="(-0.63)";="(0.63)";="(0.63)";="(0.63)";="(-0.63)";="(0.63)";="(0.63)"
="PCPIPCH";="-0.000627";="0.000206";="-0.000166";="-0.0000398";="-0.000639";="0.000210";="-0.000169";="-0.0000404";="-0.000622";="0.000205";="-0.000165";="-0.0000397";="-0.000669";="0.000219";="-0.000177";="-0.0000420"
="";="(-0.29)";="(0.29)";="(-0.29)";="(-0.29)";="(-0.29)";="(0.29)";="(-0.29)";="(-0.29)";="(-0.29)";="(0.29)";="(-0.29)";="(-0.30)";="(-0.28)";="(0.28)";="(-0.28)";="(-0.28)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.0152";="0.00498";="-0.00403";="-0.000956";="";="";="";="";="";="";="";="";="";="";="";=""
