
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="structbalDefault1";="MERat0_structbal_Def1";="MERat1_structbal_Def1";="MERat2_structbal_Def1";="structbalDefault2";="MERat0_structbal_Def2";="MERat1_structbal_Def2";="MERat2_structbal_Def2";="structbalDefault5";="MERat0_structbal_Def5";="MERat1_structbal_Def5";="MERat2_structbal_Def5";="structbalDefault10";="MERat0_structbal_Def10";="MERat1_structbal_Def10";="MERat2_structbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="0.00763";="-0.00235";="0.00193";="0.000429";="0.00761";="-0.00235";="0.00192";="0.000425";="0.00760";="-0.00234";="0.00192";="0.000422";="0.00783";="-0.00239";="0.00197";="0.000421"
="";="(1.00)";="(-0.98)";="(0.99)";="(0.90)";="(1.00)";="(-0.99)";="(0.99)";="(0.90)";="(1.01)";="(-1.00)";="(1.01)";="(0.90)";="(1.02)";="(-1.00)";="(1.01)";="(0.91)"
="NGDP_RPCH";="-0.0337";="0.0104";="-0.00849";="-0.00189";="-0.0338";="0.0104";="-0.00854";="-0.00189";="-0.0340";="0.0105";="-0.00858";="-0.00189";="-0.0362*";="0.0110";="-0.00910*";="-0.00195"
="";="(-1.53)";="(1.53)";="(-1.53)";="(-1.33)";="(-1.53)";="(1.53)";="(-1.54)";="(-1.33)";="(-1.54)";="(1.53)";="(-1.54)";="(-1.33)";="(-1.65)";="(1.64)";="(-1.65)";="(-1.40)"
="ExtDebtPercGNI_Var";="0.00590*";="-0.00182*";="0.00149*";="0.000331";="0.00586*";="-0.00181*";="0.00148*";="0.000327";="0.00591*";="-0.00182*";="0.00149*";="0.000328";="0.00596*";="-0.00182*";="0.00150*";="0.000320"
="";="(1.76)";="(-1.72)";="(1.76)";="(1.37)";="(1.75)";="(-1.71)";="(1.75)";="(1.36)";="(1.79)";="(-1.74)";="(1.79)";="(1.37)";="(1.79)";="(-1.73)";="(1.77)";="(1.37)"
="GGSB_NPGDP";="-0.0256";="0.00790";="-0.00646";="-0.00144";="-0.0252";="0.00775";="-0.00635";="-0.00140";="-0.0240";="0.00738";="-0.00605";="-0.00133";="-0.0254";="0.00774";="-0.00638";="-0.00137"
="";="(-0.86)";="(0.86)";="(-0.84)";="(-0.90)";="(-0.85)";="(0.85)";="(-0.83)";="(-0.89)";="(-0.81)";="(0.81)";="(-0.80)";="(-0.85)";="(-0.86)";="(0.87)";="(-0.85)";="(-0.91)"
="PCPIPCH";="-0.000393";="0.000121";="-0.0000991";="-0.0000221";="-0.000418";="0.000129";="-0.000105";="-0.0000233";="-0.000425";="0.000131";="-0.000107";="-0.0000236";="-0.000488";="0.000149";="-0.000122";="-0.0000262"
="";="(-0.31)";="(0.31)";="(-0.31)";="(-0.31)";="(-0.32)";="(0.32)";="(-0.32)";="(-0.32)";="(-0.33)";="(0.33)";="(-0.33)";="(-0.33)";="(-0.33)";="(0.33)";="(-0.33)";="(-0.33)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="-0.241";="0.0702";="-0.0587";="-0.0115";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(-0.94)";="(0.99)";="(-0.97)";="(-1.03)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="-0.175";="0.0519";="-0.0432";="-0.00872";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(-0.76)";="(0.79)";="(-0.78)";="(-0.82)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="-0.124";="0.0374";="-0.0310";="-0.00644";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(-0.39)";="(0.40)";="(-0.40)";="(-0.42)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="0.124";="-0.0383";="0.0314";="0.00693"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(0.42)";="(-0.41)";="(0.42)";="(0.39)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="0.668***";="";="";="";="0.675***";="";="";="";="0.676***";="";="";="";="0.758***";="";="";=""
="";="(3.54)";="";="";="";="(3.61)";="";="";="";="(3.46)";="";="";="";="(3.58)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.977***";="";="";="";="1.982***";="";="";="";="1.983***";="";="";="";="2.067***";="";="";=""
="";="(8.08)";="";="";="";="(8.17)";="";="";="";="(8.26)";="";="";="";="(8.44)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.003***";="";="";="";="1.002***";="";="";="";="1.000***";="";="";="";="1.008***";="";="";=""
="";="(4.04)";="";="";="";="(4.05)";="";="";="";="(4.05)";="";="";="";="(4.03)";="";="";=""

="Observations";="805";="805";="805";="805";="805";="805";="805";="805";="805";="805";="805";="805";="805";="805";="805";="805"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
