
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)";="(15)";="(16)"
="";="budgetbalDefault1";="MERat0_budgetbal_Def1";="MERat1_budgetbal_Def1";="MERat2_budgetbal_Def1";="budgetbalDefault2";="MERat0_budgetbal_Def2";="MERat1_budgetbal_Def2";="MERat2_budgetbal_Def2";="budgetbalDefault5";="MERat0_budgetbal_Def5";="MERat1_budgetbal_Def5";="MERat2_budgetbal_Def5";="budgetbalDefault10";="MERat0_budgetbal_Def10";="MERat1_budgetbal_Def10";="MERat2_budgetbal_Def10"

="main";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="NGDPDPC_Var";="-0.00758";="0.00165";="-0.00155";="-0.000106";="-0.00750";="0.00163";="-0.00153";="-0.000104";="-0.00757";="0.00165";="-0.00154";="-0.000105";="-0.00758";="0.00164";="-0.00153";="-0.000105"
="";="(-1.48)";="(1.46)";="(-1.48)";="(-1.10)";="(-1.48)";="(1.46)";="(-1.47)";="(-1.09)";="(-1.49)";="(1.48)";="(-1.49)";="(-1.10)";="(-1.48)";="(1.46)";="(-1.48)";="(-1.09)"
="NGDP_RPCH";="-0.00216";="0.000471";="-0.000441";="-0.0000301";="-0.00238";="0.000517";="-0.000484";="-0.0000330";="-0.00226";="0.000491";="-0.000460";="-0.0000314";="-0.00254";="0.000550";="-0.000514";="-0.0000352"
="";="(-0.21)";="(0.21)";="(-0.21)";="(-0.21)";="(-0.23)";="(0.23)";="(-0.23)";="(-0.23)";="(-0.22)";="(0.22)";="(-0.22)";="(-0.22)";="(-0.24)";="(0.24)";="(-0.24)";="(-0.25)"
="ExtDebtPercGNI_Var";="-0.000846";="0.000184";="-0.000173";="-0.0000118";="-0.000818";="0.000178";="-0.000166";="-0.0000114";="-0.000833";="0.000181";="-0.000170";="-0.0000116";="-0.000791";="0.000171";="-0.000160";="-0.0000109"
="";="(-0.31)";="(0.31)";="(-0.31)";="(-0.30)";="(-0.30)";="(0.30)";="(-0.30)";="(-0.29)";="(-0.30)";="(0.30)";="(-0.30)";="(-0.29)";="(-0.29)";="(0.29)";="(-0.29)";="(-0.28)"
="BudgetBal_NGDP_Var";="-0.0000559**";="0.0000122*";="-0.0000114*";="-0.000000778";="-0.0000557**";="0.0000121*";="-0.0000113*";="-0.000000773";="-0.0000552*";="0.0000120*";="-0.0000112*";="-0.000000766";="-0.0000558**";="0.0000121*";="-0.0000113*";="-0.000000772"
="";="(-2.01)";="(1.91)";="(-1.91)";="(-1.36)";="(-2.00)";="(1.90)";="(-1.90)";="(-1.36)";="(-1.89)";="(1.79)";="(-1.79)";="(-1.34)";="(-2.01)";="(1.91)";="(-1.91)";="(-1.37)"
="PCPIPCH";="-0.000427";="0.0000930";="-0.0000871";="-0.00000595";="-0.000430";="0.0000935";="-0.0000875";="-0.00000597";="-0.000429";="0.0000933";="-0.0000873";="-0.00000595";="-0.000445";="0.0000963";="-0.0000901";="-0.00000616"
="";="(-1.09)";="(1.09)";="(-1.09)";="(-0.94)";="(-1.10)";="(1.09)";="(-1.09)";="(-0.95)";="(-1.09)";="(1.09)";="(-1.09)";="(-0.95)";="(-1.13)";="(1.13)";="(-1.13)";="(-0.97)"
="DefaultLastYear=0";="0";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLastYear=1";="0.0474";="-0.0104";="0.00976";="0.000677";="";="";="";="";="";="";="";="";="";="";="";=""
="";="(0.21)";="(-0.20)";="(0.20)";="(0.20)";="";="";="";="";="";="";="";="";="";="";="";=""
="DefaultLast2Years=0";="";="";="";="";="0";="0";="0";="0";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";="";="";="";="";=""
="DefaultLast2Years=1";="";="";="";="";="0.0814";="-0.0180";="0.0168";="0.00118";="";="";="";="";="";="";="";=""
="";="";="";="";="";="(0.38)";="(-0.37)";="(0.37)";="(0.35)";="";="";="";="";="";="";="";=""
="DefaultLast5Years=0";="";="";="";="";="";="";="";="";="0";="0";="0";="0";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)";="";="";="";=""
="DefaultLast5Years=1";="";="";="";="";="";="";="";="";="0.0510";="-0.0112";="0.0105";="0.000720";="";="";="";=""
="";="";="";="";="";="";="";="";="";="(0.24)";="(-0.23)";="(0.23)";="(0.23)";="";="";="";=""
="DefaultLast10Years=0";="";="";="";="";="";="";="";="";="";="";="";="";="0";="0";="0";="0"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(.)";="(.)";="(.)";="(.)"
="DefaultLast10Years=1";="";="";="";="";="";="";="";="";="";="";="";="";="0.150";="-0.0326";="0.0305";="0.00209"
="";="";="";="";="";="";="";="";="";="";="";="";="";="(0.63)";="(-0.63)";="(0.63)";="(0.59)"

="cut1";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.064***";="";="";="";="1.077***";="";="";="";="1.070***";="";="";="";="1.124***";="";="";=""
="";="(6.60)";="";="";="";="(6.63)";="";="";="";="(6.28)";="";="";="";="(5.77)";="";="";=""

="cut2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="2.569***";="";="";="";="2.582***";="";="";="";="2.575***";="";="";="";="2.630***";="";="";=""
="";="(11.65)";="";="";="";="(11.73)";="";="";="";="(11.25)";="";="";="";="(10.45)";="";="";=""

="sigma2_u";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="Const";="1.054***";="";="";="";="1.048***";="";="";="";="1.056***";="";="";="";="1.054***";="";="";=""
="";="(3.40)";="";="";="";="(3.41)";="";="";="";="(3.47)";="";="";="";="(3.48)";="";="";=""

="Observations";="1149";="1149";="1149";="1149";="1149";="1149";="1149";="1149";="1149";="1149";="1149";="1149";="1149";="1149";="1149";="1149"
="Pseudo R-squared";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""

="t statistics in parentheses"
="* p<0.10; ** p<0.05; *** p<0.01"
